Layers: 4
"Nodes: [256, 256, 128, 128]"
NN: 7
Activation function: sigmoid
Training accuracy,Test accuracy
0.7420666813850403,0.824400007724762
0.8479666709899902,0.8399999737739563
0.8638333082199097,0.8539999723434448
0.8739166855812073,0.8536999821662903
0.8796833157539368,0.8618999719619751
0.8858833312988281,0.8715000152587891
0.8916833400726318,0.8784999847412109
0.8960666656494141,0.8669999837875366
0.8998666405677795,0.8805000185966492
0.9021833539009094,0.8761000037193298
0.9056666493415833,0.8672999739646912
0.9081166386604309,0.8802000284194946
0.9112333059310913,0.8798999786376953
0.9132833480834961,0.8787999749183655
0.9140166640281677,0.8855000138282776
0.9186000227928162,0.8826000094413757
0.9203000068664551,0.8853999972343445
0.9223333597183228,0.8809000253677368
0.9235000014305115,0.883400022983551
0.9261833429336548,0.8894000053405762
0.9282333254814148,0.8824999928474426
0.9281333088874817,0.8902999758720398
0.9312833547592163,0.8792999982833862
0.9321333169937134,0.8822000026702881
0.933566689491272,0.8913999795913696
0.9344499707221985,0.8902999758720398
0.9366999864578247,0.8920000195503235
0.9384999871253967,0.8888000249862671
0.9398833513259888,0.8902000188827515
0.9399499893188477,0.8920999765396118
0.9413333535194397,0.8932999968528748
0.9422333240509033,0.8920999765396118
0.9425166845321655,0.8938999772071838
0.9445499777793884,0.8946999907493591
0.9458000063896179,0.8859999775886536
0.9462666511535645,0.8913999795913696
0.9472666382789612,0.8953999876976013
0.9480833411216736,0.8962000012397766
0.9497166872024536,0.8901000022888184
0.9499833583831787,0.8928999900817871
0.9509166479110718,0.8970999717712402
0.9518666863441467,0.8858000040054321
0.9519666433334351,0.8919000029563904
0.9530166387557983,0.8862000107765198
0.9534500241279602,0.8935999870300293
0.9545166492462158,0.8930000066757202
0.9555833339691162,0.8963000178337097
0.9561333060264587,0.8968999981880188
0.9573666453361511,0.8883000016212463
0.9571999907493591,0.886900007724762
