Layers: 5
"Nodes: [784, 512, 256, 128, 64]"
NN: 10
Activation function: sigmoid
Training accuracy,Test accuracy
0.679099977016449,0.8241000175476074
0.84170001745224,0.8464000225067139
0.8596500158309937,0.8562999963760376
0.8708166480064392,0.8547000288963318
0.8793833255767822,0.867900013923645
0.8855500221252441,0.8705999851226807
0.8901833295822144,0.8748000264167786
0.8950666785240173,0.8799999952316284
0.8983500003814697,0.8780999779701233
0.9016333222389221,0.880299985408783
0.9041666388511658,0.8802000284194946
0.9054833054542542,0.8758000135421753
0.9091333150863647,0.8820000290870667
0.912766695022583,0.8844000101089478
0.9150333404541016,0.8816999793052673
0.9177666902542114,0.8831999897956848
0.9200166463851929,0.8876000046730042
0.9219666719436646,0.8862000107765198
0.9232833385467529,0.8863999843597412
0.9258666634559631,0.8867999911308289
0.9282333254814148,0.8859999775886536
0.9286999702453613,0.8927000164985657
0.9312333464622498,0.8871999979019165
0.9314500093460083,0.8867999911308289
0.9325833320617676,0.8891000151634216
0.9336000084877014,0.8870999813079834
0.9361833333969116,0.8888000249862671
0.9358500242233276,0.8867999911308289
0.9386666417121887,0.8938999772071838
0.9397333264350891,0.890500009059906
0.9401833415031433,0.8917999863624573
0.9419333338737488,0.8938000202178955
0.9428166747093201,0.8960000276565552
0.9421666860580444,0.8931999802589417
0.9449166655540466,0.8952000141143799
0.9444500207901001,0.8952000141143799
0.9455999732017517,0.8945000171661377
0.9472500085830688,0.8906000256538391
0.9470833539962769,0.8914999961853027
0.9492666721343994,0.8932999968528748
0.9477666616439819,0.8910999894142151
0.9498500227928162,0.8939999938011169
0.949316680431366,0.8921999931335449
0.9506000280380249,0.8938999772071838
0.9518166780471802,0.8960000276565552
0.9523000121116638,0.8888000249862671
0.9516000151634216,0.8914999961853027
0.9516833424568176,0.8888000249862671
0.9531333446502686,0.8917999863624573
0.955216646194458,0.8931000232696533
