Layers: 2
"Nodes: [256, 128]"
NN: 3
Activation function: sigmoid
Training accuracy,Test accuracy
0.806850016117096,0.8425999879837036
0.8602499961853027,0.8550000190734863
0.8734333515167236,0.8672999739646912
0.8842999935150146,0.8586000204086304
0.888700008392334,0.8694999814033508
0.893750011920929,0.8751000165939331
0.8977500200271606,0.8794999718666077
0.900950014591217,0.8781999945640564
0.9061499834060669,0.8751000165939331
0.909166693687439,0.8834999799728394
0.9124666452407837,0.8855999708175659
0.9160666465759277,0.8812999725341797
0.9186333417892456,0.8870000243186951
0.9209833145141602,0.8898000121116638
0.9240999817848206,0.8830000162124634
0.9267833232879639,0.8870000243186951
0.9277499914169312,0.8866000175476074
0.9314833283424377,0.8909000158309937
0.932366669178009,0.8899000287055969
0.9344499707221985,0.89410001039505
0.9351500272750854,0.8881000280380249
0.9373666644096375,0.8903999924659729
0.9392666816711426,0.8833000063896179
0.9411166906356812,0.89410001039505
0.9436166882514954,0.8949999809265137
0.9447166919708252,0.8889999985694885
0.9453833103179932,0.8932999968528748
0.9472333192825317,0.8963000178337097
0.9483833312988281,0.8921999931335449
0.9494500160217285,0.8924000263214111
0.9512500166893005,0.88919997215271
0.9519833326339722,0.8952999711036682
0.9527666568756104,0.8981000185012817
0.9542333483695984,0.8780999779701233
0.9538166522979736,0.8960999846458435
0.954883337020874,0.8870000243186951
0.9558500051498413,0.8895000219345093
0.9567499756813049,0.8921999931335449
0.957966685295105,0.8948000073432922
0.9596333503723145,0.8942999839782715
0.9592166543006897,0.8949000239372253
0.9593999981880188,0.8967999815940857
0.9603000283241272,0.8920999765396118
0.9627500176429749,0.896399974822998
0.9627000093460083,0.8927000164985657
0.9630500078201294,0.8902000188827515
0.9638833403587341,0.8916000127792358
0.9652000069618225,0.8894000053405762
0.9652000069618225,0.8834999799728394
0.9658666849136353,0.8934000134468079
