Layers: 1
Nodes: [256]
NN: 1
Activation function: sigmoid
Training accuracy,Test accuracy
0.8204500079154968,0.8307999968528748
0.8593166470527649,0.8579000234603882
0.8739500045776367,0.8712000250816345
0.8812999725341797,0.8684999942779541
0.8883000016212463,0.8659999966621399
0.892549991607666,0.871999979019165
0.8976500034332275,0.8766000270843506
0.902649998664856,0.8826000094413757
0.9067999720573425,0.8827999830245972
0.910099983215332,0.8870999813079834
0.9129499793052673,0.8830999732017517
0.9165999889373779,0.8877999782562256
0.9194166660308838,0.8895000219345093
0.9219333529472351,0.8894000053405762
0.925433337688446,0.8902999758720398
0.9283999800682068,0.8848000168800354
0.9290500283241272,0.8892999887466431
0.9324333071708679,0.8896999955177307
0.9335166811943054,0.8899999856948853
0.9363166689872742,0.8899000287055969
0.9375666379928589,0.886900007724762
0.9404500126838684,0.8921999931335449
0.9407166838645935,0.8955000042915344
0.9432666897773743,0.8932999968528748
0.9444500207901001,0.892799973487854
0.9455166459083557,0.8925999999046326
0.9473666548728943,0.8949999809265137
0.9492999911308289,0.8924000263214111
0.94923335313797,0.8938000202178955
0.9511833190917969,0.8885999917984009
0.9531499743461609,0.895799994468689
0.9534500241279602,0.8934000134468079
0.9553666710853577,0.8903999924659729
0.9554499983787537,0.8859000205993652
0.9558333158493042,0.8934000134468079
0.9580166935920715,0.8962000012397766
0.959766685962677,0.8950999975204468
0.9597166776657104,0.8902000188827515
0.9607833623886108,0.8939999938011169
0.9621000289916992,0.8935999870300293
0.9631500244140625,0.8862000107765198
0.9628499746322632,0.8995000123977661
0.9642666578292847,0.8963000178337097
0.9651666879653931,0.8956000208854675
0.9651166796684265,0.8966000080108643
0.9656500220298767,0.895799994468689
0.9678000211715698,0.8925999999046326
0.9683499932289124,0.8956000208854675
0.9679999947547913,0.8970000147819519
0.9689499735832214,0.8960999846458435
