Number of qubits: 7
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 15
Training accuracy,Test accuracy,Parameters
0.322265625,0.369140625,"[0.64181266 0.6167715  0.69292318 0.18556384 0.62417731 0.6916792
 0.78762778 0.11609403 0.52444148 0.67517369 0.93647014 0.2201672
 0.63374844 0.51411758 0.8918851  0.54060684 0.57528006 0.54206395
 0.68438366 0.32956103]"
0.314453125,0.369140625,"[0.64181266 0.61976699 0.68992769 0.18855933 0.62118182 0.68868371
 0.79062327 0.11309854 0.52444148 0.67517369 0.93647014 0.21717171
 0.63674393 0.51711307 0.8918851  0.54360233 0.57827555 0.54505944
 0.68737915 0.32656554]"
0.30859375,0.3671875,"[0.62991712 0.61976699 0.67803216 0.17666379 0.60928628 0.68868371
 0.8025188  0.11309854 0.51254595 0.68706923 0.92457461 0.22906725
 0.63674393 0.50521753 0.90378063 0.55549787 0.59017108 0.5331639
 0.67548361 0.32656554]"
0.2890625,0.373046875,"[0.62991712 0.6254976  0.67230155 0.17093318 0.60355567 0.6829531
 0.79678819 0.11309854 0.50681534 0.68133861 0.92457461 0.22333664
 0.64247455 0.49948692 0.90951125 0.55549787 0.5959017  0.5331639
 0.68121422 0.32083493]"
0.28515625,0.337890625,"[0.63529846 0.6254976  0.6669202  0.17093318 0.60893702 0.67757176
 0.79678819 0.11847988 0.50143399 0.68671996 0.92995595 0.21795529
 0.64247455 0.49410558 0.90951125 0.56087921 0.60128304 0.53854525
 0.67583288 0.31545359]"
0.296875,0.31640625,"[0.63529846 0.6254976  0.64671482 0.1507278  0.58873163 0.69777714
 0.79678819 0.0982745  0.52163938 0.66651457 0.90975057 0.19774991
 0.64247455 0.51431096 0.92971663 0.54067383 0.62148842 0.55875063
 0.67583288 0.33565897]"
0.263671875,0.298828125,"[0.66746415 0.59333191 0.6788805  0.18289349 0.55656594 0.72994283
 0.7646225  0.0982745  0.52163938 0.63434889 0.87758488 0.2299156
 0.61030886 0.51431096 0.96188232 0.57283952 0.58932274 0.52658494
 0.67583288 0.33565897]"
0.306640625,0.328125,"[0.67353096 0.59939872 0.6788805  0.1889603  0.55656594 0.72994283
 0.7646225  0.10434131 0.51557257 0.64041569 0.87758488 0.23598241
 0.60424205 0.52037777 0.95581551 0.56677271 0.59538955 0.52051814
 0.68189969 0.32959216]"
0.310546875,0.3125,"[0.68216919 0.59076049 0.67024228 0.18032207 0.54792772 0.73858106
 0.75598428 0.10434131 0.52421079 0.64905392 0.86894665 0.22734418
 0.61288027 0.52901599 0.95581551 0.56677271 0.60402777 0.52051814
 0.68189969 0.33823039]"
0.30859375,0.33203125,"[0.68216919 0.58377734 0.67722543 0.18730523 0.55491087 0.74556421
 0.75598428 0.09735815 0.52421079 0.65603707 0.87592981 0.22036103
 0.61986343 0.52203284 0.95581551 0.57375586 0.59704462 0.52750129
 0.67491653 0.33823039]"
0.330078125,0.337890625,"[0.68665242 0.5792941  0.67722543 0.19178846 0.55939411 0.74556421
 0.76046752 0.09735815 0.51972755 0.65155384 0.87592981 0.21587779
 0.61538019 0.5175496  0.96029875 0.57375586 0.59256138 0.52301805
 0.67939977 0.33374715]"
0.3125,0.34375,"[0.68409729 0.58184924 0.6746703  0.18923333 0.55939411 0.74811935
 0.76302265 0.09991329 0.51972755 0.65410897 0.87848495 0.21843293
 0.61282505 0.52010474 0.96029875 0.57375586 0.59256138 0.52557319
 0.68195491 0.33119201]"
0.3203125,0.34375,"[0.66426103 0.60168549 0.6746703  0.20906958 0.57923037 0.7282831
 0.7431864  0.11974954 0.51972755 0.63427272 0.85864869 0.19859667
 0.6326613  0.53994099 0.96029875 0.55391961 0.59256138 0.54540944
 0.66211866 0.33119201]"
0.318359375,0.345703125,"[0.70613605 0.55981048 0.63279528 0.16719456 0.62110538 0.68640808
 0.70131138 0.16162456 0.56160257 0.63427272 0.85864869 0.15672166
 0.6326613  0.53994099 0.91842373 0.51204459 0.63443639 0.50353443
 0.70399367 0.33119201]"
0.30859375,0.337890625,"[0.70257054 0.56337599 0.6363608  0.16362905 0.61753987 0.68284257
 0.7048769  0.15805905 0.56160257 0.63783824 0.86221421 0.16028717
 0.6326613  0.53994099 0.91842373 0.51204459 0.63087088 0.49996891
 0.70042816 0.3276265 ]"
0.33203125,0.349609375,"[0.6980212  0.56337599 0.63181146 0.16362905 0.62208921 0.67829322
 0.7048769  0.15350971 0.55705323 0.6332889  0.86676355 0.16483651
 0.63721064 0.53994099 0.92297307 0.51204459 0.63542022 0.50451825
 0.69587882 0.33217584]"
0.31640625,0.361328125,"[0.69945667 0.56481147 0.63324693 0.16219357 0.62208921 0.67829322
 0.70344142 0.15350971 0.55705323 0.63185342 0.86532807 0.16483651
 0.63577517 0.53850551 0.92440855 0.51060911 0.63398474 0.50595373
 0.6973143  0.33074036]"
0.31640625,0.337890625,"[0.69712067 0.56247546 0.63558294 0.16219357 0.6197532  0.68062923
 0.70110541 0.15584571 0.55705323 0.63185342 0.86532807 0.16483651
 0.63811117 0.54084152 0.92207254 0.51294512 0.63632075 0.50828974
 0.69497829 0.32840435]"
0.328125,0.35546875,"[0.68259248 0.56247546 0.62105476 0.17672175 0.60522502 0.69515742
 0.68657723 0.1703739  0.57158141 0.6463816  0.86532807 0.1793647
 0.63811117 0.54084152 0.93660072 0.49841694 0.65084893 0.50828974
 0.68045011 0.31387617]"
0.32421875,0.33203125,"[0.67757388 0.56749407 0.62105476 0.18174036 0.60522502 0.70017602
 0.68155863 0.1703739  0.56656281 0.65140021 0.86030947 0.1843833
 0.63309257 0.53582292 0.94161933 0.49339833 0.65084893 0.51330834
 0.68045011 0.30885756]"
0.33984375,0.34765625,"[0.67757388 0.56749407 0.60060233 0.20219279 0.62567745 0.72062845
 0.70201106 0.14992147 0.54611038 0.63094777 0.86030947 0.20483573
 0.653545   0.53582292 0.9211669  0.4729459  0.67130136 0.49285591
 0.68045011 0.32931   ]"
0.337890625,0.37890625,"[0.6792524  0.56581554 0.60228085 0.20051427 0.62567745 0.72230698
 0.70201106 0.14824294 0.54611038 0.63094777 0.86030947 0.20315721
 0.65186648 0.53414439 0.92284542 0.47126738 0.67297989 0.49117739
 0.67877158 0.33098852]"
0.345703125,0.373046875,"[0.6792524  0.56148979 0.5979551  0.20051427 0.6300032  0.71798122
 0.69768531 0.14824294 0.55043613 0.63527353 0.85598371 0.19883146
 0.65619223 0.53414439 0.92284542 0.47559313 0.66865413 0.48685164
 0.68309733 0.32666277]"
0.33984375,0.38671875,"[0.68134222 0.56357961 0.59586528 0.20260408 0.63209301 0.71798122
 0.69768531 0.14615313 0.55252594 0.63527353 0.85598371 0.19674164
 0.65828204 0.53205458 0.92284542 0.47350332 0.67074395 0.48894145
 0.68518715 0.32457295]"
0.341796875,0.3984375,"[0.65479756 0.53703495 0.56932063 0.20260408 0.63209301 0.74452588
 0.69768531 0.11960847 0.5790706  0.66181818 0.88252837 0.19674164
 0.6848267  0.50550992 0.94939008 0.44695866 0.69728861 0.48894145
 0.65864249 0.2980283 ]"
0.35546875,0.404296875,"[0.66616588 0.53703495 0.58068895 0.21397241 0.64346134 0.75589421
 0.70905363 0.1309768  0.59043893 0.66181818 0.8938967  0.19674164
 0.69619503 0.51687825 0.93802175 0.44695866 0.68592028 0.50030978
 0.65864249 0.30939662]"
0.359375,0.3984375,"[0.67836468 0.53703495 0.56849016 0.2261712  0.64346134 0.768093
 0.72125242 0.118778   0.57824013 0.64961939 0.8816979  0.19674164
 0.70839382 0.50467945 0.92582296 0.44695866 0.67372149 0.50030978
 0.6464437  0.29719783]"
0.376953125,0.40625,"[0.66865125 0.52732152 0.57820359 0.2261712  0.63374791 0.768093
 0.71153899 0.118778   0.58795356 0.63990596 0.87198447 0.20645507
 0.69868039 0.50467945 0.91610953 0.45667209 0.66400806 0.51002321
 0.6464437  0.30691126]"
0.3828125,0.41015625,"[0.66865125 0.56389932 0.6147814  0.2261712  0.59717011 0.768093
 0.67496119 0.15535581 0.55137576 0.60332815 0.90856228 0.16987727
 0.66210258 0.54125726 0.91610953 0.42009429 0.66400806 0.54660101
 0.60986589 0.27033346]"
0.359375,0.408203125,"[0.69118456 0.54136601 0.59224808 0.24870451 0.57463679 0.74555969
 0.6974945  0.17788912 0.52884245 0.60332815 0.88602897 0.19241058
 0.6846359  0.54125726 0.91610953 0.39756097 0.66400806 0.5240677
 0.60986589 0.29286677]"
0.375,0.384765625,"[0.69118456 0.51787249 0.61574161 0.22521099 0.59813032 0.76905321
 0.6974945  0.1543956  0.52884245 0.62682168 0.86253544 0.19241058
 0.66114237 0.54125726 0.89261601 0.37406745 0.64051453 0.50057418
 0.63335942 0.26937324]"
