CNN layers: 2
"Kernels: [28, 112]"
NN: 4
"Kernel dim: [2, 2]"
"Pool dim: [2, 2]"
Activation function: softplus
Training accuracy,Test accuracy
0.6524333357810974,0.8036141991615295
0.8287833333015442,0.8338658213615417
0.8507833480834961,0.8524361252784729
0.8624500036239624,0.8583266735076904
0.8712666630744934,0.867611825466156
0.8787999749183655,0.8679113388061523
0.8833833336830139,0.8760982155799866
0.8889666795730591,0.8783945441246033
0.8922666907310486,0.8785942196846008
0.8962833285331726,0.8769968152046204
0.898983359336853,0.8774960041046143
0.9025999903678894,0.8834864497184753
0.90625,0.8893769979476929
0.9072999954223633,0.8870806694030762
0.9106333255767822,0.8848841786384583
0.9134500026702881,0.8901757001876831
0.9161666631698608,0.8845846652984619
0.918483316898346,0.8822883367538452
0.9205166697502136,0.8906749486923218
0.9228166937828064,0.8765974640846252
0.9253000020980835,0.8930711150169373
0.9279833436012268,0.8918730020523071
0.9286166429519653,0.8901757001876831
0.9324166774749756,0.8874800205230713
0.9339166879653931,0.8903753757476807
0.934499979019165,0.8919728398323059
0.9362499713897705,0.8957667946815491
0.9388833045959473,0.8943690061569214
0.939050018787384,0.894069492816925
0.9416833519935608,0.893170952796936
