CNN layers: 3
"Kernels: [28, 56, 112]"
NN: 8
"Kernel dim: [2, 2]"
"Pool dim: [2, 2]"
Activation function: softplus
Training accuracy,Test accuracy
0.6444166898727417,0.7918330430984497
0.812333345413208,0.8095048069953918
0.8363166451454163,0.8334664702415466
0.8485833406448364,0.8385583162307739
0.8576666712760925,0.8376597166061401
0.8637166619300842,0.8505391478538513
0.8704000115394592,0.8478434681892395
0.875,0.8615215420722961
0.8804500102996826,0.865914523601532
0.8854333162307739,0.8651158213615417
0.8880333304405212,0.8686102032661438
0.892799973487854,0.8690096139907837
0.8948000073432922,0.8734025359153748
0.8981500267982483,0.8605231642723083
0.9004833102226257,0.8752995133399963
0.9035833477973938,0.875898540019989
0.9051666855812073,0.8819888234138489
0.9083166718482971,0.8790934681892395
0.9114500284194946,0.8803913593292236
0.9129999876022339,0.8762979507446289
0.9172166585922241,0.8749001622200012
0.916949987411499,0.8767971396446228
0.9203166961669922,0.8824880123138428
0.9207666516304016,0.8763977885246277
0.9242500066757202,0.8728035092353821
0.9268333315849304,0.8787939548492432
0.9276999831199646,0.8808905482292175
0.9301499724388123,0.877595841884613
0.9309333562850952,0.8841853141784668
0.9317833185195923,0.8765974640846252
