Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 105
Training accuracy,Test accuracy,Parameters
0.2265625,0.181640625,"[ 0.58262957  0.39389204  0.50775348  0.23516144  0.82478504  0.97250905
  0.15283396  0.42456478  0.00552901  0.24117944  0.80112099  0.73255172
  0.67250689  0.35773621  0.06418867  0.04066448  0.43336722  0.36177053
  0.95817009  0.70787576  0.27486635  0.23007335  0.05068284  0.28864927
  0.24598298  0.45761009  0.35776739  0.67893834  0.95660126  0.44623985
  0.03699181  0.66800268  0.28021663  0.79756338  0.49813828  0.45952082
  0.76176359  0.25197623  0.24386555  1.01355701  0.08607725  0.64302716
  0.79811922  0.40460826  0.57853553  0.14178439  0.65658319  0.65089386
  0.21546055  0.81784553  0.01307312  0.19836387  0.85577859  0.8690404
  0.2439419   0.30415048  0.26595173  0.99409415  0.1932206   0.57596174
  0.78807941  0.36443581  0.23836594  0.76325518  0.63985536  0.59279649
  0.03442176  0.99577376  0.69998383  0.57168331  0.46363284  0.99612219
  0.57648008  0.21263206  0.7848093   0.21924754  0.41959122  0.69773013
  0.61730467  0.34157955  0.13524868  0.60602176  0.53989376  0.95938465
  0.50422804  0.23313673  0.22770558  0.98793079  0.31263905  0.35483358
  0.27302341  0.90776326  0.00654417  0.83232207  0.04423143  0.03235483
  0.85617848  0.00635887 -0.03317729  0.32344197  0.62142916  0.19812213
  0.88316961  0.52502148  0.48348644  0.39480408  0.19889255  0.60921399
  0.26756516  0.67998857  0.78710862  0.12367365  0.8788071   0.30005026
  0.87643546  0.56371152  0.64954126  0.86466389  1.00024438  0.84155266
  0.15743066  0.28951321 -0.00124564  0.57819764  0.78490461  0.64652126
  0.01701518  0.82004108  0.73596995  0.07761127  0.06594882  0.00978018
  0.77025543  0.46730729  0.3337803   0.26406411  0.31405656  0.45480531
  0.51132814  0.42981493]"
0.380859375,0.423828125,"[ 0.58262957  0.4057981   0.50775348  0.2470675   0.82478504  0.98441511
  0.15283396  0.41265873 -0.00637705  0.24117944  0.78921493  0.73255172
  0.66060084  0.35773621  0.07609473  0.05257054  0.43336722  0.36177053
  0.97007614  0.70787576  0.26296029  0.24197941  0.05068284  0.27674321
  0.25788904  0.46951615  0.35776739  0.69084439  0.95660126  0.43433379
  0.02508576  0.66800268  0.26831058  0.78565732  0.48623223  0.47142688
  0.77366964  0.24007018  0.24386555  1.01355701  0.0979833   0.64302716
  0.78621316  0.39270221  0.56662947  0.12987833  0.66848924  0.6389878
  0.2273666   0.81784553  0.02497918  0.18645782  0.84387253  0.85713435
  0.23203585  0.29224443  0.25404567  1.00600021  0.20512665  0.58786779
  0.79998547  0.37634187  0.25027199  0.75134912  0.63985536  0.58089044
  0.0225157   1.00767982  0.69998383  0.58358937  0.46363284  0.98421613
  0.57648008  0.22453811  0.77290324  0.20734149  0.41959122  0.68582408
  0.62921073  0.3296735   0.12334262  0.61792781  0.52798771  0.97129071
  0.49232199  0.22123067  0.23961163  0.99983684  0.30073299  0.34292753
  0.26111735  0.90776326 -0.00536189  0.83232207  0.05613749  0.02044877
  0.85617848  0.01826493 -0.02127123  0.31153591  0.62142916  0.18621607
  0.89507567  0.52502148  0.4953925   0.40671013  0.2107986   0.59730793
  0.26756516  0.67998857  0.79901468  0.1355797   0.89071316  0.2881442
  0.88834152  0.57561758  0.64954126  0.85275784  0.98833832  0.82964661
  0.1455246   0.27760716  0.01066041  0.5901037   0.79681066  0.64652126
  0.02892123  0.80813503  0.7240639   0.07761127  0.07785487  0.00978018
  0.78216148  0.45540124  0.34568635  0.27597016  0.31405656  0.44289926
  0.49942209  0.44172098]"
0.435546875,0.5390625,"[ 0.74728597  0.2411417   0.67240988  0.4117239   0.82478504  0.81975871
 -0.01182244  0.24800233 -0.17103345  0.24117944  0.62455853  0.89720812
  0.82525724  0.35773621  0.24075113 -0.11208586  0.59802362  0.52642693
  0.80541974  0.70787576  0.42761669  0.07732301 -0.11397356  0.11208681
  0.42254544  0.30485975  0.52242379  0.69084439  1.12125766  0.26967739
  0.18974216  0.83265908  0.43296698  0.95031372  0.32157583  0.30677048
  0.93832604  0.24007018  0.07920915  0.84890061  0.2626397   0.80768356
  0.95086956  0.2280458   0.73128587  0.12987833  0.50383284  0.8036442
  0.392023    0.65318913  0.18963558  0.18645782  0.84387253  1.02179075
  0.39669225  0.12758803  0.25404567  1.00600021  0.36978305  0.75252419
  0.96464187  0.21168546  0.25027199  0.75134912  0.63985536  0.58089044
 -0.1421407   1.00767982  0.53532743  0.58358937  0.62828924  0.98421613
  0.41182368  0.38919451  0.77290324  0.20734149  0.25493482  0.68582408
  0.62921073  0.3296735  -0.04131378  0.78258421  0.36333131  1.13594711
  0.32766559  0.05657427  0.07495523  0.99983684  0.13607659  0.50758393
  0.26111735  1.07241966 -0.17001829  0.66766567  0.22079389  0.02044877
  0.69152208 -0.14639147  0.14338517  0.47619231  0.62142916  0.35087247
  1.05973207  0.52502148  0.4953925   0.57136653  0.2107986   0.43265153
  0.10290876  0.84464497  0.96367108 -0.0290767   0.72605676  0.4528006
  0.72368512  0.41096118  0.48488486  0.68810144  1.15299472  0.82964661
  0.310181    0.44226356  0.17531681  0.4254473   0.79681066  0.48186486
 -0.13573517  0.64347863  0.7240639   0.24226767 -0.08680153  0.17443658
  0.61750508  0.62005764  0.34568635  0.11131376  0.14940016  0.44289926
  0.33476569  0.27706458]"
0.447265625,0.390625,"[ 0.84783335  0.14059432  0.77295726  0.51227128  0.82478504  0.92030608
 -0.11236982  0.24800233 -0.17103345  0.14063206  0.62455853  0.89720812
  0.92580461  0.45828358  0.34129851 -0.21263324  0.49747624  0.42587956
  0.80541974  0.80842314  0.52816407 -0.02322437 -0.01342618  0.21263419
  0.42254544  0.30485975  0.62297117  0.79139177  1.12125766  0.37022477
  0.18974216  0.93320646  0.3324196   1.0508611   0.42212321  0.40731785
  0.83777867  0.34061756  0.17975653  0.74835323  0.2626397   0.70713618
  1.05141694  0.12749843  0.83183325  0.23042571  0.50383284  0.90419158
  0.49257038  0.65318913  0.0890882   0.08591044  0.74332515  1.12233813
  0.49723963  0.12758803  0.25404567  1.10654759  0.36978305  0.85307157
  0.86409449  0.11113809  0.35081937  0.75134912  0.63985536  0.48034306
 -0.1421407   1.1082272   0.43478005  0.48304199  0.72883662  0.88366875
  0.3112763   0.38919451  0.87345062  0.10679411  0.25493482  0.5852767
  0.52866335  0.43022088 -0.04131378  0.88313159  0.26278393  1.23649448
  0.42821296  0.05657427 -0.02559214  0.99983684  0.23662397  0.40703655
  0.16056997  0.97187228 -0.27056567  0.66766567  0.22079389  0.12099615
  0.79206946 -0.24693885  0.24393255  0.37564493  0.52088178  0.35087247
  1.05973207  0.62556885  0.39484512  0.67191391  0.31134598  0.53319891
  0.20345614  0.74409759  0.96367108 -0.12962408  0.82660413  0.35225322
  0.8242325   0.3104138   0.58543224  0.78864882  1.05244735  0.93019399
  0.20963363  0.44226356  0.17531681  0.52599467  0.69626329  0.58241224
 -0.23628254  0.64347863  0.62351652  0.24226767  0.01374585  0.17443658
  0.71805246  0.51951026  0.24513898  0.01076639  0.04885278  0.34235188
  0.33476569  0.37761196]"
0.517578125,0.515625,"[ 0.85442194  0.13400573  0.77295726  0.51227128  0.81819645  0.92689468
 -0.11895841  0.25459092 -0.16444486  0.13404347  0.61796994  0.89061953
  0.93239321  0.45828358  0.33470991 -0.20604465  0.49747624  0.42587956
  0.79883115  0.80842314  0.52816407 -0.01663578 -0.00683759  0.2060456
  0.42913403  0.30485975  0.61638257  0.79139177  1.12784625  0.36363618
  0.19633075  0.93979505  0.3324196   1.04427251  0.4287118   0.40731785
  0.83777867  0.34720615  0.17316794  0.75494182  0.25605111  0.71372477
  1.05800553  0.12090984  0.83842184  0.23042571  0.51042143  0.91078017
  0.48598179  0.65318913  0.08249961  0.07932185  0.74991375  1.11574953
  0.49065104  0.12099944  0.26063426  1.11313618  0.37637164  0.84648298
  0.87068308  0.11772668  0.34423078  0.74476053  0.64644395  0.48693165
 -0.1421407   1.1082272   0.43478005  0.4764534   0.72883662  0.88366875
  0.30468771  0.38260592  0.86686203  0.10679411  0.25493482  0.59186529
  0.52866335  0.42363228 -0.04131378  0.876543    0.26278393  1.24308308
  0.42821296  0.04998568 -0.01900355  0.99324825  0.23662397  0.40703655
  0.16715857  0.96528369 -0.26397707  0.67425426  0.2142053   0.12099615
  0.78548087 -0.24693885  0.23734396  0.38223352  0.51429319  0.35087247
  1.06632066  0.62556885  0.39484512  0.6785025   0.30475739  0.5397875
  0.19686755  0.737509    0.97025967 -0.13621267  0.82001554  0.35884181
  0.8176439   0.30382521  0.59202083  0.79523741  1.04585876  0.93019399
  0.21622222  0.44885215  0.18190541  0.53258326  0.6896747   0.58900083
 -0.22969395  0.64347863  0.63010511  0.23567908  0.01374585  0.18102518
  0.72464105  0.51292167  0.25172757  0.00417779  0.04226419  0.33576329
  0.34135428  0.37102337]"
0.55078125,0.62109375,"[ 0.86643864  0.14602242  0.77295726  0.52428797  0.83021314  0.92689468
 -0.11895841  0.24257422 -0.17646155  0.13404347  0.62998664  0.90263622
  0.93239321  0.44626689  0.34672661 -0.21806134  0.48545954  0.42587956
  0.81084785  0.79640644  0.51614737 -0.01663578  0.00517911  0.2060456
  0.44115073  0.31687644  0.61638257  0.80340847  1.12784625  0.37565287
  0.20834744  0.93979505  0.3324196   1.03225581  0.44072849  0.39530116
  0.84979536  0.35922284  0.18518463  0.76695852  0.24403442  0.72574147
  1.05800553  0.10889314  0.82640514  0.23042571  0.51042143  0.92279687
  0.49799849  0.64117244  0.0945163   0.06730515  0.73789705  1.12776623
  0.50266773  0.12099944  0.27265096  1.11313618  0.36435495  0.84648298
  0.87068308  0.11772668  0.34423078  0.73274383  0.63442725  0.49894835
 -0.130124    1.1082272   0.42276336  0.4644367   0.72883662  0.89568545
  0.31670441  0.37058923  0.87887872  0.09477741  0.24291813  0.57984859
  0.54068005  0.43564898 -0.02929708  0.876543    0.25076723  1.23106638
  0.41619627  0.03796899 -0.03102025  0.98123155  0.23662397  0.39501985
  0.15514187  0.95326699 -0.25196038  0.66223757  0.2021886   0.13301284
  0.79749757 -0.25895555  0.23734396  0.39425022  0.52630989  0.36288917
  1.05430396  0.62556885  0.39484512  0.6905192   0.31677408  0.5518042
  0.20888425  0.7495257   0.97025967 -0.14822936  0.83203224  0.35884181
  0.8296606   0.30382521  0.59202083  0.8072541   1.03384206  0.94221068
  0.20420552  0.46086885  0.1939221   0.53258326  0.70169139  0.57698413
 -0.24171065  0.63146193  0.61808841  0.24769578  0.02576255  0.19304187
  0.73665775  0.51292167  0.26374426  0.01619449  0.05428089  0.32374659
  0.32933758  0.37102337]"
0.580078125,0.58203125,"[ 0.84173657  0.17072449  0.79765932  0.52428797  0.83021314  0.90219261
 -0.11895841  0.26727629 -0.17646155  0.13404347  0.6546887   0.92733829
  0.90769114  0.44626689  0.34672661 -0.24276341  0.51016161  0.45058162
  0.83554991  0.82110851  0.54084944  0.00806628  0.02988117  0.18134353
  0.46585279  0.29217438  0.64108464  0.7787064   1.10314418  0.40035494
  0.18364538  0.91509299  0.30771753  1.05695788  0.41602643  0.42000322
  0.87449743  0.35922284  0.2098867   0.74225645  0.24403442  0.7010394
  1.03330346  0.10889314  0.85110721  0.23042571  0.51042143  0.8980948
  0.47329642  0.6658745   0.11921837  0.04260309  0.76259911  1.10306417
  0.5273698   0.12099944  0.29735302  1.13783825  0.38905701  0.82178091
  0.89538515  0.14242874  0.36893284  0.7574459   0.60972519  0.52365041
 -0.130124    1.08352513  0.44746542  0.43973464  0.75353868  0.89568545
  0.31670441  0.34588716  0.90358079  0.11947948  0.24291813  0.60455066
  0.51597798  0.41094692 -0.05399915  0.85184093  0.25076723  1.23106638
  0.44089833  0.01326692 -0.00631818  0.95652949  0.26132603  0.41972192
  0.1304398   0.97796906 -0.27666244  0.68693963  0.2021886   0.15771491
  0.79749757 -0.23425348  0.21264189  0.39425022  0.55101195  0.36288917
  1.07900603  0.60086679  0.37014305  0.66581713  0.29207202  0.57650626
  0.20888425  0.77422776  0.9455576  -0.14822936  0.80733017  0.38354388
  0.8296606   0.30382521  0.61672289  0.83195617  1.00913999  0.94221068
  0.17950346  0.46086885  0.16922004  0.53258326  0.67698933  0.55228207
 -0.24171065  0.60675987  0.64279048  0.22299371  0.02576255  0.21774394
  0.73665775  0.4882196   0.26374426 -0.00850757  0.02957882  0.32374659
  0.30463552  0.39572543]"
0.6171875,0.63671875,"[ 0.76402128  0.24843978  0.79765932  0.60200326  0.83021314  0.82447732
 -0.1966737   0.34499158 -0.09874626  0.13404347  0.6546887   0.92733829
  0.82997585  0.52398218  0.4244419  -0.16504812  0.5878769   0.45058162
  0.75783462  0.8988238   0.61856473  0.08578158  0.02988117  0.10362824
  0.54356808  0.36988967  0.56336935  0.7787064   1.10314418  0.32263965
  0.26136067  0.99280828  0.38543283  1.13467317  0.33831114  0.34228793
  0.79678214  0.43693814  0.28760199  0.81997175  0.16631912  0.62332411
  1.03330346  0.03117785  0.77339192  0.23042571  0.43270614  0.9758101
  0.39558113  0.58815921  0.04150308 -0.0351122   0.84031441  1.02534887
  0.5273698   0.19871473  0.37506832  1.13783825  0.31134172  0.8994962
  0.97310044  0.06471345  0.29121755  0.7574459   0.68744048  0.60136571
 -0.20783929  1.16124042  0.52518071  0.51744993  0.83125397  0.81797016
  0.23898911  0.26817187  0.98129608  0.19719477  0.24291813  0.68226595
  0.43826269  0.41094692 -0.13171444  0.85184093  0.17305194  1.23106638
  0.44089833  0.01326692 -0.00631818  0.8788142   0.33904133  0.41972192
  0.1304398   1.05568435 -0.27666244  0.68693963  0.12447331  0.07999962
  0.71978228 -0.15653819  0.29035718  0.39425022  0.47329666  0.36288917
  1.00129074  0.67858208  0.44785835  0.74353242  0.29207202  0.49879097
  0.28659954  0.85194305  0.9455576  -0.22594466  0.88504546  0.38354388
  0.8296606   0.3815405   0.69443819  0.90967146  0.9314247   1.01992597
  0.25721875  0.38315356  0.09150475  0.45486797  0.67698933  0.47456678
 -0.16399536  0.68447516  0.72050577  0.14527842 -0.05195274  0.29545923
  0.81437304  0.4882196   0.34145956  0.06920772 -0.04813647  0.32374659
  0.30463552  0.47344073]"
0.640625,0.640625,"[ 0.76402128  0.24843978  0.81612838  0.60200326  0.81174409  0.80600826
 -0.17820464  0.32652252 -0.09874626  0.11557441  0.6546887   0.92733829
  0.82997585  0.54245124  0.40597284 -0.18351718  0.60634596  0.45058162
  0.73936556  0.8988238   0.60009567  0.06731252  0.02988117  0.08515918
  0.56203714  0.35142061  0.56336935  0.76023735  1.08467512  0.3411087
  0.24289161  1.01127734  0.40390188  1.15314223  0.31984208  0.34228793
  0.77831308  0.45540719  0.28760199  0.81997175  0.14785007  0.64179317
  1.01483441  0.01270879  0.79186098  0.21195665  0.41423708  0.95734104
  0.41405019  0.58815921  0.05997214 -0.01664315  0.84031441  1.00687982
  0.5273698   0.21718378  0.35659926  1.13783825  0.29287266  0.88102715
  0.97310044  0.08318251  0.29121755  0.7574459   0.66897142  0.60136571
 -0.22630835  1.16124042  0.52518071  0.53591899  0.81278492  0.7995011
  0.25745817  0.28664093  0.98129608  0.19719477  0.26138718  0.70073501
  0.45673175  0.39247786 -0.1501835   0.87030999  0.15458288  1.24953544
  0.42242927 -0.00520214  0.01215088  0.86034514  0.33904133  0.43819097
  0.11197075  1.03721529 -0.27666244  0.66847057  0.10600425  0.06153056
  0.70131322 -0.17500725  0.29035718  0.37578116  0.49176572  0.34442011
  1.01975979  0.67858208  0.4663274   0.72506337  0.27360296  0.48032192
  0.3050686   0.833474    0.96402666 -0.24441371  0.86657641  0.38354388
  0.8296606   0.36307144  0.67596913  0.92814052  0.94989376  1.03839503
  0.23874969  0.40162261  0.07303569  0.43639892  0.67698933  0.49303583
 -0.1455263   0.6660061   0.73897483  0.12680936 -0.03348369  0.31392829
  0.8328421   0.4882196   0.3229905   0.08767677 -0.04813647  0.30527753
  0.32310458  0.49190978]"
0.591796875,0.578125,"[ 0.68872357  0.17314207  0.81612838  0.52670555  0.73644637  0.80600826
 -0.25350235  0.32652252 -0.02344855  0.11557441  0.57939099  1.002636
  0.75467814  0.46715353  0.40597284 -0.18351718  0.68164367  0.52587933
  0.66406785  0.82352609  0.60009567  0.06731252 -0.04541654  0.08515918
  0.63733485  0.2761229   0.56336935  0.83553506  1.00937741  0.41640641
  0.31818932  1.08657505  0.47919959  1.22843994  0.31984208  0.34228793
  0.85361079  0.53070491  0.3628997   0.74467403  0.07255235  0.71709088
  1.01483441 -0.06258892  0.71656326  0.28725436  0.33893937  0.88204333
  0.33875248  0.58815921  0.05997214 -0.09194086  0.91561212  0.9315821
  0.45207209  0.14188607  0.28130155  1.06254053  0.36817038  0.95632486
  1.04839815  0.0078848   0.21591984  0.7574459   0.66897142  0.52606799
 -0.15101064  1.08594271  0.449883    0.6112167   0.88808263  0.72420339
  0.18216046  0.36193864  0.98129608  0.12189706  0.18608947  0.70073501
  0.53202946  0.39247786 -0.07488579  0.79501228  0.07928517  1.17423773
  0.49772699  0.07009558 -0.06314684  0.78504743  0.41433904  0.51348869
  0.11197075  1.03721529 -0.35196015  0.59317286  0.03070654  0.06153056
  0.77661093 -0.17500725  0.36565489  0.45107887  0.41646801  0.2691224
  1.09505751  0.60328437  0.54162512  0.64976565  0.34890067  0.55561963
  0.38036631  0.75817628  0.96402666 -0.24441371  0.86657641  0.30824617
  0.8296606   0.43836915  0.60067142  0.85284281  1.02519147  1.03839503
  0.23874969  0.3263249   0.1483334   0.51169663  0.75228704  0.56833355
 -0.1455263   0.6660061   0.73897483  0.05151165  0.04181403  0.389226
  0.90813981  0.4882196   0.3229905   0.16297449 -0.12343418  0.38057524
  0.39840229  0.41661207]"
