CNN layers: 2
"Kernels: [28, 28]"
NN: 1
"Kernel dim: [2, 2]"
"Pool dim: [2, 2]"
Activation function: sigmoid
Training accuracy,Test accuracy
0.661899983882904,0.782148540019989
0.821150004863739,0.8240814805030823
0.8429666757583618,0.8449480533599854
0.856333315372467,0.8521365523338318
0.8650166392326355,0.8497403860092163
0.8720333576202393,0.8610223531723022
0.8776833415031433,0.8550319671630859
0.8823000192642212,0.8679113388061523
0.8867499828338623,0.8682108521461487
0.8890833258628845,0.8666134476661682
0.8942999839782715,0.8745008111000061
0.8955666422843933,0.8798921704292297
0.8986833095550537,0.8811901211738586
0.9007999897003174,0.878494381904602
0.9034333229064941,0.8847843408584595
0.9047666788101196,0.8716054558753967
0.9075166583061218,0.8878793716430664
0.9103000164031982,0.8868809938430786
0.9119166731834412,0.8889776468276978
0.9137666821479797,0.8800918459892273
0.9170833230018616,0.8922723531723022
0.9185500144958496,0.8916733264923096
0.9211666584014893,0.8910742998123169
0.9229833483695984,0.8894768357276917
0.9244999885559082,0.8951677083969116
0.9277833104133606,0.8930711150169373
0.9276333451271057,0.8939696550369263
0.929183304309845,0.8946685194969177
0.930816650390625,0.893170952796936
0.9335166811943054,0.8943690061569214
