CNN layers: 3
"Kernels: [56, 112, 112]"
NN: 7
"Kernel dim: [2, 2]"
"Pool dim: [2, 2]"
Activation function: sigmoid
Training accuracy,Test accuracy
0.613016664981842,0.7669728398323059
0.7996500134468079,0.800818681716919
0.8243333101272583,0.8183905482292175
0.8369333148002625,0.8236821293830872
0.8477500081062317,0.8342651724815369
0.853866696357727,0.8412539958953857
0.8590333461761475,0.8327675461769104
0.8641666769981384,0.8493410348892212
0.8697666525840759,0.852835476398468
0.8725500106811523,0.8560303449630737
0.8766000270843506,0.8612220287322998
0.8820000290870667,0.861920952796936
0.8844000101089478,0.8610223531723022
0.889116644859314,0.8656150102615356
0.8902166485786438,0.8556309938430786
0.8937833309173584,0.8735023736953735
0.8967166543006897,0.8658146858215332
0.8989999890327454,0.8726038336753845
0.9016166925430298,0.8725039958953857
0.904449999332428,0.8763977885246277
0.9062666893005371,0.878494381904602
0.907966673374176,0.8777955174446106
0.911466658115387,0.8763977885246277
0.9117833375930786,0.8737020492553711
0.9146666526794434,0.8783945441246033
0.9164000153541565,0.8831868767738342
0.9189666509628296,0.8826876878738403
0.9200500249862671,0.8829872012138367
0.9218999743461609,0.8841853141784668
0.9229000210762024,0.8822883367538452
