Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 45
Training accuracy,Test accuracy,Parameters
0.193359375,0.189453125,"[0.27857873 0.50963877 0.50810905 0.74568185 0.47988882 0.31207327
 0.04242427 0.16138268 0.02334289 0.9351223  0.26733029 0.27743848
 0.9545391  0.99901741 0.91376538 0.68857589 0.88140014 0.48015592
 0.77575791 0.45749967 0.69615755 0.42476152 0.1607271  0.89332922
 0.77470169 0.77448978 0.68535483 0.81126199 0.67465914 0.13657042
 0.48694197 0.64354982 0.13089833 0.29986794 0.31403589 0.9059715
 0.87985786 0.51438963 0.16893052 0.09324926 0.78864829 0.70689433
 0.50110217 0.30443728 0.32849364 0.88140509 0.60527977 0.06499877
 0.66284684 0.67279867 0.20977756 0.37392256 0.90044701 0.84118294
 0.04338081 0.6782216  0.79488209 0.23438104 0.83275294 0.70199531]"
0.302734375,0.32421875,"[0.27730168 0.50836171 0.50683199 0.74568185 0.47861176 0.31079621
 0.04370133 0.16265974 0.02461995 0.9351223  0.26605323 0.27743848
 0.95581616 0.99901741 0.91376538 0.68729883 0.88012308 0.47887886
 0.77703497 0.45749967 0.69488049 0.42348446 0.1607271  0.89460628
 0.77597875 0.77576684 0.68407777 0.81253905 0.6759362  0.13657042
 0.48694197 0.64354982 0.12962127 0.29859088 0.31531295 0.90469444
 0.8785808  0.51438963 0.16765346 0.09452632 0.78737123 0.70817139
 0.50237923 0.30316022 0.32721658 0.88268215 0.60400271 0.06627583
 0.66156978 0.67279867 0.20977756 0.37519962 0.90044701 0.84246
 0.04338081 0.67949866 0.79615915 0.23310398 0.83403    0.70327237]"
0.24609375,0.33203125,"[0.26043931 0.49149934 0.48996962 0.74568185 0.47861176 0.29393384
 0.02683896 0.16265974 0.02461995 0.9351223  0.2829156  0.29430085
 0.97267853 0.98215504 0.93062775 0.67043646 0.89698545 0.47887886
 0.7601726  0.47436204 0.71174286 0.42348446 0.1607271  0.91146865
 0.75911638 0.75890447 0.6672154  0.79567668 0.69279857 0.15343279
 0.48694197 0.64354982 0.14648363 0.28172851 0.33217532 0.88783207
 0.89544317 0.51438963 0.16765346 0.07766395 0.77050886 0.72503376
 0.5192416  0.28629785 0.31035421 0.89954452 0.62086508 0.0831382
 0.67843215 0.68966104 0.19291519 0.35833725 0.90044701 0.82559763
 0.04338081 0.66263629 0.77929678 0.23310398 0.85089237 0.72013474]"
0.26953125,0.345703125,"[ 0.1894434   0.56249524  0.41897371  0.74568185  0.54960767  0.36492974
  0.09783487  0.23365565 -0.04637596  0.9351223   0.3539115   0.36529675
  0.90168263  0.91115914  0.85963184  0.74143237  0.82598954  0.47887886
  0.83116851  0.40336613  0.71174286  0.35248855  0.23172301  0.84047275
  0.83011229  0.68790856  0.6672154   0.72468078  0.76379448  0.2244287
  0.48694197  0.57255391  0.21747954  0.28172851  0.33217532  0.95882797
  0.96643908  0.51438963  0.09665755  0.00666805  0.84150477  0.72503376
  0.5902375   0.21530195  0.31035421  0.82854862  0.54986918  0.0831382
  0.74942806  0.61866514  0.19291519  0.28734135  0.90044701  0.89659353
  0.04338081  0.73363219  0.85029269  0.16210808  0.77989646  0.64913883]"
0.4453125,0.486328125,"[ 0.16161128  0.59032737  0.39114159  0.71784973  0.52177554  0.33709762
  0.12566699  0.20582352 -0.07420808  0.9351223   0.3539115   0.36529675
  0.92951475  0.91115914  0.85963184  0.74143237  0.79815742  0.50671099
  0.85900063  0.43119826  0.68391074  0.38032068  0.23172301  0.86830487
  0.85794441  0.68790856  0.63938328  0.75251291  0.73596235  0.2244287
  0.51477409  0.60038604  0.24531166  0.30956063  0.36000745  0.9866601
  0.93860695  0.48655751  0.09665755 -0.02116408  0.86933689  0.69720164
  0.5902375   0.24313407  0.33818633  0.82854862  0.54986918  0.05530608
  0.77726018  0.59083301  0.16508307  0.31517348  0.87261489  0.89659353
  0.07121294  0.76146432  0.85029269  0.1899402   0.80772859  0.67697096]"
0.583984375,0.623046875,"[ 0.16161128  0.59752322  0.39114159  0.71065387  0.52177554  0.34429347
  0.13286285  0.19862766 -0.08140394  0.92792644  0.34671565  0.37249261
  0.92951475  0.90396328  0.85963184  0.73423651  0.79815742  0.51390684
  0.85900063  0.4240024   0.67671488  0.38751653  0.23891886  0.86830487
  0.85074856  0.69510442  0.63218742  0.75251291  0.7287665   0.21723284
  0.51477409  0.60758189  0.23811581  0.30236478  0.35281159  0.99385595
  0.94580281  0.47936165  0.10385341 -0.02116408  0.86214104  0.69000578
  0.58304164  0.23593822  0.33099047  0.82135276  0.55706503  0.05530608
  0.77726018  0.59802887  0.17227892  0.32236933  0.87981074  0.89659353
  0.06401708  0.76866017  0.84309683  0.19713606  0.80053273  0.67697096]"
0.591796875,0.607421875,"[ 0.18478417  0.59752322  0.36796869  0.68748098  0.49860265  0.34429347
  0.13286285  0.22180056 -0.05823105  0.90475355  0.34671565  0.34931972
  0.95268765  0.88079039  0.85963184  0.71106362  0.82133031  0.49073395
  0.83582774  0.4471753   0.65354198  0.41068943  0.23891886  0.84513198
  0.85074856  0.67193153  0.65536031  0.75251291  0.75193939  0.19405995
  0.4916012   0.60758189  0.21494291  0.32553767  0.37598449  0.97068306
  0.9689757   0.50253455  0.1270263   0.00200881  0.88531393  0.66683289
  0.55986875  0.21276532  0.35416337  0.84452565  0.53389214  0.05530608
  0.80043308  0.59802887  0.14910603  0.32236933  0.85663785  0.89659353
  0.06401708  0.76866017  0.86626972  0.22030895  0.77735984  0.70014385]"
0.6015625,0.642578125,"[ 0.1074863   0.52022535  0.29067082  0.68748098  0.49860265  0.2669956
  0.21016072  0.29909843 -0.05823105  0.82745567  0.34671565  0.34931972
  1.02998552  0.80349251  0.78233397  0.78836149  0.89862818  0.49073395
  0.75852987  0.52447317  0.73083986  0.41068943  0.31621674  0.84513198
  0.85074856  0.59463365  0.57806244  0.75251291  0.82923727  0.27135782
  0.4916012   0.53028402  0.13764504  0.40283554  0.45328236  1.04798093
  1.04627358  0.57983242  0.04972843  0.07930669  0.80801606  0.58953501
  0.48257087  0.2900632   0.35416337  0.76722778  0.53389214  0.13260395
  0.87773095  0.67532674  0.14910603  0.24507146  0.93393572  0.97389141
  0.14131496  0.6913623   0.78897185  0.14301108  0.77735984  0.77744173]"
0.658203125,0.666015625,"[ 0.1074863   0.55708519  0.32753066  0.72434082  0.49860265  0.23013576
  0.24702057  0.26223859 -0.05823105  0.79059583  0.38357549  0.34931972
  1.02998552  0.76663267  0.81919381  0.75150165  0.93548803  0.49073395
  0.75852987  0.48761333  0.69398002  0.37382959  0.2793569   0.84513198
  0.8876084   0.63149349  0.61492228  0.71565306  0.82923727  0.27135782
  0.45474136  0.56714386  0.1007852   0.3659757   0.45328236  1.08484077
  1.00941374  0.61669226  0.04972843  0.04244685  0.8448759   0.62639485
  0.51943072  0.2900632   0.39102321  0.80408762  0.4970323   0.09574411
  0.91459079  0.6384669   0.11224619  0.20821162  0.97079556  0.97389141
  0.10445512  0.6913623   0.75211201  0.17987092  0.81421968  0.81430157]"
0.607421875,0.638671875,"[ 0.08211378  0.53171268  0.32753066  0.6989683   0.49860265  0.20476324
  0.27239308  0.26223859 -0.08360356  0.81596835  0.38357549  0.34931972
  1.00461301  0.79200519  0.79382129  0.75150165  0.96086054  0.51610646
  0.78390238  0.51298584  0.71935253  0.3992021   0.30472941  0.87050449
  0.91298091  0.60612098  0.58954977  0.71565306  0.80386475  0.24598531
  0.42936884  0.54177135  0.12615771  0.39134822  0.42790985  1.08484077
  1.03478625  0.61669226  0.04972843  0.04244685  0.81950338  0.65176737
  0.54480323  0.26469068  0.41639572  0.77871511  0.47165978  0.12111663
  0.93996331  0.6384669   0.1376187   0.1828391   0.97079556  0.94851889
  0.10445512  0.66598978  0.72673949  0.17987092  0.8395922   0.83967408]"
