Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 105
Training accuracy,Test accuracy,Parameters
0.189453125,0.197265625,"[0.96428259 0.44587277 0.53303411 0.94454098 0.01215612 0.96020022
 0.31255327 0.59932125 0.16235082 0.12284798 0.68796317 0.20911521
 0.48520694 0.44365161 0.46285587 0.45228103 0.1900089  0.74535602
 0.39466445 0.72511898 0.09924539 0.75653874 0.46492573 0.30666494
 0.19062014 0.88245137 0.54015499 0.74291117 0.69681931 0.43293461
 0.3949116  0.17182309 0.84283704 0.02786913 0.0342443  0.94878164
 0.70045655 0.81507259 0.79136327 0.73015397 0.38569696 0.81460645
 0.22237283 0.50385857 0.25805962 0.80311889 0.27928287 0.93020249
 0.43608251 0.56877919 0.9793974  0.33251092 0.4713349  0.88750583
 0.81599291 0.74102359 0.06569783 0.77256958 0.3913391  0.16243883
 0.57462965 0.87007987 0.75679358 0.20203115 0.77559009 0.51145709
 0.88452377 0.27794326 0.6621386  0.17875399 0.03943923 0.56001874
 0.39897919 0.98919934 0.12899677 0.03952276 0.71702892 0.40737895
 0.0283806  0.45621665 0.13339457 0.22103726 0.87602922 0.92337576
 0.05241313 0.31692164 0.5155498  0.23087237 0.05690799 0.49834169
 0.95605567 0.88614639 0.24293685 0.82904003 0.51293521 0.37528109
 0.11272622 0.35907989 0.68502385 0.96189076 0.30854815 0.05017058
 0.0156364  0.10787155 0.31497307 0.849172   0.53117048 0.97958693
 0.99097694 0.67423524 0.89869859 0.2707383  0.36366782 0.09631263
 0.32822823 0.36452792 0.32104782 0.63789538 0.71643481 0.08289498
 0.45873254 0.27814024 0.97189976 0.38311799 0.28553867 0.06876762
 0.71912494 0.99552537 0.95225195 0.89321374 0.7111992  0.18522099
 0.93821298 0.52904631 0.01028608 0.4701497  0.34403381 0.77064649
 0.36632007 0.81950877]"
0.546875,0.576171875,"[ 0.8720209   0.44587277  0.53303411  0.85227929  0.01215612  1.05246191
  0.40481496  0.69158294  0.07008913  0.0305863   0.78022486  0.11685353
  0.48520694  0.44365161  0.37059419  0.45228103  0.28227059  0.74535602
  0.30240277  0.6328573   0.00698371  0.66427705  0.46492573  0.39892663
  0.28288183  0.97471306  0.63241668  0.83517286  0.78908099  0.43293461
  0.30264991  0.26408477  0.84283704 -0.06439256 -0.05801739  0.85651995
  0.60819486  0.81507259  0.88362496  0.73015397  0.29343528  0.90686814
  0.31463452  0.50385857  0.16579793  0.80311889  0.37154455  0.93020249
  0.43608251  0.56877919  0.9793974   0.33251092  0.56359659  0.97976751
  0.72373122  0.74102359 -0.02656386  0.6803079   0.3913391   0.25470051
  0.48236797  0.96234155  0.6645319   0.20203115  0.86785177  0.51145709
  0.79226208  0.37020495  0.75440029  0.0864923  -0.05282245  0.46775705
  0.3067175   0.98919934  0.22125846  0.13178445  0.80929061  0.49964064
  0.12064229  0.54847834  0.04113288  0.12877557  0.96829091  0.83111407
  0.14467482  0.22465996  0.42328811  0.13861069  0.05690799  0.59060338
  0.86379398  0.97840808  0.33519854  0.92130172  0.42067353  0.37528109
  0.02046454  0.26681821  0.77728553  0.86962907  0.40080984 -0.04209111
  0.10789809  0.10787155  0.31497307  0.75691031  0.53117048  1.07184862
  1.08323862  0.58197355  0.80643691  0.17847661  0.36366782  0.18857432
  0.42048991  0.27226623  0.32104782  0.54563369  0.8086965   0.08289498
  0.45873254  0.27814024  0.87963807  0.29085631  0.37780035 -0.02349406
  0.62686325  0.90326368  1.04451364  0.98547542  0.80346089  0.0929593
  1.03047467  0.621308   -0.08197561  0.37788801  0.25177212  0.6783848
  0.36632007  0.91177046]"
0.5859375,0.5703125,"[ 0.91345056  0.48730242  0.49160445  0.89370895 -0.02927354  1.05246191
  0.36338531  0.7330126   0.07008913 -0.01084336  0.78022486  0.15828318
  0.48520694  0.48508126  0.41202384  0.49371069  0.24084093  0.78678567
  0.30240277  0.6328573   0.04841336  0.70570671  0.42349608  0.44035628
  0.24145217  1.01614271  0.63241668  0.87660251  0.78908099  0.39150496
  0.34407956  0.30551443  0.88426669 -0.0229629  -0.09944704  0.8979496
  0.60819486  0.77364293  0.92505462  0.73015397  0.25200562  0.9482978
  0.31463452  0.54528823  0.12436828  0.84454855  0.41297421  0.93020249
  0.47751217  0.56877919  0.93796775  0.29108127  0.52216694  0.93833786
  0.76516088  0.78245324  0.01486579  0.72173755  0.3913391   0.21327086
  0.52379762  0.9209119   0.70596155  0.2434608   0.90928143  0.55288675
  0.75083242  0.37020495  0.71297063  0.0864923  -0.09425211  0.42632739
  0.26528785  0.94776969  0.17982881  0.13178445  0.76786096  0.49964064
  0.16207194  0.50704869  0.04113288  0.17020523  0.92686125  0.78968442
  0.18610448  0.1832303   0.38185846  0.09718103  0.05690799  0.59060338
  0.90522364  0.97840808  0.33519854  0.96273137  0.37924387  0.41671074
 -0.02096512  0.30824786  0.77728553  0.82819942  0.40080984 -0.04209111
  0.10789809  0.06644189  0.27354342  0.75691031  0.48974082  1.07184862
  1.12466828  0.58197355  0.84786656  0.13704696  0.40509748  0.23000398
  0.46191957  0.27226623  0.27961817  0.58706335  0.76726684  0.08289498
  0.41730289  0.27814024  0.92106772  0.24942665  0.41923001  0.01793559
  0.6682929   0.86183403  1.08594329  0.94404577  0.76203124  0.13438896
  1.03047467  0.57987834 -0.12340526  0.37788801  0.21034246  0.63695514
  0.40774973  0.8703408 ]"
0.080078125,0.080078125,"[ 0.92699115  0.47376183  0.47806387  0.90724954 -0.04281412  1.05246191
  0.34984472  0.74655318  0.05654854 -0.01084336  0.79376544  0.17182377
  0.48520694  0.47154068  0.39848326  0.4801701   0.22730035  0.80032626
  0.28886218  0.61931671  0.06195395  0.70570671  0.40995549  0.45389687
  0.25499276  1.00260213  0.64595727  0.8901431   0.80262158  0.37796437
  0.33053898  0.31905501  0.87072611 -0.0229629  -0.09944704  0.91149019
  0.60819486  0.76010234  0.91151403  0.71661338  0.26554621  0.93475721
  0.3281751   0.53174764  0.13790886  0.84454855  0.42651479  0.94374307
  0.47751217  0.56877919  0.92442716  0.27754068  0.53570752  0.95187844
  0.75162029  0.79599383  0.00132521  0.72173755  0.40487968  0.22681145
  0.52379762  0.90737131  0.71950214  0.2434608   0.89574084  0.53934616
  0.76437301  0.37020495  0.69943005  0.0864923  -0.09425211  0.43986798
  0.25174726  0.96131027  0.16628822  0.11824386  0.76786096  0.48610005
  0.14853135  0.4935081   0.02759229  0.17020523  0.92686125  0.803225
  0.17256389  0.16968971  0.38185846  0.11072162  0.07044857  0.60414397
  0.91876422  0.96486749  0.32165795  0.97627196  0.37924387  0.41671074
 -0.02096512  0.30824786  0.79082612  0.82819942  0.40080984 -0.04209111
  0.12143868  0.05290131  0.27354342  0.7704509   0.50328141  1.0853892
  1.12466828  0.59551414  0.84786656  0.12350637  0.41863807  0.21646339
  0.46191957  0.28580681  0.29315875  0.57352276  0.75372626  0.06935439
  0.4037623   0.29168082  0.90752714  0.23588607  0.40568942  0.01793559
  0.6682929   0.87537461  1.09948388  0.94404577  0.74849065  0.13438896
  1.01693408  0.59341893 -0.10986468  0.36434743  0.22388305  0.65049573
  0.39420914  0.85680022]"
0.587890625,0.525390625,"[ 0.99121727  0.47376183  0.41383774  0.90724954  0.021412    1.11668803
  0.34984472  0.68232706  0.05654854  0.05338276  0.72953932  0.17182377
  0.42098082  0.5357668   0.33425713  0.54439622  0.16307422  0.80032626
  0.22463606  0.68354283 -0.00227217  0.64148059  0.34572937  0.38967075
  0.19076663  0.938376    0.64595727  0.82591698  0.73839546  0.44219049
  0.26631286  0.38328114  0.93495223  0.04126322 -0.09944704  0.97571631
  0.67242098  0.69587622  0.97574015  0.7808395   0.20132008  0.93475721
  0.26394898  0.53174764  0.20213499  0.78032242  0.49074092  0.87951695
  0.54173829  0.50455307  0.98865328  0.27754068  0.4714814   0.88765232
  0.81584641  0.86021995 -0.06290091  0.65751143  0.4691058   0.22681145
  0.4595715   0.90737131  0.78372826  0.30768693  0.83151472  0.60357228
  0.82859913  0.37020495  0.63520392  0.0864923  -0.15847823  0.5040941
  0.31597338  0.89708415  0.16628822  0.18246998  0.76786096  0.48610005
  0.08430523  0.55773422 -0.03663383  0.17020523  0.86263513  0.73899888
  0.23679001  0.10546359  0.38185846  0.11072162  0.13467469  0.53991785
  0.98299034  1.02909362  0.38588407  1.04049808  0.44346999  0.35248462
 -0.02096512  0.30824786  0.7266      0.89242554  0.46503596 -0.04209111
  0.12143868  0.11712743  0.27354342  0.7704509   0.43905529  1.0853892
  1.1888944   0.65974026  0.78364044  0.05928025  0.41863807  0.15223727
  0.46191957  0.22158069  0.22893263  0.63774888  0.81795238  0.06935439
  0.4037623   0.35590694  0.84330102  0.30011219  0.46991554  0.08216171
  0.73251903  0.87537461  1.03525776  1.00827189  0.74849065  0.19861508
  0.95270796  0.52919281 -0.1740908   0.42857355  0.15965693  0.58626961
  0.39420914  0.7925741 ]"
0.5703125,0.537109375,"[ 0.89672985  0.56824925  0.50832516  1.00173695  0.021412    1.21117544
  0.44433213  0.77681447  0.15103596  0.14787018  0.82402673  0.17182377
  0.42098082  0.5357668   0.23976972  0.63888364  0.25756164  0.80032626
  0.22463606  0.58905542 -0.09675959  0.735968    0.44021678  0.48415816
  0.09627922  0.84388859  0.64595727  0.82591698  0.64390804  0.53667791
  0.36080027  0.28879372  1.02943964  0.13575063 -0.00495963  1.07020373
  0.67242098  0.79036364  0.97574015  0.87532692  0.20132008  0.8402698
  0.3584364   0.53174764  0.20213499  0.87480984  0.3962535   0.97400436
  0.6362257   0.59904048  1.0831407   0.18305327  0.56596881  0.98213974
  0.91033383  0.86021995  0.0315865   0.56302402  0.37461839  0.32129886
  0.4595715   0.90737131  0.87821567  0.40217434  0.92600213  0.50908487
  0.92308655  0.27571753  0.63520392  0.0864923  -0.06399082  0.40960669
  0.4104608   0.99157157  0.07180081  0.08798257  0.86234837  0.39161264
  0.17879265  0.46324681 -0.13112124  0.26469264  0.95712254  0.73899888
  0.33127743  0.19995101  0.38185846  0.20520903  0.13467469  0.63440526
  0.88850293  0.9346062   0.38588407  1.04049808  0.53795741  0.44697204
  0.0735223   0.21376045  0.63211258  0.89242554  0.55952338 -0.04209111
  0.02695126  0.11712743  0.179056    0.86493831  0.34456787  1.17987662
  1.1888944   0.56525285  0.87812786 -0.03520717  0.51312548  0.24672468
  0.36743215  0.31606811  0.13444522  0.63774888  0.81795238  0.16384181
  0.4037623   0.26141953  0.7488136   0.20562477  0.56440296  0.17664913
  0.63803161  0.7808872   0.94077034  1.00827189  0.74849065  0.29310249
  1.04719537  0.62368022 -0.1740908   0.52306096  0.15965693  0.68075702
  0.48869656  0.7925741 ]"
0.55078125,0.4765625,"[ 0.9744632   0.49051591  0.50832516  0.92400361  0.021412    1.28890878
  0.52206548  0.77681447  0.15103596  0.07013684  0.74629339  0.17182377
  0.49871416  0.45803346  0.16203638  0.63888364  0.1798283   0.8780596
  0.22463606  0.66678876 -0.17449293  0.65823466  0.44021678  0.48415816
  0.17401256  0.76615525  0.64595727  0.90365032  0.5661747   0.61441125
  0.28306693  0.21106038  0.9517063   0.13575063  0.07277371  0.99247038
  0.75015432  0.71263029  0.89800681  0.87532692  0.12358674  0.76253645
  0.43616974  0.53174764  0.12440164  0.7970765   0.47398684  0.89627102
  0.55849236  0.59904048  1.00540736  0.10531992  0.56596881  1.05987308
  0.98806717  0.86021995  0.0315865   0.56302402  0.29688505  0.3990322
  0.53730484  0.98510466  0.80048233  0.47990768  1.00373548  0.43135153
  0.8453532   0.35345088  0.71293727  0.16422564 -0.06399082  0.48734003
  0.48819414  0.91383823  0.07180081  0.08798257  0.78461503  0.3138793
  0.1010593   0.54098015 -0.0533879   0.26469264  0.95712254  0.81673222
  0.25354408  0.27768435  0.4595918   0.12747569  0.21240804  0.7121386
  0.81076959  1.01233954  0.38588407  1.11823142  0.46022407  0.36923869
 -0.00421104  0.13602711  0.70984593  0.97015888  0.63725672 -0.04209111
  0.02695126  0.19486077  0.25678934  0.78720497  0.42230121  1.25760996
  1.26662774  0.64298619  0.87812786 -0.11294051  0.51312548  0.32445802
  0.4451655   0.23833477  0.21217856  0.56001554  0.74021904  0.16384181
  0.4037623   0.26141953  0.82654694  0.28335811  0.48666962  0.17664913
  0.71576495  0.70315386  0.863037    0.93053855  0.82622399  0.37083583
  1.04719537  0.54594688 -0.09635746  0.52306096  0.15965693  0.60302368
  0.41096321  0.71484075]"
0.60546875,0.583984375,"[ 1.03140457  0.54745728  0.50832516  0.98094498  0.021412    1.28890878
  0.52206548  0.7198731   0.20797733  0.12707821  0.68935202  0.1148824
  0.44177279  0.40109209  0.10509501  0.69582501  0.12288693  0.8780596
  0.28157743  0.72373013 -0.2314343   0.71517603  0.38327541  0.42721679
  0.11707119  0.76615525  0.64595727  0.90365032  0.5661747   0.55746988
  0.22612556  0.26800175  1.00864767  0.192692    0.01583234  0.93552901
  0.80709569  0.76957167  0.95494818  0.81838554  0.12358674  0.81947782
  0.49311111  0.58868901  0.06746027  0.85401787  0.47398684  0.83932965
  0.50155099  0.65598185  0.94846599  0.04837855  0.50902744  1.00293171
  0.9311258   0.80327858  0.08852787  0.61996539  0.35382642  0.3990322
  0.59424621  0.92816328  0.74354096  0.42296631  1.06067685  0.43135153
  0.78841183  0.35345088  0.71293727  0.22116701 -0.12093219  0.43039866
  0.48819414  0.85689685  0.07180081  0.08798257  0.72767366  0.3138793
  0.1010593   0.48403878 -0.11032927  0.20775127  0.95712254  0.8736736
  0.19660271  0.33462572  0.4595918   0.12747569  0.15546666  0.65519723
  0.75382822  1.01233954  0.44282545  1.06129005  0.51716544  0.36923869
  0.05273033  0.19296848  0.70984593  1.02710025  0.58031535  0.01485026
  0.02695126  0.1379194   0.31373071  0.84414634  0.47924259  1.20066859
  1.26662774  0.69992756  0.93506923 -0.16988188  0.57006685  0.26751665
  0.38822412  0.29527614  0.26911993  0.61695691  0.74021904  0.22078318
  0.34682093  0.26141953  0.76960557  0.22641674  0.42972824  0.17664913
  0.71576495  0.76009523  0.80609563  0.87359718  0.76928262  0.42777721
  0.990254    0.48900551 -0.09635746  0.46611959  0.2165983   0.60302368
  0.41096321  0.77178212]"
0.65625,0.595703125,"[ 1.00297898  0.51903169  0.47989957  1.00937057  0.04983759  1.31733437
  0.49363989  0.69144752  0.20797733  0.15550379  0.71777761  0.08645681
  0.4133472   0.42951767  0.07666942  0.7242506   0.15131251  0.8780596
  0.31000301  0.75215572 -0.20300871  0.68675045  0.411701    0.42721679
  0.08864561  0.73772966  0.61753168  0.90365032  0.59460029  0.55746988
  0.25455114  0.29642734  1.00864767  0.192692   -0.01259325  0.9639546
  0.83552128  0.79799725  0.95494818  0.84681113  0.15201233  0.84790341
  0.5215367   0.58868901  0.06746027  0.82559228  0.47398684  0.81090406
  0.4731254   0.65598185  0.94846599  0.01995297  0.48060186  1.00293171
  0.90270021  0.77485299  0.11695346  0.61996539  0.32540083  0.37060662
  0.6226718   0.8997377   0.71511537  0.4513919   1.03225126  0.40292594
  0.78841183  0.38187646  0.68451168  0.2495926  -0.14935777  0.40197307
  0.51661973  0.85689685  0.07180081  0.05955698  0.69924807  0.28545371
  0.1010593   0.45561319 -0.13875486  0.17932569  0.95712254  0.90209918
  0.16817713  0.30620013  0.4595918   0.15590128  0.18389225  0.68362282
  0.72540263  0.98391396  0.41439986  1.03286446  0.48873985  0.36923869
  0.05273033  0.19296848  0.68142034  1.05552584  0.55188976  0.04327585
  0.05537685  0.16634498  0.3421563   0.81572076  0.50766817  1.22909417
  1.29505333  0.69992756  0.93506923 -0.19830747  0.57006685  0.23909107
  0.41664971  0.29527614  0.24069434  0.61695691  0.76864462  0.24920877
  0.37524652  0.23299394  0.74117999  0.19799116  0.45815383  0.17664913
  0.68733937  0.76009523  0.77767004  0.84517159  0.76928262  0.45620279
  1.01867959  0.48900551 -0.09635746  0.43769401  0.24502389  0.60302368
  0.38253763  0.80020771]"
0.69921875,0.6484375,"[ 1.07251054  0.44950013  0.41036801  1.00937057  0.11936915  1.2478028
  0.42410832  0.62191595  0.20797733  0.22503536  0.64824604  0.01692525
  0.34381564  0.42951767  0.00713786  0.7242506   0.15131251  0.8780596
  0.37953458  0.75215572 -0.13347715  0.75628201  0.411701    0.49674835
  0.15817717  0.80726123  0.61753168  0.83411875  0.66413185  0.48793831
  0.25455114  0.22689577  0.93911611  0.26222357  0.05693832  1.03348616
  0.76598972  0.86752882  0.88541662  0.9163427   0.22154389  0.91743498
  0.5215367   0.65822058 -0.00207129  0.82559228  0.47398684  0.88043563
  0.4731254   0.65598185  0.87893442 -0.0495786   0.48060186  0.93340014
  0.83316864  0.77485299  0.18648502  0.68949695  0.25586927  0.44013818
  0.69220336  0.83020613  0.64558381  0.38186033  0.9627197   0.40292594
  0.71888027  0.3123449   0.61498012  0.31912417 -0.21888934  0.40197307
  0.51661973  0.78736529  0.07180081  0.12908855  0.62971651  0.21592215
  0.03152774  0.38608163 -0.13875486  0.10979412  0.95712254  0.83256762
  0.23770869  0.30620013  0.4595918   0.22543284  0.25342382  0.61409125
  0.72540263  0.91438239  0.48393142  0.9633329   0.55827142  0.36923869
  0.12226189  0.12343691  0.61188877  1.1250574   0.55188976  0.11280741
 -0.01415472  0.23587655  0.27262474  0.88525232  0.43813661  1.15956261
  1.36458489  0.630396    0.86553766 -0.1287759   0.50053529  0.23909107
  0.48618128  0.29527614  0.17116278  0.54742535  0.76864462  0.1796772
  0.30571495  0.16346238  0.81071155  0.26752272  0.45815383  0.24618069
  0.6178078   0.76009523  0.70813848  0.77564003  0.69975106  0.52573436
  1.01867959  0.55853707 -0.09635746  0.50722557  0.17549232  0.67255524
  0.45206919  0.73067615]"
