Number of qubits: 7
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 150
Training accuracy,Test accuracy,Parameters
0.189453125,0.166015625,"[0.75561758 0.78031507 0.88161129 0.768603   0.90161022 0.68830862
 0.63901156 0.64551256 0.43645601 0.14530024 0.64804777 0.22387804
 0.42664381 0.32782192 0.96073463 0.04650092 0.76752026 0.06710083
 0.32886134 0.68937039 0.67218697 0.45425844 0.22014931 0.65900832
 0.76830532 0.09388363 0.60657364 0.82367553 0.16591798 0.40434021
 0.69610979 0.78990805 0.54855725 0.36151322 0.95290625 0.80803276
 0.61004952 0.47158364 0.19465276 0.82532794 0.82664895 0.92111409
 0.72200958 0.62310042 0.23512133 0.1294693  0.85723939 0.60362267
 0.97603887 0.73228248 0.92944413 0.36640556 0.0671635  0.20849805
 0.62820063 0.22765376 0.93843629 0.33269122 0.08603432 0.06038149
 0.9803313  0.65722788 0.4786684  0.68879792 0.09042394 0.81656029
 0.19663329 0.83818289 0.72988041 0.18914776 0.62399948 0.18496657
 0.86431899 0.3667241  0.58067196 0.82692497 0.80224765 0.77877557
 0.33490543 0.73025038 0.45346868 0.90838277 0.71911256 0.30433622
 0.22155407 0.61153235 0.64365361 0.21949568 0.75290606 0.4621062
 0.83663649 0.85906893 0.97125439 0.67957226 0.25794693 0.64082881
 0.61368255 0.82291005 0.9129394  0.84915352 0.42915979 0.49704056
 0.94823145 0.45325211 0.55269976 0.28451734 0.84981647 0.4429335
 0.1521562  0.78650418 0.83867035 0.6787787  0.57754798 0.6208687
 0.10287558 0.00690389 0.63552778 0.84353937 0.81866029 0.28610801
 0.72934494 0.75605296 0.74353524 0.68020618 0.03093076 0.58283684
 0.6342459  0.97856675 0.87064918 0.51275887 0.37405402 0.64057069
 0.99821781 0.71058795 0.2401229  0.64884857 0.53762017 0.7853385
 0.15874172 0.03229432 0.83998976 0.45717822 0.72149779 0.57254077
 0.05408192 0.75754191 0.66923074 0.29369905 0.05798302 0.64445907
 0.88824043 0.17320551 0.26401806 0.43300321 0.94907872 0.01231514
 0.98673902 0.46416947 0.61271159 0.95139173 0.40730391 0.51342492
 0.73270665 0.6100157  0.46996709 0.14306242 0.37393175 0.65296073
 0.51635779 0.59126523 0.78169099 0.70672418 0.97144414 0.80709423
 0.20857025 0.53775446 0.93230959 0.20399132 0.55050115 0.09442089
 0.88004704 0.55947192 0.82511892 1.01043029 0.9183586  0.8273761
 0.73311629 0.7735927  0.17624656 0.68161828 0.85653545 0.377864
 0.46595231 0.4949786  0.36534416 0.14159879 0.24117534 0.21751995
 0.64260659 0.48900726]"
0.24609375,0.2890625,"[0.74027725 0.76497474 0.86627096 0.78394333 0.90161022 0.68830862
 0.65435189 0.64551256 0.45179634 0.16064057 0.64804777 0.20853771
 0.41130348 0.31248159 0.97607496 0.03116059 0.7828606  0.0517605
 0.31352101 0.67403005 0.65684664 0.46959877 0.23548964 0.67434865
 0.78364565 0.10922396 0.62191397 0.83901586 0.15057765 0.40434021
 0.71145013 0.77456772 0.53321692 0.36151322 0.96824658 0.79269243
 0.61004952 0.48692397 0.17931243 0.84066827 0.81130861 0.92111409
 0.70666925 0.63844076 0.219781   0.11412897 0.87257973 0.618963
 0.96069854 0.73228248 0.94478446 0.35106522 0.0671635  0.22383839
 0.61286029 0.21231342 0.93843629 0.31735089 0.10137465 0.07572182
 0.96499097 0.65722788 0.4786684  0.67345759 0.09042394 0.83190062
 0.21197362 0.82284255 0.71454008 0.20448809 0.63933981 0.16962623
 0.87965932 0.35138376 0.58067196 0.81158463 0.81758798 0.77877557
 0.35024576 0.73025038 0.45346868 0.89304243 0.70377222 0.31967655
 0.2368944  0.59619202 0.62831328 0.20415534 0.73756573 0.4621062
 0.82129615 0.85906893 0.98659472 0.66423192 0.25794693 0.65616914
 0.62902288 0.83825039 0.9129394  0.86449386 0.44450012 0.51238089
 0.93289112 0.45325211 0.56804009 0.26917701 0.8651568  0.42759317
 0.1521562  0.80184451 0.83867035 0.69411904 0.56220765 0.60552837
 0.11821592 0.00690389 0.65086811 0.84353937 0.83400062 0.30144834
 0.74468527 0.74071263 0.75887557 0.69554652 0.04627109 0.59817717
 0.61890557 0.97856675 0.88598951 0.51275887 0.38939435 0.65591102
 0.99821781 0.71058795 0.25546323 0.63350824 0.53762017 0.80067883
 0.15874172 0.04763465 0.83998976 0.45717822 0.72149779 0.5878811
 0.03874158 0.77288224 0.66923074 0.30903939 0.07332335 0.6597994
 0.88824043 0.15786518 0.26401806 0.44834355 0.94907872 0.01231514
 0.97139868 0.47950981 0.59737126 0.96673206 0.39196358 0.51342492
 0.73270665 0.62535603 0.48530742 0.15840275 0.37393175 0.66830106
 0.51635779 0.60660556 0.78169099 0.69138384 0.98678447 0.82243456
 0.19322992 0.55309479 0.94764992 0.21933165 0.53516082 0.09442089
 0.8647067  0.54413158 0.84045925 1.02577063 0.90301826 0.84271643
 0.73311629 0.78893303 0.19158689 0.69695862 0.85653545 0.39320433
 0.45061198 0.47963826 0.38068449 0.14159879 0.25651567 0.23286028
 0.65794692 0.47366693]"
0.26171875,0.2734375,"[0.75116122 0.77585871 0.85538699 0.7948273  0.90161022 0.67742465
 0.66523586 0.65639653 0.44091237 0.16064057 0.65893174 0.20853771
 0.42218745 0.31248159 0.96519099 0.02027662 0.77197663 0.06264447
 0.30263704 0.68491402 0.64596267 0.4587148  0.23548964 0.66346468
 0.79452962 0.09833999 0.62191397 0.82813189 0.16146162 0.41522418
 0.70056616 0.78545169 0.52233295 0.35062925 0.95736261 0.8035764
 0.62093349 0.48692397 0.16842846 0.8297843  0.82219258 0.93199806
 0.70666925 0.63844076 0.23066497 0.103245   0.86169576 0.62984697
 0.94981457 0.74316645 0.93390049 0.35106522 0.05627953 0.22383839
 0.61286029 0.21231342 0.92755232 0.30646692 0.10137465 0.06483785
 0.954107   0.66811185 0.4786684  0.66257362 0.09042394 0.84278459
 0.21197362 0.82284255 0.70365611 0.20448809 0.62845584 0.1805102
 0.86877535 0.36226773 0.58067196 0.80070066 0.81758798 0.77877557
 0.33936179 0.74113435 0.45346868 0.9039264  0.69288825 0.33056052
 0.24777837 0.60707599 0.62831328 0.20415534 0.73756573 0.47299017
 0.81041218 0.8699529  0.97571075 0.65334795 0.2688309  0.65616914
 0.63990685 0.82736642 0.9129394  0.85360989 0.43361615 0.52326486
 0.94377509 0.44236814 0.56804009 0.25829304 0.8651568  0.4167092
 0.16304017 0.80184451 0.84955432 0.68323507 0.55132368 0.61641234
 0.11821592 0.00690389 0.66175208 0.85442334 0.84488459 0.31233231
 0.74468527 0.7515966  0.7479916  0.70643049 0.03538712 0.5872932
 0.61890557 0.98945072 0.87510554 0.5018749  0.37851038 0.66679499
 1.00910178 0.69970398 0.2663472  0.63350824 0.53762017 0.78979486
 0.15874172 0.04763465 0.82910579 0.46806219 0.73238176 0.59876507
 0.03874158 0.78376621 0.65834677 0.30903939 0.07332335 0.67068337
 0.87735646 0.15786518 0.27490203 0.43745958 0.93819475 0.02319911
 0.96051471 0.49039378 0.60825523 0.96673206 0.40284755 0.51342492
 0.72182268 0.61447206 0.49619139 0.16928672 0.37393175 0.65741709
 0.50547382 0.59572159 0.77080702 0.70226781 0.9759005  0.83331853
 0.20411389 0.55309479 0.93676595 0.23021562 0.54604479 0.08353692
 0.8647067  0.54413158 0.82957528 1.01488666 0.89213429 0.8536004
 0.74400026 0.799817   0.18070292 0.70784259 0.86741942 0.4040883
 0.45061198 0.46875429 0.36980052 0.13071482 0.2456317  0.24374425
 0.64706295 0.46278296]"
0.23828125,0.24609375,"[0.77330785 0.77585871 0.83324036 0.81697393 0.92375685 0.67742465
 0.64308923 0.65639653 0.41876574 0.13849394 0.68107837 0.20853771
 0.44433408 0.31248159 0.94304436 0.04242325 0.79412326 0.0847911
 0.32478367 0.68491402 0.6681093  0.43656817 0.23548964 0.68561131
 0.77238299 0.12048663 0.62191397 0.85027852 0.13931499 0.43737081
 0.72271279 0.76330505 0.50018632 0.32848262 0.95736261 0.82572303
 0.62093349 0.5090706  0.19057509 0.8297843  0.82219258 0.95414469
 0.72881588 0.66058739 0.20851834 0.08109837 0.83954912 0.62984697
 0.9719612  0.72101982 0.95604712 0.32891859 0.07842616 0.22383839
 0.63500693 0.19016679 0.92755232 0.28432028 0.10137465 0.06483785
 0.954107   0.64596521 0.45652177 0.64042699 0.06827731 0.86493123
 0.18982699 0.84498919 0.68150948 0.18234146 0.65060247 0.15836357
 0.89092198 0.38441436 0.60281859 0.77855403 0.79544135 0.8009222
 0.36150842 0.76328098 0.47561532 0.88177977 0.67074162 0.30841389
 0.269925   0.60707599 0.60616665 0.18200871 0.71541909 0.4951368
 0.78826555 0.89209953 0.95356412 0.63120132 0.29097753 0.65616914
 0.66205348 0.80521979 0.89079277 0.87575652 0.45576278 0.50111823
 0.96592172 0.42022151 0.59018672 0.28043967 0.84301017 0.4167092
 0.14089353 0.77969788 0.82740769 0.7053817  0.52917705 0.61641234
 0.11821592 0.02905052 0.66175208 0.83227671 0.86703122 0.33447894
 0.74468527 0.72944997 0.7479916  0.72857712 0.01324049 0.5872932
 0.61890557 0.96730409 0.87510554 0.47972827 0.40065702 0.64464836
 1.03124841 0.67755735 0.2663472  0.65565487 0.51547354 0.78979486
 0.13659509 0.04763465 0.85125242 0.44591556 0.75452839 0.62091171
 0.01659495 0.80591285 0.63620014 0.28689275 0.07332335 0.69283
 0.87735646 0.15786518 0.27490203 0.43745958 0.96034138 0.04534574
 0.96051471 0.49039378 0.60825523 0.96673206 0.42499418 0.53557155
 0.69967605 0.61447206 0.47404476 0.14714009 0.37393175 0.65741709
 0.52762046 0.61786822 0.74866039 0.68012118 0.95375387 0.8111719
 0.22626052 0.57524143 0.95891258 0.25236226 0.56819142 0.10568355
 0.8647067  0.52198495 0.80742865 1.01488666 0.86998766 0.87574703
 0.74400026 0.82196363 0.15855629 0.72998922 0.84527279 0.42623494
 0.45061198 0.44660766 0.39194716 0.13071482 0.2456317  0.22159762
 0.62491632 0.48492959]"
0.275390625,0.283203125,"[0.76943247 0.77198332 0.82936497 0.82084932 0.91988147 0.67742465
 0.64696461 0.65252114 0.41489036 0.13849394 0.67720299 0.20853771
 0.4404587  0.31635698 0.94304436 0.03854786 0.79024787 0.0847911
 0.32478367 0.68878941 0.67198469 0.44044355 0.23548964 0.68173593
 0.77238299 0.11661124 0.61803859 0.85027852 0.14319037 0.4412462
 0.7188374  0.75942967 0.49631093 0.32848262 0.95348723 0.82959841
 0.62480888 0.51294599 0.18669971 0.83365969 0.82219258 0.95414469
 0.72494049 0.66446277 0.21239372 0.07722298 0.83567374 0.63372236
 0.9719612  0.72101982 0.95992251 0.33279398 0.07842616 0.22771377
 0.63113154 0.19404218 0.92367693 0.28432028 0.10525004 0.06096247
 0.95023161 0.6498406  0.45652177 0.64042699 0.06440192 0.86880661
 0.18982699 0.8411138  0.67763409 0.18234146 0.65447786 0.16223896
 0.8870466  0.38053898 0.60281859 0.78242942 0.79931673 0.8009222
 0.36538381 0.76715637 0.4794907  0.87790439 0.67074162 0.3045385
 0.27380039 0.6032006  0.61004204 0.17813332 0.71929448 0.49901219
 0.79214094 0.89209953 0.94968873 0.63507671 0.29097753 0.66004453
 0.66592887 0.80909517 0.89466815 0.87188113 0.4518874  0.49724284
 0.9697971  0.42022151 0.59406211 0.27656429 0.83913478 0.42058458
 0.13701815 0.78357326 0.83128307 0.70150631 0.53305244 0.61253695
 0.11821592 0.02905052 0.66562747 0.82840133 0.87090661 0.33835433
 0.74856066 0.72557458 0.75186699 0.72470173 0.00936511 0.5872932
 0.62278095 0.9634287  0.87123015 0.47585288 0.40065702 0.64077297
 1.02737302 0.68143274 0.27022258 0.65177948 0.51159815 0.79367025
 0.14047048 0.04375926 0.84737703 0.44591556 0.75840378 0.62478709
 0.02047034 0.80203746 0.63620014 0.28301737 0.06944796 0.69670539
 0.87348107 0.16174056 0.27490203 0.44133496 0.95646599 0.04534574
 0.95663933 0.49426916 0.61213062 0.96673206 0.42499418 0.53944694
 0.70355144 0.61059667 0.47792014 0.15101548 0.37393175 0.66129247
 0.53149584 0.61399284 0.74478501 0.6762458  0.95375387 0.81504729
 0.22626052 0.57524143 0.96278797 0.24848687 0.5720668  0.10955894
 0.86083132 0.52586034 0.81130403 1.01101127 0.86998766 0.87574703
 0.74400026 0.82583902 0.15468091 0.72998922 0.84527279 0.42623494
 0.45448736 0.44660766 0.39194716 0.1345902  0.24175631 0.22159762
 0.62491632 0.48880498]"
0.30859375,0.330078125,"[0.75654731 0.75909817 0.84225012 0.82084932 0.93276662 0.6903098
 0.65984977 0.63963599 0.4020052  0.15137909 0.66431784 0.19565256
 0.42757354 0.30347183 0.93015921 0.05143302 0.77736272 0.0847911
 0.32478367 0.67590426 0.65909953 0.4275584  0.24837479 0.68173593
 0.75949783 0.10372609 0.63092374 0.83739337 0.14319037 0.45413135
 0.7188374  0.75942967 0.48342578 0.31559747 0.94060207 0.82959841
 0.63769403 0.52583114 0.18669971 0.82077453 0.80930743 0.96702984
 0.72494049 0.66446277 0.19950857 0.07722298 0.82278859 0.64660751
 0.95907605 0.72101982 0.95992251 0.34567913 0.06554101 0.21482862
 0.61824639 0.18115703 0.92367693 0.29720544 0.10525004 0.04807732
 0.95023161 0.66272575 0.44363662 0.65331214 0.06440192 0.85592146
 0.18982699 0.85399895 0.67763409 0.18234146 0.6415927  0.14935381
 0.8870466  0.36765383 0.58993344 0.78242942 0.79931673 0.78803705
 0.37826896 0.75427122 0.49237585 0.86501923 0.68362678 0.3045385
 0.27380039 0.59031545 0.62292719 0.16524817 0.73217963 0.49901219
 0.80502609 0.87921438 0.93680358 0.62219156 0.29097753 0.67292968
 0.65304372 0.79621002 0.90755331 0.88476628 0.46477255 0.48435769
 0.95691195 0.43310666 0.60694726 0.27656429 0.85201993 0.40769943
 0.1499033  0.77068811 0.83128307 0.71439147 0.52016728 0.5996518
 0.13110107 0.01616537 0.65274231 0.82840133 0.85802146 0.35123948
 0.76144581 0.73845973 0.73898183 0.71181658 0.00936511 0.57440805
 0.63566611 0.95054355 0.88411531 0.47585288 0.41354217 0.62788782
 1.01448787 0.68143274 0.25733743 0.66466463 0.51159815 0.8065554
 0.15335563 0.04375926 0.84737703 0.45880072 0.77128893 0.61190194
 0.00758519 0.78915231 0.63620014 0.28301737 0.05656281 0.68382024
 0.86059592 0.16174056 0.26201687 0.44133496 0.95646599 0.05823089
 0.95663933 0.48138401 0.62501577 0.95384691 0.43787933 0.55233209
 0.71643659 0.62348183 0.4908053  0.13813033 0.36104659 0.64840732
 0.51861069 0.62687799 0.73189985 0.68913095 0.94086872 0.82793244
 0.21337537 0.58812658 0.96278797 0.24848687 0.5720668  0.12244409
 0.87371647 0.51297519 0.79841888 0.99812612 0.88287281 0.88863218
 0.73111511 0.82583902 0.14179575 0.74287437 0.85815794 0.43912009
 0.46737252 0.43372251 0.40483231 0.1345902  0.24175631 0.20871247
 0.63780147 0.48880498]"
0.328125,0.328125,"[ 0.79155518  0.79410604  0.87725799  0.85585719  0.93276662  0.6903098
  0.69485763  0.67464386  0.4020052   0.15137909  0.62930997  0.23066042
  0.46258141  0.26846396  0.96516707  0.01642515  0.74235485  0.0847911
  0.35979153  0.64089639  0.65909953  0.4275584   0.28338266  0.71674379
  0.72448997  0.06871822  0.59591587  0.87240124  0.10818251  0.41912349
  0.75384527  0.7244218   0.51843364  0.31559747  0.94060207  0.79459055
  0.60268616  0.49082328  0.18669971  0.8557824   0.8443153   0.96702984
  0.75994836  0.66446277  0.23451644  0.04221512  0.78778072  0.68161537
  0.99408391  0.72101982  0.95992251  0.380687    0.06554101  0.17982075
  0.58323852  0.18115703  0.92367693  0.3322133   0.1402579   0.01306945
  0.91522374  0.62771789  0.44363662  0.61830428  0.09940979  0.82091359
  0.22483485  0.88900682  0.67763409  0.21734932  0.60658484  0.18436167
  0.92205446  0.40266169  0.58993344  0.81743729  0.76430887  0.82304492
  0.41327683  0.71926335  0.52738372  0.9000271   0.68362678  0.3045385
  0.23879252  0.55530758  0.62292719  0.20025604  0.69717177  0.49901219
  0.77001822  0.91422224  0.97181145  0.65719942  0.29097753  0.67292968
  0.61803585  0.83121789  0.87254544  0.91977415  0.46477255  0.51936556
  0.95691195  0.3980988   0.5719394   0.24155642  0.8870278   0.37269157
  0.1499033   0.73568025  0.79627521  0.71439147  0.55517515  0.56464393
  0.16610894 -0.0188425   0.61773445  0.79339346  0.82301359  0.38624735
  0.76144581  0.7734676   0.70397397  0.71181658 -0.02564276  0.53940019
  0.60065824  0.98555141  0.88411531  0.44084501  0.44855003  0.66289569
  1.04949574  0.7164406   0.2923453   0.66466463  0.51159815  0.84156327
  0.1883635   0.04375926  0.81236917  0.49380858  0.8062968   0.57689407
  0.00758519  0.75414444  0.67120801  0.28301737  0.02155495  0.64881237
  0.89560379  0.16174056  0.29702474  0.4063271   0.99147386  0.09323876
  0.92163146  0.44637614  0.66002364  0.98885478  0.4728872   0.51732422
  0.75144446  0.62348183  0.4908053   0.13813033  0.32603873  0.68341519
  0.48360282  0.59187012  0.76690772  0.72413882  0.94086872  0.82793244
  0.24838323  0.62313444  0.96278797  0.213479    0.53705894  0.08743622
  0.87371647  0.54798305  0.79841888  0.96311825  0.91788068  0.85362432
  0.69610724  0.79083115  0.17680362  0.7078665   0.85815794  0.47412796
  0.50238038  0.43372251  0.43984018  0.1345902   0.27676418  0.1737046
  0.67280934  0.45379711]"
0.37890625,0.375,"[ 7.69741056e-01  8.15920162e-01  8.55443864e-01  8.34043061e-01
  9.10952495e-01  7.12123928e-01  6.73043508e-01  6.96457982e-01
  4.23819329e-01  1.51379092e-01  6.51124095e-01  2.30660421e-01
  4.62581409e-01  2.90278085e-01  9.86981199e-01 -5.38897552e-03
  7.64168978e-01  1.06605224e-01  3.59791535e-01  6.62710517e-01
  6.80913660e-01  4.49372527e-01  2.61568533e-01  7.16743793e-01
  7.46304093e-01  9.05323469e-02  5.95915872e-01  8.72401236e-01
  1.08182507e-01  4.40937610e-01  7.32031144e-01  7.46235926e-01
  5.40247768e-01  2.93783341e-01  9.18787950e-01  7.72776423e-01
  6.02686162e-01  4.69009151e-01  1.64885581e-01  8.55782401e-01
  8.22501173e-01  9.88843969e-01  7.81762483e-01  6.42648648e-01
  2.34516435e-01  6.40292430e-02  8.09594844e-01  7.03429499e-01
  9.72269786e-01  6.99205698e-01  9.81736632e-01  3.80686997e-01
  8.73551316e-02  1.58006630e-01  6.05052647e-01  1.59342900e-01
  9.01862806e-01  3.32213302e-01  1.62072028e-01  3.48835747e-02
  9.15223745e-01  6.05903761e-01  4.21822494e-01  6.18304277e-01
  7.75956631e-02  8.20913594e-01  2.03020727e-01  8.89006819e-01
  6.77634094e-01  1.95535198e-01  5.84770712e-01  1.62547547e-01
  9.00240339e-01  3.80847567e-01  5.89933436e-01  7.95623160e-01
  7.64308868e-01  8.44859042e-01  4.35090950e-01  6.97449227e-01
  5.49197846e-01  9.21841225e-01  6.83626776e-01  3.04538505e-01
  2.16978396e-01  5.77121706e-01  6.01113064e-01  2.00256038e-01
  6.75357642e-01  5.20826314e-01  7.91832350e-01  9.36036369e-01
  9.93625573e-01  6.79013548e-01  2.69163402e-01  6.94743805e-01
  5.96221725e-01  8.53032010e-01  8.94359566e-01  9.19774151e-01
  4.86586674e-01  4.97551430e-01  9.35097827e-01  4.19912922e-01
  5.50125270e-01  2.19742294e-01  8.87027798e-01  3.50877441e-01
  1.49903300e-01  7.35680245e-01  7.96275206e-01  7.36205591e-01
  5.33361025e-01  5.86458060e-01  1.44294810e-01  2.97162591e-03
  5.95920323e-01  7.71579334e-01  8.44827715e-01  4.08061472e-01
  7.39631684e-01  7.95281725e-01  7.25788091e-01  6.90002455e-01
 -3.82863581e-03  5.61214311e-01  5.78844115e-01  9.85551414e-01
  9.05929432e-01  4.40845013e-01  4.70364159e-01  6.62895688e-01
  1.04949574e+00  7.38254729e-01  3.14159423e-01  6.64664634e-01
  5.33412278e-01  8.63377394e-01  1.88363496e-01  6.55733891e-02
  7.90555043e-01  4.71994456e-01  8.28110921e-01  5.98708198e-01
  2.93993107e-02  7.54144441e-01  6.49393880e-01  2.61203244e-01
 -2.59179698e-04  6.70626496e-01  9.17417912e-01  1.83554687e-01
  2.97024740e-01  4.28141222e-01  1.01328799e+00  7.14246330e-02
  8.99817337e-01  4.24562018e-01  6.81837762e-01  9.88854775e-01
  4.94701322e-01  5.39138347e-01  7.29630332e-01  6.01667701e-01
  5.12619422e-01  1.38130326e-01  3.47852853e-01  6.61601063e-01
  4.83602822e-01  5.70055998e-01  7.88721844e-01  7.45952940e-01
  9.40868720e-01  8.06118316e-01  2.70197360e-01  6.23134444e-01
  9.62787967e-01  1.91664879e-01  5.15244812e-01  6.56220977e-02
  8.51902345e-01  5.69797178e-01  8.20233004e-01  9.63118252e-01
  8.96066555e-01  8.53624317e-01  6.74293115e-01  7.90831150e-01
  1.98617745e-01  7.07866505e-01  8.58157939e-01  4.95942081e-01
  4.80566257e-01  4.33722510e-01  4.39840175e-01  1.56404328e-01
  2.54950053e-01  1.51890478e-01  6.72809341e-01  4.75611239e-01]"
0.365234375,0.33203125,"[ 0.77699611  0.82317521  0.85544386  0.82678801  0.91095249  0.71937898
  0.68029856  0.69645798  0.41656428  0.15863414  0.64386904  0.23066042
  0.46258141  0.28302303  0.99423625 -0.01264403  0.75691393  0.11386028
  0.35253648  0.66996557  0.68091366  0.44211747  0.26156853  0.71674379
  0.73904904  0.08327729  0.60317093  0.86514618  0.10818251  0.44819266
  0.73203114  0.75349098  0.53299272  0.28652829  0.9115329   0.78003148
  0.60994122  0.46900915  0.15763053  0.84852735  0.81524612  0.99609902
  0.78901754  0.64264865  0.23451644  0.05677419  0.80233979  0.7034295
  0.97952484  0.70646075  0.98173663  0.380687    0.09461018  0.16526168
  0.59779759  0.16659795  0.89460775  0.32495825  0.16207203  0.04213863
  0.90796869  0.61315881  0.42907755  0.61830428  0.08485072  0.82091359
  0.19576567  0.88175177  0.68488915  0.18828014  0.59202577  0.15529249
  0.90024034  0.37359251  0.58267838  0.78836811  0.75705382  0.85211409
  0.4278359   0.69019417  0.5564529   0.92184122  0.68362678  0.29728345
  0.22423345  0.57712171  0.60836812  0.19300099  0.68261269  0.52082631
  0.7845773   0.93603637  0.98637052  0.6717585   0.26190835  0.70199886
  0.58896667  0.86028706  0.88710451  0.91977415  0.49384173  0.49755143
  0.93509783  0.41991292  0.55012527  0.22699735  0.87977275  0.34362239
  0.15715835  0.7429353   0.79627521  0.74346064  0.54061608  0.59371311
  0.13703976  0.01022668  0.59592032  0.77157933  0.85208277  0.41531652
  0.74688674  0.79528173  0.72578809  0.69000245 -0.00382864  0.55395926
  0.58609917  0.98555141  0.90592943  0.44810007  0.47761921  0.67015074
  1.05675079  0.74550978  0.30690437  0.67191969  0.54066733  0.85612234
  0.19561855  0.07282844  0.7978101   0.47924951  0.82085587  0.60596325
  0.02214426  0.76139949  0.64213883  0.2684583   0.00699587  0.66337144
  0.91016286  0.17629963  0.30427979  0.43539627  1.00603293  0.07867969
  0.89256228  0.43181707  0.68909281  0.98159972  0.50195638  0.53913835
  0.72963033  0.59441265  0.50536437  0.13087527  0.3405978   0.66885612
  0.47634777  0.570056    0.7959769   0.75320799  0.94086872  0.79886326
  0.26294231  0.62313444  0.95553291  0.18440983  0.52249986  0.0656221
  0.84464729  0.57705223  0.81297795  0.9703733   0.8888115   0.84636926
  0.67429311  0.7835761   0.2058728   0.70061145  0.85090289  0.49594208
  0.48056626  0.44097756  0.44709523  0.14914928  0.25495005  0.14463543
  0.66555429  0.47561124]"
0.349609375,0.369140625,"[ 7.54833528e-01  8.01012633e-01  8.33281283e-01  8.26788009e-01
  9.33115076e-01  7.19378980e-01  6.58135980e-01  6.96457982e-01
  3.94401695e-01  1.36471564e-01  6.43869042e-01  2.08497840e-01
  4.84743990e-01  2.60860451e-01  1.01639883e+00  9.51855283e-03
  7.56913926e-01  9.16976960e-02  3.74699063e-01  6.47802989e-01
  7.03076241e-01  4.64280055e-01  2.39405952e-01  6.94581213e-01
  7.39049040e-01  8.32772943e-02  5.81008344e-01  8.87308765e-01
  8.60199262e-02  4.26030082e-01  7.32031144e-01  7.53490979e-01
  5.55155297e-01  2.64365707e-01  8.89370316e-01  7.57868894e-01
  6.32103796e-01  4.91171732e-01  1.57630528e-01  8.70689929e-01
  7.93083540e-01  1.01826160e+00  7.66854955e-01  6.64811229e-01
  2.56679016e-01  3.46116094e-02  8.02339792e-01  6.81266918e-01
  1.00168742e+00  7.28623331e-01  1.00389921e+00  3.58524416e-01
  9.46101842e-02  1.65261682e-01  5.97797594e-01  1.66597953e-01
  8.94607753e-01  3.47120831e-01  1.39909447e-01  1.99760463e-02
  8.85806111e-01  6.13158814e-01  4.51240127e-01  5.96141696e-01
  8.48507158e-02  8.20913594e-01  1.73603094e-01  8.81751767e-01
  6.62726565e-01  1.66117564e-01  5.69863184e-01  1.55292494e-01
  9.22402920e-01  3.51429933e-01  5.60515802e-01  8.10530688e-01
  7.34891234e-01  8.52114095e-01  4.27835898e-01  6.68031593e-01
  5.78615480e-01  9.44003806e-01  6.61464195e-01  3.19446033e-01
  2.46396029e-01  5.77121706e-01  5.86205536e-01  1.70838405e-01
  6.60450113e-01  5.42988895e-01  7.84577297e-01  9.36036369e-01
  9.64207939e-01  6.49595914e-01  2.39745769e-01  7.24161439e-01
  6.11129253e-01  8.38124482e-01  8.64941933e-01  9.19774151e-01
  4.93841727e-01  5.19714011e-01  9.57260408e-01  3.97750342e-01
  5.72287851e-01  2.49159928e-01  8.57610165e-01  3.65784969e-01
  1.34995772e-01  7.20772717e-01  7.96275206e-01  7.65623224e-01
  5.62778658e-01  5.71550531e-01  1.59202338e-01  3.23892595e-02
  5.73757742e-01  7.49416753e-01  8.29920186e-01  4.15316525e-01
  7.69049318e-01  8.17444306e-01  7.47950672e-01  6.67839874e-01
 -3.82863581e-03  5.76121839e-01  6.08261749e-01  9.63388833e-01
  9.28092013e-01  4.25937485e-01  4.77619212e-01  6.70150741e-01
  1.05675079e+00  7.67672363e-01  2.84741789e-01  6.94082268e-01
  5.62829911e-01  8.78284923e-01  1.73455967e-01  5.06658607e-02
  7.97810095e-01  5.01412090e-01  8.20855868e-01  6.28125831e-01
 -1.83228100e-05  7.61399494e-01  6.42138828e-01  2.68458296e-01
  6.99587291e-03  6.63371444e-01  9.32325440e-01  1.54137053e-01
  2.82117212e-01  4.13233694e-01  1.02819551e+00  7.86796856e-02
  9.14724865e-01  4.09654490e-01  6.66930234e-01  9.81599722e-01
  5.01956375e-01  5.61300928e-01  7.07467751e-01  5.72250067e-01
  5.27526951e-01  1.53037854e-01  3.18435219e-01  6.68856115e-01
  4.98510351e-01  5.47893417e-01  8.18139478e-01  7.53207993e-01
  9.63031301e-01  8.21025844e-01  2.62942307e-01  6.23134444e-01
  9.33370333e-01  1.62247245e-01  5.44662445e-01  4.34595167e-02
  8.66809873e-01  5.99214811e-01  8.35140533e-01  9.70373304e-01
  9.10974083e-01  8.68531845e-01  6.96455696e-01  7.61413516e-01
  2.05872797e-01  6.78448871e-01  8.73065467e-01  5.18104661e-01
  5.02728838e-01  4.63140143e-01  4.69257809e-01  1.26986694e-01
  2.32787472e-01  1.66798007e-01  6.87716869e-01  4.53448658e-01]"
