Layers: 5
"Nodes: [784, 512, 256, 128, 64]"
NN: 10
Activation function: softplus
Training accuracy,Test accuracy
0.691100001335144,0.8169999718666077
0.8445833325386047,0.8525999784469604
0.8608999848365784,0.8589000105857849
0.8716166615486145,0.85589998960495
0.8798166513442993,0.8671000003814697
0.8850833177566528,0.8719000220298767
0.8894166946411133,0.8650000095367432
0.8946999907493591,0.8752999901771545
0.8985000252723694,0.8776000142097473
0.9021999835968018,0.8774999976158142
0.9038833379745483,0.8766000270843506
0.907800018787384,0.8808000087738037
0.9100499749183655,0.8734999895095825
0.913183331489563,0.8859000205993652
0.914900004863739,0.8842999935150146
0.9174666404724121,0.8734999895095825
0.9201666712760925,0.8867999911308289
0.9216833114624023,0.8878999948501587
0.923966646194458,0.887499988079071
0.9252333045005798,0.88919997215271
0.9271000027656555,0.8859999775886536
0.9279999732971191,0.8902000188827515
0.9314333200454712,0.8877999782562256
0.932533323764801,0.8895999789237976
0.9330499768257141,0.879800021648407
0.9347166419029236,0.8845000267028809
0.9354833364486694,0.8881000280380249
0.9364666938781738,0.892300009727478
0.9387666583061218,0.8913000226020813
0.9391666650772095,0.8899999856948853
0.9402333498001099,0.8895999789237976
0.9413833618164062,0.8913999795913696
0.9434333443641663,0.8920999765396118
0.9441999793052673,0.8913999795913696
0.9445499777793884,0.8950999975204468
0.9443833231925964,0.8903999924659729
0.9451000094413757,0.8848000168800354
0.9478999972343445,0.888700008392334
0.9484666585922241,0.8956999778747559
0.9499499797821045,0.8948000073432922
0.9500666856765747,0.8950999975204468
0.9502999782562256,0.897599995136261
0.951200008392334,0.8931000232696533
0.9524999856948853,0.8977000117301941
0.9527833461761475,0.8978999853134155
0.9522166848182678,0.8986999988555908
0.953083336353302,0.8956999778747559
0.9539333581924438,0.8981000185012817
0.9540500044822693,0.8928999900817871
0.9530166387557983,0.8917999863624573
