Layers: 1
Nodes: [256]
NN: 1
Activation function: softplus
Training accuracy,Test accuracy
0.8189833164215088,0.8392999768257141
0.8595333099365234,0.8465999960899353
0.8720166683197021,0.8611000180244446
0.8838000297546387,0.8640999794006348
0.8889666795730591,0.8632000088691711
0.8938833475112915,0.8719000220298767
0.8991333246231079,0.871999979019165
0.9038666486740112,0.8744999766349792
0.9065333604812622,0.8823000192642212
0.911216676235199,0.8828999996185303
0.9134833216667175,0.8859000205993652
0.9182500243186951,0.8827000260353088
0.9192500114440918,0.8654000163078308
0.9222833514213562,0.8881000280380249
0.9255499839782715,0.8842999935150146
0.9280499815940857,0.8866000175476074
0.9298499822616577,0.8823000192642212
0.9315666556358337,0.8906000256538391
0.9348000288009644,0.8895000219345093
0.9366666674613953,0.8880000114440918
0.9377333521842957,0.8841000199317932
0.9411333203315735,0.8902999758720398
0.9429166913032532,0.886900007724762
0.9443333148956299,0.8910999894142151
0.944350004196167,0.8895999789237976
0.9468833208084106,0.8931999802589417
0.9480000138282776,0.886900007724762
0.9499333500862122,0.8934000134468079
0.9505333304405212,0.885200023651123
0.951616644859314,0.8898000121116638
0.9539833068847656,0.8917999863624573
0.9553833603858948,0.89410001039505
0.9557499885559082,0.8931999802589417
0.9567333459854126,0.8924000263214111
0.9569833278656006,0.8939999938011169
0.9586166739463806,0.8830000162124634
0.9588333368301392,0.8944000005722046
0.9608500003814697,0.8942000269889832
0.9618499875068665,0.8899999856948853
0.9612500071525574,0.8920000195503235
0.9631666541099548,0.8942999839782715
0.9636499881744385,0.8906999826431274
0.9639166593551636,0.8937000036239624
0.9661666750907898,0.8916000127792358
0.9653333425521851,0.8906000256538391
0.9672999978065491,0.8927000164985657
0.9664666652679443,0.8950999975204468
0.9685999751091003,0.8913000226020813
0.9691333174705505,0.8956000208854675
0.9691666960716248,0.8937000036239624
