Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 150
Training accuracy,Test accuracy,Parameters
0.16015625,0.181640625,"[ 0.60748718  0.96137819  0.91935391  0.57209691  0.40140557  0.01655007
  0.55931523  0.68378673  0.01832995  0.68633242  0.54975231  0.50463545
  0.11688114  0.5616746   0.36208934  0.50047338  0.86707448  0.82246845
  0.50235681  1.02532075  0.6269736   0.38893876  0.61052335  0.5116262
  0.30626377  1.03463826 -0.12058978  0.81246258  0.27391774  0.27245392
  0.07669101  0.41003819  0.92750919  0.95300316  1.01590791  0.78226449
  0.54830202  0.34272866  0.5159785   0.45571207  0.63244135  0.66073545
  1.03738412  0.12506989  0.30969952  0.27543995  0.74948152  0.2799562
  0.10619248  0.57146612  0.54652054  0.25208714 -0.11676551  0.41342823
  0.19684441  0.48714891  0.64221629  0.09052616 -0.04812509  0.61883182
  0.28620551  0.27928995  0.21143058  0.99810719  0.31927076  0.50192719
 -0.09808224  1.13504334  0.97218065  1.03866487  0.14542282  1.10008422
  0.65076506  1.05238035  0.81689902  0.28849484  0.50262623  0.46744121
  0.24484063  0.24514974 -0.05068797  0.37141581 -0.09886848  0.49075625
  0.74077561  0.48133776  0.61634862  0.09629119  0.7201735   0.69336386
  0.81569387  0.33503075  0.84619264  1.01349184  0.21050304  0.50032274
  0.59063883  0.63058664  0.90815692  0.85741731  0.00394229  0.34764737
  0.95590418  0.72925473  0.2357282   0.25666777 -0.06263987  0.87940838
  0.74369508  0.04652367  0.84168791  0.22496258  0.47390124  0.4281826
  0.66785512  0.66778965  0.59276221  0.43301247  0.84750128  0.62198451
  0.64071167  0.75653736  0.1782127   0.94148594  0.16817835  0.69611022
  0.11491948  0.01777422  0.22774108  0.4160855   0.83889639  0.2904212
  0.38180314  0.71934033  0.51940155  0.63928844  0.8907103   0.41313173
  0.29611011  0.96764505 -0.13089872  0.76847443 -0.0142837   0.32793683
  0.54709212  0.04011326  0.55590038  0.40555482  0.37701379  0.74979435
  0.6335339   0.38099783  0.59146578  0.23006298  0.78127027  0.50436275
  0.79696573  0.38596794  1.04858996  0.20181799  0.46119813  0.27208239
  0.79223312  0.21585917  0.26816604  1.0212259   0.3538987   0.66751742
  0.66124968  0.74805894  0.78492787  0.18603644  0.69628833  0.56584725
  0.93760834  0.49229236  1.03339662  0.36465267  0.62446961  0.27347336
  0.78791717  0.06916895  0.15977228  0.34164714  0.2592048  -0.06554291
  0.48739047  0.97177378  1.01571372 -0.14182309  0.32352761  0.16514521
  0.36172863  0.32505596  0.86662249  0.77984158  0.85439493  0.1101106
  0.95617579  0.44436461]"
0.146484375,0.197265625,"[ 0.5555671   1.01329827  0.86743383  0.52017682  0.40140557 -0.03537001
  0.55931523  0.73570681  0.01832995  0.68633242  0.60167239  0.45271536
  0.16880122  0.50975452  0.41400942  0.55239347  0.8151544   0.87438854
  0.55427689  1.02532075  0.57505352  0.44085885  0.61052335  0.56354628
  0.25434368  1.03463826 -0.0686697   0.86438266  0.22199766  0.32437401
  0.12861109  0.35811811  0.97942927  0.90108308  0.96398783  0.78226449
  0.6002221   0.39464874  0.56789858  0.40379198  0.68436144  0.71265554
  1.0893042   0.07314981  0.30969952  0.22351987  0.69756144  0.22803611
  0.0542724   0.6233862   0.54652054  0.30400722 -0.11676551  0.46534831
  0.2487645   0.48714891  0.59029621  0.14244624  0.00379499  0.6707519
  0.33812559  0.22736986  0.1595105   1.05002727  0.31927076  0.55384727
 -0.09808224  1.18696342  1.02410073  0.98674478  0.14542282  1.04816414
  0.65076506  1.00046027  0.8688191   0.23657476  0.45070615  0.41552113
  0.19292055  0.24514974 -0.05068797  0.31949573 -0.09886848  0.49075625
  0.74077561  0.53325784  0.56442854  0.04437111  0.7201735   0.74528394
  0.86761395  0.33503075  0.79427256  1.06541193  0.26242312  0.44840266
  0.59063883  0.57866656  0.85623683  0.90933739 -0.0479778   0.29572728
  0.95590418  0.72925473  0.18380811  0.30858785 -0.11455995  0.93132847
  0.79561516 -0.00539641  0.89360799  0.27688266  0.52582132  0.48010268
  0.61593504  0.61586957  0.54084212  0.48493255  0.84750128  0.6739046
  0.58879159  0.70461728  0.23013278  0.94148594  0.16817835  0.74803031
  0.16683956  0.06969431  0.175821    0.46800558  0.89081648  0.34234128
  0.38180314  0.66742024  0.57132164  0.58736836  0.8907103   0.41313173
  0.3480302   0.96764505 -0.13089872  0.82039452  0.03763638  0.32793683
  0.49517204 -0.01180683  0.55590038  0.35363474  0.32509371  0.69787426
  0.58161382  0.32907775  0.59146578  0.1781429   0.78127027  0.55628283
  0.84888582  0.43788803  1.04858996  0.25373808  0.46119813  0.27208239
  0.8441532   0.21585917  0.21624595  1.07314598  0.30197862  0.66751742
  0.6093296   0.69613886  0.73300779  0.13411636  0.74820841  0.61776733
  0.88568826  0.44037228  1.0853167   0.31273259  0.57254953  0.22155328
  0.83983725  0.01724887  0.15977228  0.28972705  0.20728472 -0.06554291
  0.48739047  0.9198537   0.96379363 -0.14182309  0.27160752  0.16514521
  0.30980855  0.27313588  0.91854257  0.83176166  0.90631501  0.1101106
  1.00809587  0.44436461]"
0.3671875,0.28125,"[ 0.5298265   0.98755767  0.84169323  0.54591742  0.37566497 -0.06111061
  0.53357463  0.70996621  0.04407055  0.66059182  0.57593179  0.45271536
  0.14306062  0.53549512  0.41400942  0.52665287  0.7894138   0.87438854
  0.52853629  1.05106135  0.54931292  0.46659945  0.63626395  0.53780568
  0.28008428  1.00889766 -0.0944103   0.83864206  0.24773826  0.35011461
  0.10287049  0.33237751  0.95368867  0.92682368  0.93824723  0.80800509
  0.6002221   0.39464874  0.56789858  0.37805138  0.65862084  0.68691494
  1.0635636   0.0988904   0.30969952  0.19777927  0.72330204  0.25377671
  0.080013    0.6233862   0.52077994  0.27826662 -0.14250611  0.43960772
  0.2230239   0.46140831  0.59029621  0.11670564 -0.0219456   0.6450113
  0.33812559  0.22736986  0.1337699   1.07576787  0.31927076  0.52810667
 -0.12382284  1.21270402  1.02410073  0.96100419  0.17116341  1.02242354
  0.62502446  1.02620087  0.8945597   0.21083416  0.47644675  0.38978053
  0.16717995  0.27089034 -0.05068797  0.29375513 -0.09886848  0.51649685
  0.71503501  0.53325784  0.59016914  0.04437111  0.7459141   0.77102454
  0.89335455  0.36077135  0.82001316  1.03967133  0.28816372  0.42266206
  0.61637943  0.60440715  0.88197743  0.88359679 -0.0222372   0.29572728
  0.95590418  0.75499532  0.18380811  0.30858785 -0.14030055  0.95706907
  0.76987457  0.02034419  0.91934859  0.25114206  0.50008072  0.50584328
  0.59019444  0.59012897  0.51510153  0.51067315  0.84750128  0.6739046
  0.61453219  0.73035788  0.23013278  0.96722654  0.16817835  0.7737709
  0.16683956  0.06969431  0.20156159  0.49374618  0.89081648  0.36808188
  0.38180314  0.66742024  0.54558104  0.56162776  0.8649697   0.38739113
  0.37377079  0.96764505 -0.15663932  0.84613511  0.03763638  0.32793683
  0.46943144  0.01393377  0.55590038  0.32789414  0.29935311  0.67213366
  0.60735441  0.30333715  0.61720638  0.1524023   0.78127027  0.53054224
  0.87462641  0.43788803  1.04858996  0.25373808  0.43545753  0.27208239
  0.8441532   0.24159977  0.24198655  1.09888658  0.27623802  0.69325802
  0.6350702   0.69613886  0.70726719  0.15985696  0.74820841  0.61776733
  0.91142886  0.44037228  1.0853167   0.28699199  0.54680893  0.22155328
  0.86557785  0.04298946  0.18551288  0.28972705  0.18154412 -0.03980231
  0.51313107  0.8941131   0.93805303 -0.14182309  0.24586692  0.19088581
  0.33554915  0.24739528  0.91854257  0.85750226  0.88057441  0.1101106
  0.98235528  0.41862401]"
0.263671875,0.26953125,"[ 0.56644097  0.98755767  0.8783077   0.58253189  0.41227944 -0.09772508
  0.5701891   0.70996621  0.00745608  0.69720629  0.53931732  0.48932984
  0.17967509  0.49888065  0.37739495  0.4900384   0.7894138   0.83777406
  0.52853629  1.08767582  0.58592739  0.42998497  0.67287842  0.57442015
  0.31669875  1.04551213 -0.05779582  0.83864206  0.21112379  0.35011461
  0.06625602  0.36899198  0.95368867  0.8902092   0.90163276  0.77139062
  0.56360763  0.35803427  0.60451305  0.37805138  0.69523531  0.68691494
  1.10017807  0.06227593  0.34631399  0.23439375  0.75991651  0.29039118
  0.04339853  0.6233862   0.52077994  0.24165215 -0.17912058  0.43960772
  0.25963837  0.49802278  0.55368174  0.08009117 -0.0219456   0.6450113
  0.37474007  0.26398433  0.17038437  1.0391534   0.28265629  0.4914922
 -0.12382284  1.24931849  0.98748626  0.96100419  0.20777788  0.98580907
  0.62502446  1.06281534  0.85794523  0.24744863  0.47644675  0.35316606
  0.13056548  0.30750481 -0.0140735   0.25714066 -0.13548295  0.55311132
  0.67842054  0.56987232  0.59016914  0.08098558  0.70929963  0.80763901
  0.92996902  0.36077135  0.85662763  1.0762858   0.25154925  0.38604759
  0.57976496  0.64102162  0.84536296  0.88359679 -0.05885167  0.29572728
  0.95590418  0.71838085  0.18380811  0.30858785 -0.17691502  0.95706907
  0.76987457 -0.01627028  0.95596306  0.28775653  0.46346625  0.54245775
  0.59019444  0.5535145   0.47848705  0.51067315  0.84750128  0.71051907
  0.65114666  0.69374341  0.19351831  0.93061207  0.13156388  0.81038538
  0.20345404  0.10630878  0.23817606  0.45713171  0.92743095  0.33146741
  0.38180314  0.70403471  0.58219551  0.56162776  0.90158417  0.35077666
  0.41038526  0.93103058 -0.12002485  0.88274959  0.03763638  0.29132236
  0.46943144  0.05054824  0.51928591  0.29127967  0.26273864  0.70874814
  0.57073994  0.26672268  0.61720638  0.11578783  0.7446558   0.56715671
  0.87462641  0.4745025   1.04858996  0.2171236   0.472072    0.27208239
  0.88076767  0.2049853   0.27860102  1.06227211  0.31285249  0.65664355
  0.6350702   0.65952439  0.70726719  0.19647143  0.71159394  0.61776733
  0.94804333  0.40375781  1.12193117  0.28699199  0.54680893  0.22155328
  0.82896338  0.07960393  0.18551288  0.32634153  0.14492965 -0.03980231
  0.4765166   0.8941131   0.93805303 -0.17843756  0.2824814   0.22750028
  0.37216362  0.21078081  0.95515704  0.89411673  0.91718888  0.14672507
  0.98235528  0.41862401]"
0.396484375,0.388671875,"[ 0.57610515  0.99722185  0.88797188  0.57286772  0.40261526 -0.08806091
  0.57985328  0.70996621 -0.0022081   0.69720629  0.5489815   0.49899401
  0.17001092  0.50854482  0.37739495  0.48037422  0.77974963  0.83777406
  0.53820047  1.09734     0.58592739  0.43964915  0.68254259  0.56475597
  0.30703458  1.05517631 -0.04813165  0.83864206  0.20145961  0.35977878
  0.06625602  0.35932781  0.96335285  0.88054503  0.91129694  0.77139062
  0.55394346  0.36769845  0.61417723  0.36838721  0.68557113  0.69657911
  1.10017807  0.05261176  0.33664981  0.24405792  0.75025233  0.28072701
  0.04339853  0.61372203  0.53044411  0.23198797 -0.16945641  0.42994354
  0.25963837  0.49802278  0.54401756  0.070427   -0.01228143  0.63534713
  0.37474007  0.26398433  0.17038437  1.02948923  0.27299211  0.50115638
 -0.13348702  1.25898266  0.98748626  0.95134001  0.19811371  0.99547325
  0.61536028  1.06281534  0.8676094   0.23778446  0.47644675  0.36283024
  0.14022966  0.30750481 -0.00440932  0.26680483 -0.13548295  0.56277549
  0.68808471  0.56020814  0.59983331  0.09064975  0.70929963  0.81730319
  0.92030484  0.36077135  0.8662918   1.08594997  0.26121342  0.37638342
  0.58942914  0.6506858   0.85502714  0.87393262 -0.04918749  0.30539146
  0.94624     0.71838085  0.17414394  0.30858785 -0.18657919  0.96673324
  0.77953874 -0.02593446  0.94629889  0.27809236  0.45380208  0.53279358
  0.59019444  0.54385033  0.46882288  0.50100897  0.84750128  0.72018324
  0.66081083  0.69374341  0.19351831  0.93061207  0.12189971  0.8007212
  0.21311821  0.0966446   0.24784024  0.46679589  0.91776677  0.32180323
  0.37213897  0.71369889  0.58219551  0.55196359  0.89192     0.34111249
  0.41038526  0.93103058 -0.11036067  0.87308541  0.03763638  0.28165819
  0.47909561  0.04088407  0.50962173  0.30094385  0.25307446  0.70874814
  0.58040412  0.26672268  0.6075422   0.10612365  0.75431998  0.56715671
  0.86496224  0.48416667  1.04858996  0.2171236   0.46240782  0.28174657
  0.88076767  0.2049853   0.27860102  1.07193629  0.32251667  0.64697938
  0.64473437  0.64986021  0.69760302  0.18680725  0.72125812  0.61776733
  0.94804333  0.40375781  1.13159535  0.27732781  0.55647311  0.2118891
  0.82896338  0.06993976  0.19517705  0.3360057   0.13526547 -0.03013813
  0.46685242  0.8941131   0.93805303 -0.16877339  0.2824814   0.23716445
  0.38182779  0.22044499  0.95515704  0.88445256  0.92685306  0.15638924
  0.9726911   0.41862401]"
0.322265625,0.29296875,"[ 0.58880741  0.99722185  0.87526962  0.58556997  0.40261526 -0.08806091
  0.59255553  0.70996621  0.01049416  0.68450404  0.56168376  0.49899401
  0.15730866  0.50854482  0.37739495  0.46767196  0.77974963  0.85047632
  0.55090272  1.08463774  0.59862965  0.45235141  0.68254259  0.55205372
  0.29433232  1.04247405 -0.06083391  0.8259398   0.21416187  0.37248104
  0.05355377  0.37203007  0.95065059  0.89324729  0.91129694  0.78409287
  0.56664572  0.38040071  0.62687949  0.38108947  0.67286887  0.69657911
  1.11288033  0.05261176  0.32394755  0.23135566  0.73755008  0.26802475
  0.05610079  0.62642429  0.54314637  0.23198797 -0.15675415  0.42994354
  0.24693611  0.51072504  0.55671982  0.070427   -0.02498369  0.64804938
  0.38744232  0.27668659  0.18308663  1.04219148  0.28569437  0.51385864
 -0.12078476  1.27168492  0.974784    0.96404227  0.19811371  0.99547325
  0.62806254  1.06281534  0.85490714  0.2250822   0.47644675  0.3755325
  0.15293191  0.29480255 -0.01711158  0.25410258 -0.12278069  0.56277549
  0.68808471  0.54750588  0.61253557  0.07794749  0.72200189  0.83000545
  0.9330071   0.34806909  0.87899406  1.07324772  0.24851116  0.38908567
  0.60213139  0.66338806  0.84232488  0.86123036 -0.06188975  0.2926892
  0.94624     0.70567859  0.1868462   0.30858785 -0.19928145  0.96673324
  0.76683648 -0.02593446  0.94629889  0.27809236  0.46650434  0.52009132
  0.57749218  0.55655259  0.46882288  0.48830672  0.86020354  0.7328855
  0.67351309  0.70644567  0.19351831  0.93061207  0.10919745  0.8007212
  0.20041595  0.0966446   0.23513798  0.45409363  0.91776677  0.30910097
  0.38484122  0.71369889  0.59489777  0.53926133  0.89192     0.34111249
  0.42308752  0.94373283 -0.09765841  0.88578767  0.02493412  0.29436044
  0.49179787  0.02818181  0.52232399  0.28824159  0.2403722   0.69604588
  0.59310638  0.25402043  0.59483994  0.09342139  0.74161772  0.56715671
  0.86496224  0.47146441  1.04858996  0.22982586  0.44970557  0.26904431
  0.88076767  0.21768756  0.26589876  1.07193629  0.32251667  0.63427712
  0.63203211  0.66256247  0.71030527  0.18680725  0.72125812  0.60506507
  0.96074558  0.41646006  1.13159535  0.29003007  0.54377085  0.22459136
  0.81626112  0.0572375   0.18247479  0.34870796  0.14796773 -0.03013813
  0.46685242  0.88141084  0.92535078 -0.16877339  0.2824814   0.24986671
  0.36912554  0.20774273  0.9678593   0.89715482  0.9141508   0.14368699
  0.98539336  0.41862401]"
0.380859375,0.33203125,"[ 0.57595746  0.9843719   0.86241967  0.57272003  0.38976532 -0.10091085
  0.57970559  0.72281616  0.01049416  0.69735398  0.54883381  0.51184396
  0.14445871  0.50854482  0.36454501  0.45482202  0.77974963  0.85047632
  0.56375267  1.07178779  0.58577971  0.43950146  0.66969265  0.56490366
  0.28148237  1.0296241  -0.04798396  0.81308986  0.22701182  0.38533099
  0.06640371  0.35918012  0.93780064  0.90609723  0.92414688  0.78409287
  0.55379577  0.36755076  0.63972943  0.39393941  0.66001893  0.70942906
  1.12573028  0.05261176  0.3367975   0.23135566  0.72470013  0.2808747
  0.04325084  0.63927423  0.55599632  0.23198797 -0.15675415  0.42994354
  0.25978606  0.49787509  0.56956977  0.070427   -0.02498369  0.64804938
  0.40029227  0.28953654  0.18308663  1.02934154  0.28569437  0.50100869
 -0.13363471  1.25883497  0.96193405  0.96404227  0.18526376  0.99547325
  0.62806254  1.04996539  0.8420572   0.21223225  0.47644675  0.36268255
  0.14008197  0.29480255 -0.01711158  0.24125263 -0.13563064  0.56277549
  0.67523477  0.53465593  0.59968563  0.09079744  0.72200189  0.8171555
  0.9330071   0.33521914  0.86614411  1.07324772  0.23566122  0.37623573
  0.60213139  0.67623801  0.85517482  0.84838041 -0.06188975  0.27983926
  0.95908995  0.70567859  0.1868462   0.2957379  -0.19928145  0.97958319
  0.76683648 -0.0387844   0.95914883  0.2909423   0.47935428  0.50724137
  0.59034213  0.55655259  0.45597293  0.47545677  0.87305349  0.7328855
  0.66066314  0.71929561  0.20636826  0.94346202  0.1220474   0.81357115
  0.18756601  0.08379466  0.24798793  0.44124368  0.93061672  0.30910097
  0.39769117  0.72654884  0.59489777  0.55211127  0.90476994  0.35396243
  0.42308752  0.95658278 -0.08480847  0.88578767  0.03778407  0.30721039
  0.49179787  0.01533186  0.50947404  0.30109154  0.22752226  0.68319593
  0.60595632  0.26687037  0.60768989  0.10627134  0.75446767  0.55430676
  0.87781219  0.47146441  1.03574002  0.24267581  0.44970557  0.28189426
  0.89361762  0.2305375   0.25304882  1.08478623  0.33536661  0.64712706
  0.64488206  0.64971252  0.71030527  0.17395731  0.73410807  0.60506507
  0.94789564  0.41646006  1.13159535  0.29003007  0.5309209   0.23744131
  0.81626112  0.07008745  0.18247479  0.36155791  0.13511779 -0.03013813
  0.45400247  0.86856089  0.91250083 -0.15592344  0.29533134  0.26271666
  0.35627559  0.22059268  0.9678593   0.88430487  0.92700075  0.15653693
  0.98539336  0.43147396]"
0.345703125,0.353515625,"[ 0.58975297  0.99816741  0.86241967  0.55892452  0.37596981 -0.08711535
  0.56591008  0.70902065 -0.00330134  0.71114949  0.5350383   0.49804845
  0.13066321  0.49474932  0.37834051  0.46861752  0.76595412  0.83668082
  0.56375267  1.07178779  0.59957521  0.42570596  0.66969265  0.57869917
  0.28148237  1.04341961 -0.03418845  0.82688536  0.21321631  0.39912649
  0.06640371  0.37297563  0.95159615  0.89230173  0.91035138  0.79788838
  0.56759128  0.38134627  0.65352494  0.40773492  0.67381443  0.72322457
  1.13952578  0.03881625  0.35059301  0.24515117  0.73849564  0.26707919
  0.05704635  0.62547873  0.56979183  0.21819247 -0.14295864  0.41614803
  0.27358156  0.5116706   0.58336527  0.070427   -0.01118818  0.66184489
  0.41408778  0.28953654  0.16929113  1.04313704  0.29948988  0.48721318
 -0.1198392   1.27263048  0.96193405  0.97783777  0.19905927  1.00926876
  0.64185805  1.04996539  0.8420572   0.19843675  0.47644675  0.34888704
  0.15387747  0.28100704 -0.01711158  0.22745712 -0.13563064  0.56277549
  0.67523477  0.54845144  0.58589012  0.09079744  0.72200189  0.80335999
  0.94680261  0.32142363  0.87993962  1.05945221  0.24945673  0.36244022
  0.60213139  0.69003351  0.86897033  0.86217592 -0.04809425  0.26604375
  0.97288545  0.7194741   0.2006417   0.28194239 -0.21307696  0.97958319
  0.78063199 -0.0249889   0.97294434  0.2771468   0.46555878  0.50724137
  0.60413764  0.54275708  0.46976844  0.47545677  0.88684899  0.7328855
  0.64686764  0.73309112  0.19257275  0.92966651  0.1220474   0.82736665
  0.20136151  0.09759016  0.23419242  0.44124368  0.94441223  0.29530547
  0.39769117  0.71275333  0.58110226  0.55211127  0.89097444  0.34016693
  0.42308752  0.95658278 -0.08480847  0.88578767  0.05157957  0.29341488
  0.50559338  0.00153636  0.49567854  0.28729603  0.24131776  0.68319593
  0.59216082  0.26687037  0.60768989  0.12006685  0.74067216  0.55430676
  0.86401668  0.48525992  1.04953552  0.24267581  0.44970557  0.28189426
  0.87982211  0.216742    0.23925331  1.09858174  0.34916212  0.64712706
  0.64488206  0.63591702  0.69650977  0.18775281  0.72031256  0.61886058
  0.94789564  0.41646006  1.13159535  0.27623456  0.54471641  0.23744131
  0.81626112  0.05629194  0.16867929  0.3477624   0.12132228 -0.03013813
  0.45400247  0.85476539  0.92629634 -0.15592344  0.30912685  0.24892115
  0.35627559  0.23438818  0.9678593   0.89810038  0.94079625  0.14274143
  0.97159785  0.44526947]"
0.2890625,0.30859375,"[ 0.64450028  1.05291472  0.80767236  0.55892452  0.43071712 -0.14186266
  0.51116276  0.76376797  0.05144597  0.65640217  0.48029099  0.55279577
  0.18541052  0.440002    0.3235932   0.52336484  0.76595412  0.83668082
  0.61849999  1.01704048  0.65432253  0.48045327  0.72443996  0.63344649
  0.33622969  0.98867229  0.02055886  0.88163268  0.26796363  0.34437918
  0.0116564   0.31822831  0.89684883  0.83755441  0.91035138  0.79788838
  0.56759128  0.43609358  0.65352494  0.46248224  0.61906712  0.72322457
  1.1942731   0.09356357  0.40534032  0.19040385  0.68374832  0.3218265
  0.05704635  0.68022604  0.62453914  0.27293978 -0.19770596  0.36140072
  0.32832888  0.45692328  0.63811259  0.12517431 -0.01118818  0.71659221
  0.46883509  0.23478922  0.16929113  1.04313704  0.29948988  0.48721318
 -0.1198392   1.27263048  0.96193405  1.03258509  0.19905927  0.95452144
  0.64185805  0.99521808  0.8420572   0.14368943  0.53119406  0.29413973
  0.20862479  0.22625973  0.03763574  0.17270981 -0.19037795  0.61752281
  0.72998208  0.49370413  0.58589012  0.14554476  0.66725457  0.85810731
  0.89205529  0.26667632  0.93468694  1.11419952  0.24945673  0.36244022
  0.65687871  0.69003351  0.81422302  0.86217592  0.00665307  0.21129643
  0.97288545  0.77422142  0.25538902  0.22719508 -0.15832964  0.92483587
  0.83537931  0.02975842  0.97294434  0.2771468   0.52030609  0.45249406
  0.65888495  0.59750439  0.52451575  0.42070945  0.94159631  0.67813819
  0.59212032  0.73309112  0.13782543  0.87491919  0.17679471  0.82736665
  0.1466142   0.04284285  0.23419242  0.38649637  0.88966491  0.35005278
  0.34294385  0.65800601  0.58110226  0.49736396  0.89097444  0.34016693
  0.42308752  0.95658278 -0.13955578  0.94053498 -0.00316774  0.3481622
  0.45084606 -0.05321096  0.55042585  0.23254871  0.24131776  0.73794325
  0.5374135   0.26687037  0.66243721  0.17481416  0.68592484  0.49955945
  0.86401668  0.48525992  0.99478821  0.24267581  0.44970557  0.33664157
  0.87982211  0.27148931  0.18450599  1.15332905  0.40390944  0.70187438
  0.64488206  0.69066433  0.69650977  0.24250013  0.66556524  0.61886058
  0.89314832  0.36171275  1.07684803  0.33098188  0.59946372  0.23744131
  0.7615138   0.11103926  0.2234266   0.29301508  0.06657496 -0.03013813
  0.45400247  0.80001807  0.87154902 -0.21067076  0.25437953  0.30366847
  0.41102291  0.2891355   0.91311199  0.84335306  0.99554357  0.14274143
  0.91685054  0.50001678]"
0.265625,0.33984375,"[ 6.74391409e-01  1.08280585e+00  8.37563483e-01  5.29033394e-01
  4.00825998e-01 -1.11971534e-01  5.41053892e-01  7.33876841e-01
  8.13370987e-02  6.56402174e-01  5.10182116e-01  5.82686893e-01
  1.55519394e-01  4.10110875e-01  3.23593198e-01  4.93473712e-01
  7.95845245e-01  8.36680816e-01  5.88608859e-01  1.01704048e+00
  6.84213655e-01  4.80453271e-01  7.24439961e-01  6.33446485e-01
  3.06338559e-01  9.88672293e-01  5.04499887e-02  9.11523806e-01
  2.97854754e-01  3.74270304e-01 -1.82347309e-02  3.48119438e-01
  8.66957707e-01  8.67445538e-01  8.80460250e-01  7.67997253e-01
  5.97482404e-01  4.06202456e-01  6.83416069e-01  4.92373363e-01
  5.89175992e-01  7.53115695e-01  1.16438197e+00  1.23454694e-01
  3.75449195e-01  1.90403854e-01  6.83748320e-01  3.21826504e-01
  2.71552214e-02  7.10117169e-01  5.94648015e-01  3.02830910e-01
 -1.67814831e-01  3.61400719e-01  3.28328879e-01  4.27032157e-01
  6.08221463e-01  1.55065440e-01  1.87029468e-02  7.16592206e-01
  4.98726220e-01  2.34789223e-01  1.99182253e-01  1.07302817e+00
  3.29381005e-01  4.87213184e-01 -8.99480715e-02  1.30252161e+00
  9.32042927e-01  1.03258509e+00  1.69168142e-01  9.24630313e-01
  6.71749176e-01  9.65326952e-01  8.42057196e-01  1.13798305e-01
  5.01302935e-01  3.24030854e-01  1.78733663e-01  1.96368600e-01
  3.76357378e-02  1.42818680e-01 -1.90377955e-01  5.87631682e-01
  7.00090955e-01  5.23595253e-01  6.15781246e-01  1.75435883e-01
  6.97145700e-01  8.87998434e-01  9.21946419e-01  2.36785191e-01
  9.04795810e-01  1.11419952e+00  2.19565598e-01  3.32549094e-01
  6.26987583e-01  6.60142385e-01  7.84331888e-01  8.92067047e-01
 -2.32380573e-02  2.11296433e-01  1.00277658e+00  7.44330290e-01
  2.55389018e-01  2.27195079e-01 -1.88220772e-01  9.24835872e-01
  8.05488179e-01  5.96495471e-02  1.00283547e+00  2.77146796e-01
  5.50197219e-01  4.82385183e-01  6.88776078e-01  6.27395521e-01
  5.24515755e-01  3.90818327e-01  9.41596309e-01  6.78138186e-01
  5.62229194e-01  7.03199994e-01  1.07934307e-01  9.04810320e-01
  2.06685838e-01  8.27366653e-01  1.16723070e-01  7.27339738e-02
  2.64083548e-01  3.56605239e-01  9.19556037e-01  3.20161655e-01
  3.72834982e-01  6.28114886e-01  6.10993386e-01  4.97363959e-01
  9.20865563e-01  3.70058053e-01  4.52978650e-01  9.56582781e-01
 -1.09664656e-01  9.40534984e-01 -3.30588679e-02  3.78053326e-01
  4.50846064e-01 -2.33198334e-02  5.50425851e-01  2.02657586e-01
  2.71208890e-01  7.08052119e-01  5.67304629e-01  2.66870372e-01
  6.32546080e-01  1.74814161e-01  6.56033716e-01  4.99559445e-01
  8.34125551e-01  5.15151048e-01  9.64897081e-01  2.72566936e-01
  4.49705565e-01  3.06750447e-01  9.09713238e-01  3.01380439e-01
  2.14397122e-01  1.15332905e+00  3.74018308e-01  7.31765507e-01
  6.14990932e-01  6.90664333e-01  6.66618641e-01  2.12609002e-01
  6.95456371e-01  6.48751706e-01  9.23039450e-01  3.61712749e-01
  1.10673916e+00  3.30981880e-01  6.29354851e-01  2.67332433e-01
  7.91404931e-01  1.40930383e-01  2.23426601e-01  2.63123956e-01
  6.65749638e-02 -2.47005542e-04  4.24111347e-01  8.00018070e-01
  8.71549021e-01 -2.40561882e-01  2.24488406e-01  3.33559594e-01
  3.81131778e-01  3.19026626e-01  9.13111985e-01  8.73244188e-01
  9.95543568e-01  1.12850298e-01  9.16850536e-01  4.70125655e-01]"
