Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 15
Training accuracy,Test accuracy,Parameters
0.275390625,0.26953125,"[0.54226182 0.23218979 0.58084703 0.82258423 0.53496512 0.87088643
 0.15687063 0.0381352  0.82261041 0.67075919 0.07741075 0.68859069
 0.45730978 0.20403739 0.52553323 0.46515114 0.97735239 0.07825275
 0.28952298 0.32324221]"
0.34375,0.326171875,"[0.57908786 0.26901583 0.61767307 0.78575819 0.53496512 0.83406039
 0.12004459 0.00130916 0.82261041 0.63393316 0.07741075 0.72541673
 0.49413582 0.16721136 0.48870719 0.46515114 1.01417842 0.11507879
 0.25269695 0.32324221]"
0.400390625,0.3359375,"[ 0.58315657  0.26901583  0.62174177  0.78168948  0.53089641  0.8381291
  0.1241133  -0.00275954  0.82667912  0.62986445  0.08147946  0.72541673
  0.49820453  0.16314265  0.48463848  0.46108243  1.01010972  0.11507879
  0.25269695  0.32324221]"
0.390625,0.3203125,"[ 0.58315657  0.29344579  0.64617174  0.75725952  0.55532637  0.86255906
  0.09968333 -0.00275954  0.82667912  0.65429441  0.10590942  0.70098677
  0.52263449  0.18757261  0.48463848  0.43665247  0.98567975  0.09064882
  0.25269695  0.29881224]"
0.314453125,0.298828125,"[ 0.61158862  0.26501374  0.67460379  0.72882747  0.58375842  0.83412702
  0.12811538 -0.00275954  0.85511117  0.65429441  0.10590942  0.70098677
  0.49420244  0.15914056  0.51307053  0.46508452  1.0141118   0.09064882
  0.2242649   0.27038019]"
0.291015625,0.29296875,"[ 0.61158862  0.30269512  0.67460379  0.76650885  0.6214398   0.87180839
  0.16579676 -0.00275954  0.89279255  0.61661303  0.06822804  0.73866815
  0.53188382  0.12145918  0.51307053  0.46508452  1.05179318  0.1283302
  0.18658352  0.23269882]"
0.2890625,0.27734375,"[ 0.61068344  0.30178994  0.6736986   0.76741403  0.62053462  0.87180839
  0.16489158 -0.00185436  0.89369773  0.61661303  0.06732286  0.73866815
  0.53188382  0.120554    0.51397571  0.46508452  1.05269837  0.12923539
  0.18567834  0.233604  ]"
0.26171875,0.232421875,"[ 0.63576089  0.32686739  0.64862115  0.76741403  0.64561207  0.84673094
  0.18996903 -0.00185436  0.91877518  0.64169049  0.09240031  0.71359069
  0.53188382  0.14563145  0.51397571  0.46508452  1.02762091  0.15431284
  0.21075579  0.25868145]"
0.228515625,0.224609375,"[ 0.6458536   0.31677468  0.65871386  0.76741403  0.65570478  0.83663823
  0.18996903 -0.00185436  0.90868247  0.63159777  0.09240031  0.72368341
  0.52179111  0.15572417  0.52406843  0.47517723  1.02762091  0.14422013
  0.2208485   0.26877417]"
0.212890625,0.24609375,"[ 0.6458536   0.35136795  0.6241206   0.8020073   0.69029805  0.80204496
  0.2245623  -0.03644763  0.8740892   0.66619104  0.12699358  0.68909014
  0.52179111  0.15572417  0.55866169  0.5097705   1.06221418  0.10962686
  0.2208485   0.26877417]"
0.216796875,0.228515625,"[ 0.65866146  0.3641758   0.6241206   0.81481515  0.6774902   0.78923711
  0.2245623  -0.04925548  0.86128135  0.67899889  0.11418573  0.68909014
  0.50898326  0.15572417  0.55866169  0.49696264  1.07502203  0.09681901
  0.20804065  0.25596631]"
0.23046875,0.212890625,"[ 0.66681367  0.35602358  0.61596838  0.80666293  0.6774902   0.78923711
  0.23271452 -0.0574077   0.86943357  0.68715111  0.10603351  0.68093792
  0.50898326  0.14757195  0.56681391  0.48881043  1.07502203  0.09681901
  0.21619287  0.26411853]"
0.23046875,0.232421875,"[ 0.66681367  0.40406623  0.61596838  0.80666293  0.72553285  0.74119446
  0.28075716 -0.00936505  0.82139092  0.73519375  0.05799086  0.63289528
  0.5570259   0.14757195  0.51877126  0.44076778  1.12306468  0.04877636
  0.16815022  0.26411853]"
0.232421875,0.232421875,"[ 0.64891665  0.40406623  0.6338654   0.80666293  0.74342987  0.75909148
  0.29865418 -0.00936505  0.82139092  0.71729673  0.07588788  0.61499826
  0.57492292  0.14757195  0.53666828  0.4586648   1.1409617   0.06667338
  0.1502532   0.24622151]"
0.234375,0.220703125,"[ 0.6353144   0.39046398  0.62026315  0.80666293  0.74342987  0.74548923
  0.31225643 -0.0229673   0.83499317  0.70369449  0.07588788  0.60139601
  0.56132067  0.1339697   0.53666828  0.44506255  1.15456395  0.08027563
  0.1502532   0.23261926]"
0.234375,0.224609375,"[ 0.63302718  0.39046398  0.61797593  0.80895016  0.74571709  0.74777646
  0.31454365 -0.02525452  0.83499317  0.70598171  0.07588788  0.59910878
  0.55903345  0.13168248  0.53438106  0.44734978  1.15456395  0.08027563
  0.15254042  0.23490649]"
0.234375,0.216796875,"[ 0.65517217  0.41260898  0.59583093  0.78680516  0.7235721   0.72563146
  0.31454365 -0.02525452  0.85713816  0.68383672  0.09803288  0.62125378
  0.58117844  0.10953748  0.53438106  0.42520479  1.15456395  0.05813063
  0.13039543  0.23490649]"
0.234375,0.22265625,"[ 0.65941751  0.41685431  0.59583093  0.78680516  0.72781743  0.7298768
  0.31878899 -0.02100919  0.85289283  0.68383672  0.09803288  0.62125378
  0.57693311  0.10529215  0.53013572  0.42095945  1.15880928  0.0538853
  0.13464076  0.23066115]"
0.244140625,0.220703125,"[ 0.65941751  0.42343708  0.60241371  0.78022239  0.72781743  0.73645957
  0.32537176 -0.01442642  0.84631006  0.67725394  0.09803288  0.614671
  0.58351589  0.09870937  0.52355295  0.42095945  1.15880928  0.06046808
  0.12805799  0.23724393]"
0.25,0.232421875,"[ 0.64897644  0.43387815  0.59197264  0.78022239  0.73825849  0.72601851
  0.33581283 -0.01442642  0.85675112  0.67725394  0.08759181  0.60422994
  0.58351589  0.10915044  0.52355295  0.43140052  1.14836821  0.05002701
  0.13849905  0.24768499]"
0.25,0.228515625,"[ 0.64897644  0.44242323  0.60051772  0.78876747  0.73825849  0.71747342
  0.32726775 -0.00588133  0.84820604  0.68579902  0.07904673  0.59568486
  0.59206097  0.10915044  0.51500787  0.43140052  1.14836821  0.05857209
  0.14704414  0.23913991]"
0.2421875,0.228515625,"[ 0.64053111  0.45086857  0.59207239  0.78032214  0.73825849  0.72591876
  0.33571308 -0.00588133  0.84820604  0.69424436  0.07904673  0.58723952
  0.58361563  0.10915044  0.50656253  0.42295518  1.15681355  0.05012676
  0.1385988   0.24758525]"
0.25390625,0.228515625,"[ 0.64920164  0.4595391   0.59207239  0.7716516   0.73825849  0.71724823
  0.33571308 -0.00588133  0.83953551  0.68557383  0.0703762   0.59591005
  0.58361563  0.10047991  0.51523307  0.41428465  1.14814302  0.05879729
  0.14726933  0.25625578]"
0.248046875,0.228515625,"[ 0.64748116  0.46125958  0.59207239  0.77337208  0.73653802  0.71896871
  0.33571308 -0.00416085  0.83781503  0.68729431  0.0703762   0.59591005
  0.58189515  0.09875943  0.51351259  0.41428465  1.1498635   0.06051777
  0.14554885  0.25797626]"
0.251953125,0.23046875,"[ 0.64748116  0.46526415  0.59207239  0.76936751  0.73253344  0.71496414
  0.33170851 -0.00816543  0.83381046  0.68729431  0.07438077  0.59190548
  0.58589972  0.09875943  0.50950801  0.41828922  1.1498635   0.06452234
  0.14154428  0.25397169]"
0.26953125,0.248046875,"[ 6.47481159e-01  4.65264149e-01  5.99359751e-01  7.76654875e-01
  7.39820807e-01  7.07676772e-01  3.38995872e-01 -8.78063191e-04
  8.41097820e-01  6.94581670e-01  6.70934081e-02  5.99192846e-01
  5.85899724e-01  1.06046792e-01  5.02220651e-01  4.18289223e-01
  1.14257613e+00  5.72349760e-02  1.48831645e-01  2.53971686e-01]"
0.259765625,0.248046875,"[ 0.65792725  0.47571024  0.60980584  0.76620878  0.72937471  0.69723068
  0.34944196 -0.01132416  0.83065173  0.70502776  0.06709341  0.60963894
  0.58589972  0.11649288  0.50222065  0.41828922  1.13213004  0.05723498
  0.15927774  0.24352559]"
0.244140625,0.251953125,"[ 0.63769291  0.49594458  0.63004018  0.76620878  0.74960905  0.67699634
  0.36967631 -0.0315585   0.83065173  0.68479342  0.06709341  0.62987328
  0.58589972  0.13672723  0.52245499  0.39805488  1.13213004  0.07746932
  0.1390434   0.26375993]"
0.255859375,0.251953125,"[ 0.63356126  0.50007623  0.62590853  0.76207713  0.7454774   0.67286469
  0.36967631 -0.03569015  0.83065173  0.68066177  0.06709341  0.62574163
  0.59003138  0.13259557  0.52245499  0.40218653  1.13626169  0.08160097
  0.14317505  0.26375993]"
0.255859375,0.248046875,"[ 0.65745008  0.47618742  0.62590853  0.76207713  0.76936622  0.6967535
  0.34578749 -0.05957896  0.85454054  0.68066177  0.09098222  0.60185281
  0.59003138  0.15648439  0.54634381  0.42607535  1.16015051  0.08160097
  0.16706387  0.23987112]"
0.25390625,0.248046875,"[ 0.67374005  0.49247739  0.6421985   0.76207713  0.75307625  0.71304347
  0.36207746 -0.04328899  0.83825058  0.68066177  0.09098222  0.60185281
  0.59003138  0.17277436  0.53005384  0.40978538  1.14386054  0.065311
  0.1507739   0.25616109]"
0.25,0.248046875,"[ 0.67859705  0.48762039  0.6470555   0.76693413  0.75793325  0.70818647
  0.36207746 -0.04328899  0.84310757  0.67580477  0.09098222  0.60670981
  0.58517438  0.16791736  0.53005384  0.40978538  1.14871754  0.060454
  0.1459169   0.26101809]"
0.25390625,0.25,"[ 0.64637919  0.51983824  0.67927336  0.79915199  0.7901511   0.67596862
  0.36207746 -0.07550685  0.87532543  0.70802263  0.12320008  0.60670981
  0.58517438  0.20013521  0.49783598  0.44200324  1.18093539  0.02823614
  0.1459169   0.26101809]"
0.2578125,0.25,"[ 0.66266727  0.53612632  0.66298528  0.78286391  0.80643918  0.65968054
  0.37836554 -0.09179493  0.87532543  0.72431071  0.106912    0.60670981
  0.5688863   0.20013521  0.4815479   0.44200324  1.18093539  0.01194806
  0.12962882  0.27730617]"
0.2578125,0.251953125,"[ 0.66266727  0.53612632  0.66298528  0.77234802  0.7959233   0.64916465
  0.37836554 -0.08127904  0.88584132  0.73482659  0.11742789  0.60670981
  0.57940218  0.18961933  0.49206379  0.45251912  1.19145128  0.00143218
  0.1401447   0.28782205]"
0.26171875,0.25,"[ 0.66266727  0.51697774  0.68213386  0.7914966   0.7959233   0.63001607
  0.39751412 -0.10042762  0.9049899   0.71567801  0.11742789  0.58756123
  0.5602536   0.18961933  0.51121237  0.45251912  1.21059986  0.02058076
  0.12099612  0.30697064]"
0.255859375,0.25390625,"[ 0.67162646  0.50801854  0.69109305  0.78253741  0.80488249  0.62105687
  0.39751412 -0.10938682  0.91394909  0.7246372   0.11742789  0.59652042
  0.5692128   0.18066013  0.51121237  0.44355993  1.21955906  0.02953995
  0.12099612  0.30697064]"
