Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 105
Training accuracy,Test accuracy,Parameters
0.130859375,0.125,"[0.70260402 0.09618269 0.85849983 0.90426293 0.22953714 0.17151271
 0.178165   0.42068924 0.46554226 0.30444975 0.39815819 0.79758237
 0.44641856 0.80907952 0.60649198 0.04617031 0.58486229 0.81710263
 0.60696242 0.58667118 0.66095777 0.32212858 0.93402634 0.0294115
 0.18010551 0.12537105 0.61030733 0.26244208 0.36744303 0.40223392
 0.45090353 0.9531244  0.64607361 0.63322785 0.11011044 0.52545029
 0.88266382 0.89335536 0.04097543 0.38279717 0.78211716 0.08696148
 0.05220394 0.70802515 0.87638639 0.93151882 0.28874433 0.94657749
 0.18661333 0.08674447 0.2595945  0.64527006 0.58134123 0.4033455
 0.79263409 0.09795638 0.76444675 0.71526096 0.06729772 0.27465663
 1.0093328  0.86095069 0.2899803  0.0440696  0.09690596 0.14288225
 0.50376084 0.98842573 0.37321487 0.53856132 0.92058486 0.80271698
 0.32328418 0.75300615 0.67877478 0.6906121  0.18804315 0.8497644
 0.70538332 1.02231908 0.29161443 0.95524061 0.04214834 0.39221731
 0.62266221 0.54958501 0.07988663 0.28937543 0.09766442 0.79326754
 0.17692626 0.57345801 0.8598859  0.49164201 0.76698921 0.5257319
 0.54999451 0.38643842 0.10156782 0.98756559 0.16556484 0.75485881
 0.84377478 0.09262306 0.59894669 0.76440305 0.14301174 0.185248
 0.75846816 0.99532699 0.29052765 0.41839138 0.35078938 0.17798704
 0.28539925 0.50845611 0.2175271  0.94518358 0.39230551 0.57378295
 0.03751176 0.43378161 0.5967461  0.88860196 0.9212086  0.21142247
 0.12045056 0.5039815  0.73711211 0.36634946 0.1999508  0.07518144
 0.56980586 0.93198769 0.06889751 0.3766865  0.30245586 0.70597126
 0.14641462 0.01366976]"
0.37109375,0.34765625,"[ 0.65577245  0.09618269  0.81166826  0.85743135  0.27636872  0.12468114
  0.178165    0.46752081  0.41871068  0.35128132  0.35132661  0.75075079
  0.39958698  0.85591109  0.65332355  0.04617031  0.53803071  0.81710263
  0.56013084  0.5398396   0.66095777  0.32212858  0.98085792  0.07624308
  0.22693708  0.12537105  0.61030733  0.26244208  0.32061145  0.40223392
  0.4977351   0.9531244   0.69290518  0.68005942  0.06327887  0.57228187
  0.83583224  0.94018693  0.08780701  0.42962874  0.78211716  0.0401299
  0.05220394  0.66119357  0.92321796  0.88468724  0.28874433  0.94657749
  0.13978176  0.13357604  0.2595945   0.69210163  0.58134123  0.35651392
  0.74580251  0.05112481  0.76444675  0.76209253  0.06729772  0.22782506
  1.0093328   0.86095069  0.24314873 -0.00276198  0.14373754  0.09605068
  0.50376084  1.03525731  0.37321487  0.5853929   0.96741644  0.75588541
  0.37011576  0.75300615  0.63194321  0.73744368  0.23487472  0.80293283
  0.65855175  1.06915066  0.338446    0.90840903  0.04214834  0.43904888
  0.57583063  0.50275343  0.03305505  0.33620701  0.09766442  0.84009912
  0.17692626  0.57345801  0.81305433  0.49164201  0.72015763  0.47890033
  0.50316293  0.43327     0.1483994   0.94073401  0.21239641  0.80169038
  0.89060635  0.13945463  0.55211511  0.81123462  0.09618016  0.185248
  0.75846816  0.94849541  0.29052765  0.46522295  0.39762096  0.13115546
  0.23856767  0.55528769  0.17069553  0.94518358  0.34547393  0.62061452
 -0.00931982  0.48061319  0.54991452  0.88860196  0.87437703  0.25825405
  0.16728213  0.55081307  0.69028053  0.31951789  0.15311923  0.12201301
  0.61663744  0.93198769  0.11572908  0.42351808  0.25562428  0.75280284
  0.09958305 -0.03316182]"
0.416015625,0.396484375,"[ 0.53166034 -0.02792941  0.81166826  0.98154346  0.27636872  0.24879324
  0.3022771   0.59163291  0.29459858  0.35128132  0.22721451  0.8748629
  0.27547488  0.85591109  0.52921145 -0.07794179  0.53803071  0.69299052
  0.43601874  0.5398396   0.53684566  0.44624068  0.85674582  0.20035518
  0.35104919  0.12537105  0.61030733  0.38655418  0.32061145  0.52634602
  0.4977351   1.0772365   0.69290518  0.80417152 -0.06083323  0.69639397
  0.95994435  0.81607483 -0.0363051   0.42962874  0.90622926 -0.0839822
 -0.07190816  0.53708147  1.04733006  0.76057514  0.28874433  0.94657749
  0.26389386  0.00946394  0.2595945   0.69210163  0.45722913  0.35651392
  0.86991462  0.05112481  0.64033464  0.88620463 -0.05681438  0.35193716
  0.8852207   0.98506279  0.24314873 -0.00276198  0.26784964 -0.02806143
  0.37964873  0.9111452   0.24910277  0.5853929   0.84330433  0.87999751
  0.24600366  0.62889405  0.75605531  0.86155578  0.23487472  0.92704493
  0.53443965  0.94503855  0.2143339   1.03252113 -0.08196376  0.31493678
  0.45171853  0.62686554 -0.09105705  0.2120949   0.22177652  0.84009912
  0.17692626  0.44934591  0.93716643  0.61575411  0.84426973  0.60301243
  0.62727504  0.5573821   0.0242873   1.06484612  0.33650852  0.92580249
  1.01471846  0.01534253  0.67622721  0.93534673  0.09618016  0.185248
  0.75846816  1.07260752  0.41463975  0.34111085  0.27350886  0.00704336
  0.23856767  0.55528769  0.29480763  0.82107148  0.22136183  0.49650242
  0.11479228  0.48061319  0.54991452  1.01271406  0.99848913  0.13414194
  0.16728213  0.42670097  0.56616843  0.44362999  0.15311923  0.24612512
  0.49252533  1.05609979  0.11572908  0.54763018  0.25562428  0.87691494
  0.22369515  0.09095028]"
0.263671875,0.267578125,"[ 0.55584376 -0.00374599  0.83585168  1.00572688  0.30055214  0.27297666
  0.27809368  0.59163291  0.27041516  0.3270979   0.20303109  0.89904632
  0.27547488  0.88009451  0.55339487 -0.05375837  0.56221413  0.71717394
  0.41183532  0.5398396   0.53684566  0.42205726  0.88092924  0.20035518
  0.35104919  0.10118763  0.58612391  0.36237076  0.34479487  0.55052944
  0.52191852  1.05305308  0.66872176  0.7799881  -0.03664981  0.69639397
  0.95994435  0.84025825 -0.06048852  0.45381216  0.93041268 -0.05979878
 -0.09609158  0.56126489  1.02314664  0.76057514  0.31292775  0.97076091
  0.28807728 -0.01471948  0.28377792  0.69210163  0.45722913  0.35651392
  0.8457312   0.02694139  0.66451806  0.88620463 -0.0809978   0.32775374
  0.86103728  1.00924621  0.21896531  0.02142144  0.24366622 -0.00387801
  0.37964873  0.88696178  0.22491935  0.56120948  0.84330433  0.85581409
  0.27018708  0.65307747  0.73187189  0.83737236  0.2106913   0.95122835
  0.53443965  0.94503855  0.19015048  1.00833771 -0.08196376  0.31493678
  0.47590195  0.65104896 -0.11524047  0.2120949   0.24595994  0.84009912
  0.15274284  0.42516249  0.93716643  0.59157069  0.84426973  0.60301243
  0.60309162  0.5573821   0.0242873   1.0406627   0.36069194  0.92580249
  1.03890188  0.03952595  0.70041063  0.95953015  0.07199674  0.20943142
  0.78265158  1.0484241   0.39045633  0.34111085  0.29769227  0.00704336
  0.23856767  0.57947111  0.31899105  0.79688806  0.22136183  0.472319
  0.09060886  0.50479661  0.5257311   1.03689748  1.02267255  0.10995852
  0.19146555  0.42670097  0.54198501  0.41944657  0.15311923  0.2219417
  0.46834191  1.08028321  0.1399125   0.54763018  0.23144086  0.85273152
  0.24787857  0.09095028]"
0.271484375,0.3046875,"[ 0.53466729 -0.02492247  0.85702815  0.9845504   0.27937566  0.25180019
  0.25691721  0.61280939  0.27041516  0.30592143  0.22420756  0.87786984
  0.25429841  0.88009451  0.57457134 -0.07493485  0.54103766  0.69599747
  0.39065885  0.5398396   0.53684566  0.44323374  0.88092924  0.17917871
  0.37222566  0.08001115  0.60730038  0.36237076  0.3236184   0.52935297
  0.52191852  1.07422956  0.64754529  0.75881163 -0.03664981  0.67521749
  0.98112082  0.81908177 -0.06048852  0.47498864  0.93041268 -0.03862231
 -0.11726805  0.58244136  1.04432312  0.78175161  0.33410423  0.94958443
  0.30925375 -0.03589595  0.30495439  0.67092516  0.4784056   0.33533745
  0.86690767  0.00576491  0.66451806  0.86502816 -0.10217427  0.30657726
  0.8398608   0.98806974  0.21896531  0.02142144  0.22248975 -0.00387801
  0.35847226  0.90813826  0.22491935  0.56120948  0.84330433  0.85581409
  0.29136355  0.65307747  0.71069542  0.81619589  0.23186778  0.93005188
  0.51326317  0.94503855  0.16897401  1.02951419 -0.06078729  0.29376031
  0.49707843  0.62987248 -0.11524047  0.19091843  0.22478347  0.84009912
  0.15274284  0.40398602  0.91598996  0.61274717  0.84426973  0.6241889
  0.60309162  0.53620562  0.00311082  1.01948622  0.36069194  0.94697896
  1.03890188  0.03952595  0.67923416  0.98070662  0.07199674  0.18825495
  0.78265158  1.06960057  0.41163281  0.34111085  0.31886875  0.02821984
  0.25974414  0.55829463  0.29781457  0.77571159  0.20018535  0.49349547
  0.06943239  0.50479661  0.50455463  1.01572101  1.00149607  0.131135
  0.19146555  0.4055245   0.52080854  0.3982701   0.1742957   0.24311817
  0.48951839  1.05910673  0.16108898  0.54763018  0.25261734  0.83155505
  0.26905504  0.09095028]"
0.287109375,0.208984375,"[ 0.53466729 -0.08633792  0.9184436   1.04596585  0.21796021  0.19038474
  0.19550176  0.67422484  0.33183061  0.24450598  0.22420756  0.81645439
  0.25429841  0.81867906  0.51315589 -0.1363503   0.54103766  0.75741292
  0.3292434   0.60125505  0.59826112  0.44323374  0.81951379  0.17917871
  0.43364111  0.1414266   0.54588493  0.36237076  0.38503385  0.59076842
  0.46050307  1.13564501  0.64754529  0.75881163 -0.03664981  0.61380204
  0.91970537  0.88049722 -0.12190397  0.53640409  0.86899723  0.02279314
 -0.1786835   0.52102591  1.04432312  0.72033616  0.27268878  1.01099989
  0.2478383  -0.03589595  0.36636984  0.60950971  0.4784056   0.3967529
  0.92832312 -0.05565054  0.60310261  0.80361271 -0.16358972  0.24516181
  0.77844535  0.98806974  0.28038076  0.08283689  0.22248975  0.05753744
  0.41988771  0.84672281  0.1635039   0.62262493  0.90471978  0.85581409
  0.29136355  0.65307747  0.64927997  0.75478044  0.17045233  0.93005188
  0.57467862  0.94503855  0.23038946  1.09092964 -0.12220274  0.29376031
  0.49707843  0.62987248 -0.11524047  0.19091843  0.16336802  0.90151457
  0.2141583   0.46540147  0.97740541  0.55133172  0.90568518  0.56277345
  0.54167617  0.59762107 -0.05830463  0.95807077  0.36069194  1.00839441
  1.10031733  0.1009414   0.61781871  0.91929117  0.13341219  0.1268395
  0.84406703  1.13101602  0.41163281  0.34111085  0.31886875  0.08963529
  0.3211596   0.55829463  0.23639912  0.83712704  0.2616008   0.43208002
  0.13084784  0.56621206  0.56597008  1.07713646  0.94008062  0.19255045
  0.19146555  0.34410905  0.45939309  0.3982701   0.23571115  0.24311817
  0.48951839  1.05910673  0.22250443  0.60904563  0.19120189  0.7701396
  0.33047049  0.02953483]"
0.244140625,0.341796875,"[ 0.53700282 -0.08400239  0.92077913  1.04596585  0.21562468  0.19272027
  0.19316623  0.67656037  0.32949508  0.24684151  0.22654309  0.81411886
  0.25196288  0.82101459  0.51315589 -0.13401477  0.54337319  0.75974845
  0.33157893  0.60125505  0.59826112  0.44089821  0.81951379  0.17917871
  0.43130558  0.14376213  0.5435494   0.36470629  0.38736938  0.58843289
  0.46050307  1.13798054  0.64754529  0.7564761  -0.03898534  0.61146651
  0.91970537  0.88283275 -0.11956844  0.53406856  0.8666617   0.02512867
 -0.18101903  0.52336144  1.04665865  0.72267169  0.27502431  1.01099989
  0.25017383 -0.03823148  0.36403431  0.60717418  0.48074113  0.39441737
  0.92598759 -0.05331501  0.60310261  0.80361271 -0.16358972  0.24282628
  0.77610982  0.98806974  0.28271629  0.08050136  0.22015422  0.05753744
  0.41755218  0.84905834  0.1635039   0.6202894   0.90705531  0.85347856
  0.29369908  0.655413    0.64694444  0.75478044  0.1681168   0.93005188
  0.57467862  0.94270302  0.22805393  1.09326517 -0.11986721  0.29609584
  0.49941396  0.63220801 -0.11524047  0.19091843  0.16570355  0.9038501
  0.21649382  0.46540147  0.97740541  0.54899619  0.90802071  0.56510898
  0.54167617  0.59762107 -0.05830463  0.9604063   0.36302747  1.01072994
  1.10031733  0.1009414   0.61781871  0.91929117  0.13107666  0.12917503
  0.84406703  1.12868049  0.40929728  0.34111085  0.31653322  0.08963529
  0.32349512  0.5559591   0.23873465  0.83479151  0.26393633  0.42974449
  0.12851231  0.56387653  0.56363455  1.07713646  0.93774509  0.19488598
  0.18913002  0.34644458  0.46172862  0.39593457  0.23804668  0.2454537
  0.49185392  1.0567712   0.22483996  0.61138116  0.19120189  0.76780407
  0.32813497  0.03187036]"
0.27734375,0.341796875,"[ 0.49969732 -0.04669689  0.95808463  1.08327135  0.21562468  0.15541477
  0.19316623  0.63925487  0.29218958  0.20953601  0.26384859  0.81411886
  0.25196288  0.85832009  0.55046139 -0.09670927  0.50606769  0.72244295
  0.33157893  0.56394955  0.59826112  0.47820371  0.78220829  0.17917871
  0.43130558  0.18106763  0.5808549   0.36470629  0.35006388  0.62573839
  0.46050307  1.10067504  0.61023979  0.7564761  -0.03898534  0.61146651
  0.95701087  0.84552725 -0.11956844  0.57137406  0.9039672   0.06243417
 -0.14371353  0.52336144  1.00935315  0.75997719  0.31232981  1.01099989
  0.25017383 -0.07553698  0.36403431  0.64447968  0.51804663  0.43172287
  0.88868209 -0.01600951  0.64040811  0.84091821 -0.16358972  0.20552078
  0.73880432  0.98806974  0.32002179  0.08050136  0.25745972  0.09484294
  0.38024668  0.88636384  0.2008094   0.5829839   0.94436081  0.81617306
  0.33100458  0.655413    0.68424994  0.75478044  0.1308113   0.93005188
  0.53737312  0.98000852  0.26535943  1.13057067 -0.15717271  0.25879034
  0.53671946  0.66951351 -0.15254597  0.19091843  0.12839805  0.9411556
  0.17918832  0.50270697  1.01471091  0.58630169  0.87071521  0.60241448
  0.54167617  0.56031557 -0.05830463  0.9977118   0.40033297  1.04803544
  1.10031733  0.1382469   0.58051321  0.91929117  0.13107666  0.16648053
  0.88137253  1.16598599  0.37199178  0.37841635  0.27922772  0.08963529
  0.36080062  0.5932646   0.27604015  0.87209701  0.30124183  0.39243899
  0.09120681  0.52657103  0.56363455  1.03983096  0.90043959  0.23219148
  0.15182452  0.30913908  0.42442312  0.35862907  0.23804668  0.2827592
  0.52915942  1.0940767   0.18753446  0.64868666  0.19120189  0.73049857
  0.36544047  0.03187036]"
0.298828125,0.40234375,"[ 0.5253623  -0.07236187  0.93241965  1.08327135  0.24128966  0.18107974
  0.2188312   0.66491985  0.31785456  0.20953601  0.28951357  0.81411886
  0.2262979   0.83265511  0.52479642 -0.07104429  0.53173267  0.74810793
  0.3572439   0.53828457  0.57259614  0.50386868  0.80787326  0.20484368
  0.45697056  0.15540265  0.55518993  0.36470629  0.3243989   0.65140336
  0.43483809  1.07501006  0.58457481  0.7564761  -0.06465032  0.61146651
  0.93134589  0.84552725 -0.11956844  0.59703903  0.87830222  0.0367692
 -0.14371353  0.49769646  1.00935315  0.73431221  0.33799479  1.03666486
  0.22450886 -0.07553698  0.38969929  0.6188147   0.54371161  0.40605789
  0.91434707  0.00965547  0.66607309  0.84091821 -0.1892547   0.23118576
  0.71313935  0.96240476  0.32002179  0.10616634  0.25745972  0.06917797
  0.38024668  0.88636384  0.2008094   0.60864888  0.97002579  0.84183804
  0.3053396   0.655413    0.65858496  0.78044541  0.10514632  0.9043869
  0.5630381   0.95434355  0.26535943  1.13057067 -0.18283769  0.28445531
  0.56238443  0.69517849 -0.12688099  0.21658341  0.10273307  0.91549062
  0.2048533   0.52837194  1.01471091  0.56063671  0.87071521  0.5767495
  0.56734114  0.5346506  -0.08396961  0.9977118   0.42599794  1.02237046
  1.1259823   0.11258193  0.60617819  0.91929117  0.10541169  0.19214551
  0.88137253  1.16598599  0.37199178  0.40408133  0.27922772  0.11530026
  0.36080062  0.61892958  0.30170513  0.89776199  0.30124183  0.36677402
  0.06554183  0.52657103  0.58929953  1.01416598  0.87477462  0.25785645
  0.1774895   0.2834741   0.42442312  0.33296409  0.23804668  0.30842418
  0.55482439  1.11974168  0.21319943  0.64868666  0.19120189  0.75616354
  0.39110544  0.00620539]"
0.287109375,0.3515625,"[ 0.51443413 -0.08329003  0.93241965  1.09419952  0.23036149  0.17015158
  0.22975937  0.65399168  0.30692639  0.20953601  0.28951357  0.80319069
  0.2262979   0.82172695  0.52479642 -0.06011612  0.5208045   0.75903609
  0.34631574  0.54921274  0.56166797  0.51479685  0.81880143  0.19391552
  0.46789873  0.14447449  0.56611809  0.35377812  0.33532707  0.65140336
  0.44576626  1.08593822  0.58457481  0.76740427 -0.05372215  0.61146651
  0.93134589  0.83459909 -0.11956844  0.59703903  0.87830222  0.04769736
 -0.1546417   0.50862463  1.00935315  0.73431221  0.34892295  1.0257367
  0.23543702 -0.08646515  0.40062746  0.6188147   0.54371161  0.39512973
  0.91434707 -0.0012727   0.65514492  0.85184638 -0.1892547   0.22025759
  0.71313935  0.95147659  0.33094996  0.09523817  0.26838788  0.0582498
  0.38024668  0.88636384  0.21173757  0.61957704  0.98095396  0.85276621
  0.29441144  0.66634117  0.64765679  0.79137358  0.11607449  0.91531507
  0.55210993  0.94341538  0.26535943  1.1196425  -0.19376585  0.27352715
  0.55145627  0.68425032 -0.13780916  0.20565524  0.11366124  0.91549062
  0.21578147  0.51744378  1.00378274  0.57156488  0.88164338  0.58767767
  0.57826931  0.5346506  -0.07304144  0.98678364  0.42599794  1.0114423
  1.13691047  0.12351009  0.61710635  0.91929117  0.11633985  0.20307367
  0.88137253  1.16598599  0.37199178  0.39315316  0.29015589  0.12622843
  0.36080062  0.60800142  0.3126333   0.90869015  0.30124183  0.36677402
  0.07647     0.51564286  0.57837136  1.02509414  0.86384645  0.26878462
  0.16656133  0.27254593  0.41349495  0.33296409  0.22711852  0.30842418
  0.56575256  1.10881352  0.20227127  0.64868666  0.20213005  0.76709171
  0.40203361  0.01713355]"
