Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 45
Training accuracy,Test accuracy,Parameters
0.220703125,0.203125,"[0.40380717 0.64474056 0.95625561 0.15613862 0.99236704 0.59723198
 0.86615107 0.22618284 0.41510206 0.76831873 0.34591452 1.00312782
 0.50207436 0.37507852 0.82863355 0.88679466 0.38166154 0.71501849
 0.89796453 0.18673784 0.91680767 0.77332682 0.81091316 0.21521292
 0.30716728 0.67155277 0.29695803 0.58640915 0.70884376 0.73741402
 0.04877444 0.18379061 0.56818233 0.11640203 0.05243764 0.24200367
 0.29784827 0.30921996 0.01988662 0.42731263 0.41172715 0.93713301
 0.27211704 0.51608544 0.71286979 0.48167885 0.69850351 0.49682585
 0.42289312 0.23968371 0.23999639 0.15000408 0.36240555 0.70184698
 0.13233282 0.82189886 0.29251104 0.74644774 0.59290975 0.32269025]"
0.296875,0.26171875,"[0.32396819 0.56490159 1.03609459 0.07629965 0.91252807 0.67707096
 0.94599004 0.14634386 0.33526309 0.76831873 0.26607554 1.00312782
 0.58191334 0.45491749 0.74879458 0.96663363 0.30182256 0.63517952
 0.9778035  0.10689887 0.91680767 0.69348784 0.73107418 0.13537395
 0.22732831 0.67155277 0.376797   0.66624813 0.70884376 0.81725299
 0.04877444 0.10395163 0.56818233 0.19624101 0.13227661 0.1621647
 0.37768725 0.38905894 0.0997256  0.42731263 0.41172715 1.01697199
 0.35195602 0.51608544 0.71286979 0.48167885 0.77834248 0.41698687
 0.34305415 0.31952269 0.31983537 0.22984306 0.36240555 0.78168596
 0.13233282 0.82189886 0.21267207 0.82628672 0.51307077 0.24285128]"
0.361328125,0.33203125,"[ 0.40847623  0.64940963  0.95158654 -0.0082084   0.99703611  0.59256291
  0.861482    0.14634386  0.41977113  0.85282677  0.1815675   1.08763586
  0.66642138  0.45491749  0.74879458  0.96663363  0.30182256  0.71968756
  0.89329546  0.02239083  1.00131571  0.69348784  0.81558222  0.21988199
  0.31183635  0.67155277  0.46130504  0.58174009  0.62433572  0.90176103
  0.04877444  0.18845967  0.65269037  0.11173297  0.21678465  0.1621647
  0.37768725  0.47356698  0.01521756  0.51182068  0.32721911  1.10148003
  0.26744798  0.4315774   0.71286979  0.48167885  0.69383444  0.50149491
  0.34305415  0.23501465  0.40434341  0.22984306  0.44691359  0.866194
  0.13233282  0.90640691  0.29718011  0.91079476  0.59757881  0.32735932]"
0.419921875,0.37109375,"[ 0.29742826  0.64940963  1.06263452 -0.11925637  1.10808408  0.48151494
  0.97252997  0.03529589  0.41977113  0.85282677  0.1815675   1.19868384
  0.66642138  0.56596546  0.63774661  0.85558566  0.19077459  0.60863959
  1.00434343  0.1334388   1.11236368  0.80453582  0.70453425  0.21988199
  0.42288432  0.5605048   0.57235301  0.69278806  0.62433572  1.012809
  0.15982241  0.29950764  0.76373834  0.11173297  0.32783262  0.27321267
  0.26663928  0.58461495  0.01521756  0.4007727   0.43826708  1.212528
  0.26744798  0.32052943  0.71286979  0.37063088  0.58278647  0.61254289
  0.34305415  0.34606262  0.40434341  0.34089103  0.33586562  0.75514603
  0.24338079  0.90640691  0.18613214  0.79974679  0.59757881  0.43840729]"
0.34765625,0.396484375,"[ 0.35920953  0.58762836  1.00085325 -0.18103763  1.16986535  0.54329621
  1.03431124 -0.02648538  0.41977113  0.79104551  0.1815675   1.13690257
  0.72820265  0.5041842   0.69952787  0.91736693  0.12899333  0.60863959
  1.00434343  0.19522006  1.05058241  0.80453582  0.64275298  0.28166325
  0.42288432  0.49872354  0.57235301  0.6310068   0.68611699  0.95102774
  0.22160367  0.29950764  0.8255196   0.17351423  0.32783262  0.33499393
  0.32842054  0.52283368  0.01521756  0.33899144  0.43826708  1.15074673
  0.20566671  0.38231069  0.77465105  0.43241215  0.64456773  0.61254289
  0.40483541  0.28428135  0.34256214  0.27910976  0.33586562  0.8169273
  0.18159953  0.90640691  0.12435087  0.79974679  0.65936008  0.50018856]"
0.462890625,0.44140625,"[ 0.35920953  0.70831547  1.12154036 -0.18103763  1.04917824  0.4226091
  0.91362413  0.09420173  0.29908402  0.79104551  0.30225461  1.25758968
  0.84888975  0.38349709  0.69952787  1.03805404  0.24968044  0.48795248
  1.00434343  0.31590717  1.05058241  0.80453582  0.52206588  0.40235036
  0.42288432  0.37803643  0.4516659   0.6310068   0.68611699  0.83034063
  0.10091657  0.17882053  0.8255196   0.29420134  0.20714551  0.45568104
  0.44910765  0.40214658 -0.10546955  0.21830433  0.55895419  1.03005962
  0.0849796   0.38231069  0.89533816  0.55309926  0.52388063  0.61254289
  0.52552252  0.16359424  0.46324925  0.39979687  0.45655272  0.69624019
  0.18159953  0.7857198   0.12435087  0.9204339   0.53867297  0.37950145]"
0.4453125,0.40625,"[ 0.62024956  0.70831547  0.86050033 -0.18103763  1.31021827  0.4226091
  0.91362413  0.09420173  0.03804399  1.05208554  0.04121458  0.99654965
  1.10992979  0.38349709  0.43848784  1.29909407 -0.0113596   0.48795248
  1.26538347  0.05486714  1.31162245  0.80453582  0.78310591  0.14131033
  0.42288432  0.63907646  0.71270594  0.6310068   0.68611699  1.09138066
  0.3619566   0.17882053  1.08655964  0.03316131 -0.05389452  0.45568104
  0.18806762  0.40214658 -0.36650958 -0.0427357   0.81999422  0.76901959
 -0.17606043  0.64335073  1.15637819  0.81413929  0.26284059  0.35150285
  0.78656255 -0.09744579  0.72428928  0.39979687  0.71759276  0.95728022
 -0.07944051  1.04675983  0.3853909   0.65939386  0.799713    0.64054148]"
0.458984375,0.412109375,"[ 0.62024956  0.77634719  0.92853205 -0.24906935  1.37824999  0.35457738
  0.84559241  0.09420173 -0.02998773  1.12011726  0.04121458  0.99654965
  1.10992979  0.45152881  0.37045612  1.36712579 -0.07939132  0.41992076
  1.33341519  0.12289886  1.24359073  0.87256753  0.85113763  0.07327861
  0.42288432  0.57104474  0.71270594  0.6310068   0.68611699  1.15941238
  0.42998832  0.17882053  1.15459136 -0.03487041 -0.05389452  0.45568104
  0.25609934  0.40214658 -0.29847786 -0.11076742  0.7519625   0.83705131
 -0.10802871  0.71138244  1.22440991  0.74610757  0.33087231  0.28347113
  0.78656255 -0.02941407  0.65625756  0.33176515  0.71759276  0.8892485
 -0.01140879  1.11479155  0.45342262  0.59136214  0.73168128  0.57250976]"
0.4375,0.376953125,"[ 0.62024956  0.68342054  0.8356054  -0.1561427   1.47117664  0.26165073
  0.84559241  0.18712838  0.06293892  1.12011726 -0.05171207  1.0894763
  1.10992979  0.35860216  0.46338277  1.36712579 -0.17231797  0.32699411
  1.33341519  0.21582551  1.33651738  0.77964088  0.94406428  0.16620526
  0.42288432  0.66397139  0.80563259  0.6310068   0.59319034  1.06648573
  0.52291497  0.08589388  1.24751801  0.05805624  0.03903213  0.36275439
  0.25609934  0.40214658 -0.20555121 -0.01784077  0.65903585  0.74412466
 -0.20095536  0.71138244  1.22440991  0.83903422  0.23794566  0.37639779
  0.78656255 -0.02941407  0.74918422  0.33176515  0.81051941  0.79632185
 -0.10433544  1.2077182   0.54634927  0.49843549  0.63875463  0.47958311]"
0.451171875,0.38671875,"[ 0.5990554   0.68342054  0.8356054  -0.1561427   1.44998248  0.24045657
  0.86678657  0.20832254  0.08413308  1.14131142 -0.05171207  1.0894763
  1.10992979  0.35860216  0.44218862  1.38831994 -0.15112381  0.30579995
  1.33341519  0.23701967  1.33651738  0.80083504  0.92287012  0.16620526
  0.42288432  0.64277724  0.82682675  0.65220095  0.61438449  1.08767989
  0.50172081  0.10708804  1.26871216  0.03686208  0.06022629  0.34156023
  0.23490518  0.38095242 -0.18435705 -0.03903493  0.63784169  0.76531882
 -0.20095536  0.7325766   1.20321575  0.83903422  0.2167515   0.39759194
  0.78656255 -0.00821991  0.77037837  0.33176515  0.83171357  0.817516
 -0.08314128  1.18652404  0.52515512  0.51962965  0.65994879  0.50077727]"
0.43359375,0.408203125,"[ 0.46851848  0.81395746  0.8356054  -0.02560578  1.31944556  0.10991965
  0.86678657  0.33885946  0.08413308  1.27184834 -0.05171207  0.95893938
  0.97939286  0.22806523  0.57272554  1.51885687 -0.02058689  0.17526303
  1.33341519  0.23701967  1.4670543   0.80083504  1.05340704  0.03566834
  0.2923474   0.51224031  0.82682675  0.52166403  0.61438449  1.21821681
  0.37118389  0.23762496  1.39924909  0.16739901  0.19076321  0.21102331
  0.3654421   0.38095242 -0.18435705  0.091502    0.50730477  0.76531882
 -0.33149228  0.60203968  1.33375268  0.7084973   0.08621458  0.39759194
  0.65602563 -0.13875683  0.90091529  0.20122823  0.70117664  0.817516
 -0.2136782   1.18652404  0.39461819  0.65016657  0.52941187  0.63131419]"
0.44921875,0.416015625,"[ 0.49156736  0.81395746  0.81255652 -0.02560578  1.31944556  0.08687078
  0.88983544  0.33885946  0.10718195  1.24879946 -0.0286632   0.98198825
  0.95634399  0.22806523  0.57272554  1.49580799  0.00246199  0.15221416
  1.31036631  0.23701967  1.49010318  0.82388392  1.03035817  0.01261946
  0.31539627  0.53528919  0.80377787  0.52166403  0.59133562  1.19516793
  0.39423277  0.21457609  1.37620021  0.14435013  0.19076321  0.18797444
  0.38849098  0.35790354 -0.20740593  0.091502    0.53035365  0.76531882
 -0.30844341  0.5789908   1.35680155  0.73154617  0.10926346  0.42064082
  0.67907451 -0.13875683  0.92396417  0.22427711  0.72422552  0.817516
 -0.23672708  1.16347517  0.39461819  0.6271177   0.52941187  0.65436306]"
0.416015625,0.400390625,"[ 0.50665558  0.81395746  0.7974683  -0.02560578  1.33453378  0.101959
  0.87474722  0.33885946  0.12227017  1.23371124 -0.0286632   0.99707647
  0.94125577  0.22806523  0.55763732  1.49580799 -0.01262623  0.15221416
  1.31036631  0.25210789  1.5051914   0.83897214  1.01526995 -0.00246876
  0.33048449  0.55037741  0.81886609  0.50657581  0.5762474   1.21025615
  0.39423277  0.19948786  1.36111199  0.12926191  0.20585143  0.17288622
  0.37340276  0.35790354 -0.20740593  0.07641378  0.54544187  0.7502306
 -0.30844341  0.59407902  1.37188977  0.73154617  0.10926346  0.43572904
  0.69416273 -0.12366861  0.93905239  0.20918888  0.73931374  0.83260423
 -0.22163886  1.17856339  0.40970642  0.6271177   0.51432364  0.66945128]"
0.443359375,0.388671875,"[ 0.50665558  0.82039965  0.80391049 -0.01916359  1.33453378  0.101959
  0.87474722  0.33241727  0.12227017  1.24015343 -0.03510539  0.99707647
  0.94125577  0.22162305  0.56407951  1.50225018 -0.01262623  0.14577197
  1.30392412  0.25210789  1.51163358  0.83252995  1.02171214 -0.00891094
  0.33692668  0.54393522  0.82530828  0.50013362  0.58268958  1.21669834
  0.38779058  0.20593005  1.36111199  0.1357041   0.20585143  0.16644403
  0.37984495  0.36434573 -0.21384812  0.06997159  0.55188406  0.74378841
 -0.30200122  0.60052121  1.37833196  0.72510399  0.11570565  0.44217123
  0.69416273 -0.1301108   0.9326102   0.21563107  0.74575593  0.83904641
 -0.22163886  1.1721212   0.40970642  0.63355988  0.51432364  0.67589347]"
0.4609375,0.421875,"[ 0.45720341  0.77094748  0.75445832 -0.06861576  1.33453378  0.05250683
  0.82529505  0.38186945  0.072818    1.19070126 -0.03510539  0.99707647
  0.99070794  0.27107522  0.56407951  1.45279801 -0.0620784   0.0963198
  1.25447195  0.25210789  1.51163358  0.83252995  1.07116431 -0.05836311
  0.28747451  0.59338739  0.87476045  0.45068145  0.63214176  1.26615051
  0.38779058  0.20593005  1.41056416  0.08625193  0.2553036   0.2158962
  0.42929712  0.31489356 -0.21384812  0.11942376  0.50243189  0.74378841
 -0.25254905  0.64997338  1.42778413  0.77455616  0.11570565  0.44217123
  0.64471056 -0.08065863  0.9326102   0.26508324  0.7952081   0.78959424
 -0.17218669  1.12266903  0.40970642  0.68301205  0.56377582  0.72534564]"
