Number of qubits: 5
Training set size: 512
Test set size: 512
Number of features: 10
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 30
Training accuracy,Test accuracy,Parameters
0.33203125,0.265625,"[0.68522401 0.60221976 0.11850449 0.20517901 0.49994878 0.00577511
 0.3874688  0.72712921 0.97347295 0.10352193 0.13561988 0.21214477
 0.61352871 0.91175472 0.52822245 0.71478739 0.69813681 0.57397647
 0.45632466 0.90760317 0.32532881 0.40309252 0.18495256 0.84672066
 0.93658807 0.08682302 0.22004868 0.56390772 0.42670789 0.41540299
 0.14401059 0.3464438  0.48916356 0.07392574 0.23384036 0.13751039
 0.81331265 0.80216618 0.08003791 0.43768579]"
0.330078125,0.2421875,"[0.70442263 0.58302114 0.09930587 0.22437763 0.48075017 0.00577511
 0.36827019 0.70793059 0.99267157 0.08432332 0.11642127 0.19294616
 0.61352871 0.8925561  0.54742107 0.69558877 0.71733543 0.59317508
 0.43712604 0.92680179 0.30613019 0.40309252 0.18495256 0.86591927
 0.93658807 0.08682302 0.22004868 0.5447091  0.40750928 0.4346016
 0.1632092  0.32724518 0.46996495 0.07392574 0.21464175 0.15670901
 0.79411404 0.80216618 0.08003791 0.41848717]"
0.248046875,0.23828125,"[ 0.71660517  0.5708386   0.08712333  0.23656018  0.46856762 -0.00640743
  0.36827019  0.69574804  0.99267157  0.08432332  0.11642127  0.20512871
  0.60134616  0.88037355  0.54742107  0.69558877  0.72951798  0.60535763
  0.44930859  0.91461924  0.29394764  0.41527507  0.17277001  0.85373672
  0.94877061  0.09900557  0.22004868  0.55689165  0.39532673  0.44678415
  0.1632092   0.33942773  0.4821475   0.08610829  0.21464175  0.15670901
  0.80629659  0.78998363  0.06785536  0.43066972]"
0.244140625,0.28515625,"[ 0.71850036  0.5708386   0.08712333  0.23656018  0.46667244 -0.00451225
  0.36637501  0.69385286  0.99077639  0.08242814  0.11642127  0.20323352
  0.59945098  0.88226874  0.54931625  0.69748395  0.7276228   0.60346245
  0.45120377  0.91461924  0.29205246  0.41337989  0.17087483  0.85184154
  0.94687543  0.09711039  0.22194386  0.55689165  0.39343155  0.44488897
  0.1632092   0.34132291  0.48404268  0.08800347  0.21464175  0.15860419
  0.80629659  0.78808845  0.06785536  0.42877454]"
0.259765625,0.3359375,"[ 0.71943603  0.57177427  0.08618765  0.2356245   0.46760812 -0.00544793
  0.36637501  0.69291719  0.98984071  0.08242814  0.11548559  0.20229785
  0.60038666  0.88320441  0.54838057  0.69841963  0.72668712  0.60439813
  0.45120377  0.91461924  0.29111678  0.41337989  0.16993915  0.85277722
  0.94687543  0.09617471  0.22287954  0.55782733  0.39249587  0.44488897
  0.16414488  0.34038723  0.48497836  0.08800347  0.21370607  0.15766851
  0.80629659  0.78715277  0.06691968  0.42877454]"
0.33984375,0.373046875,"[ 0.68214447  0.53448271  0.04889608  0.2356245   0.46760812 -0.00544793
  0.32908344  0.65562562  1.02713227  0.04513657  0.07819403  0.16500628
  0.5630951   0.84591285  0.58567213  0.73571119  0.72668712  0.64168969
  0.41391221  0.87732768  0.32840835  0.41337989  0.20723071  0.89006879
  0.94687543  0.09617471  0.18558797  0.52053576  0.35520431  0.44488897
  0.12685332  0.34038723  0.44768679  0.12529503  0.25099763  0.12037695
  0.80629659  0.82444433  0.10421124  0.4660661 ]"
0.26171875,0.33984375,"[ 0.68214447  0.57091853  0.04889608  0.19918868  0.4311723  -0.00544793
  0.29264763  0.69206144  1.02713227  0.08157239  0.07819403  0.12857047
  0.5630951   0.88234867  0.58567213  0.69927538  0.76312293  0.64168969
  0.37747639  0.84089186  0.36484416  0.44981571  0.20723071  0.85363297
  0.98331125  0.13261052  0.14915216  0.48409995  0.35520431  0.48132478
  0.16328914  0.30395142  0.48412261  0.08885921  0.28743345  0.08394113
  0.8427324   0.86088015  0.06777543  0.42963029]"
0.265625,0.38671875,"[0.67443931 0.57091853 0.04119092 0.19918868 0.42346714 0.00225723
 0.30035279 0.6997666  1.03483743 0.07386723 0.08589919 0.13627563
 0.55538994 0.89005383 0.57796697 0.70698054 0.77082809 0.64939485
 0.37747639 0.84089186 0.357139   0.44981571 0.20723071 0.86133813
 0.98331125 0.12490536 0.141447   0.47639479 0.34749915 0.48902995
 0.16328914 0.31165658 0.49182777 0.09656438 0.28743345 0.07623597
 0.85043756 0.86858531 0.06777543 0.42192513]"
0.333984375,0.423828125,"[ 0.65769334  0.57091853  0.05793689  0.21593465  0.44021311 -0.01448874
  0.31709875  0.68302063  1.0515834   0.07386723  0.08589919  0.13627563
  0.53864397  0.87330786  0.56122101  0.7237265   0.77082809  0.63264889
  0.36073043  0.85763783  0.37388497  0.46656167  0.19048475  0.8780841
  1.00005721  0.12490536  0.15819296  0.47639479  0.36424511  0.47228398
  0.16328914  0.29491061  0.49182777  0.07981841  0.27068748  0.05949001
  0.86718353  0.88533128  0.06777543  0.43867109]"
0.29296875,0.4140625,"[ 0.66460039  0.57782558  0.06484394  0.2090276   0.44712016 -0.00758169
  0.3240058   0.68992768  1.04467635  0.08077428  0.07899214  0.13627563
  0.53864397  0.88021491  0.55431396  0.71681946  0.77082809  0.62574184
  0.36763748  0.85073078  0.36697792  0.46656167  0.1973918   0.87117705
  1.00005721  0.13181241  0.15819296  0.47639479  0.37115216  0.46537693
  0.17019619  0.29491061  0.49873482  0.07291136  0.27068748  0.05258296
  0.86718353  0.89223833  0.06086838  0.43176404]"
