Number of qubits: 10
Training set size: 512
Test set size: 512
Number of features: 20
Ansatz: ansatz14
Optimiser: <class 'qiskit.algorithms.optimizers.spsa.SPSA'>
Perturbation dimensions: 90
Training accuracy,Test accuracy,Parameters
0.11328125,0.109375,"[ 0.62719106  0.29224778  0.99222652  0.46845595  0.83148863  0.46307237
  0.85570165  0.66203888 -0.00262488  0.84446394  0.7794507   0.21312378
  0.69716178  0.14015672  0.0078525   0.11822311  0.73909103  0.98740721
  0.42069152  0.46182108  0.99958448  0.06740451  0.27446758  0.87622224
  0.60917824  0.67182677  0.87534555  0.78269915  0.87831916  0.35287962
  0.01765087  0.79913985  0.36449283  0.57181714  0.43524941  0.8873469
  0.39146111  0.24563539  0.44332193  0.83931968  0.11304393  0.91553423
  0.57132043  0.78529067  0.76552357  0.40478177  0.30321956  0.14294458
  0.98088951  0.6767064   0.42975475  0.47069856  0.84441563  0.31636319
  0.22350504  0.41961954  0.0659567   0.06138121  0.18545688  0.75893183
  0.61475604  0.71300512  0.44046508  0.78256122  0.93355044  0.85029598
  0.40105644  0.01226738  0.39009926  0.76016441  0.98751339  0.86216257
  0.96575868  0.40467114  0.87030008  0.13990753  0.10608756  0.03026821
  0.76039555  0.21935145  0.91350044  0.47523811  0.61694452  0.09576457
  0.51334959  0.35322849  0.01097798  0.21203913  0.63833943  0.78957584
  0.85773445  0.04372771  0.70202732  0.88960445  0.98110319  0.28265501
  0.14577088  0.16701967  0.97747304  0.25716539  0.11649597  0.81304414
  0.28917507  0.67297379  0.97971607  0.37443938  0.52497853  0.85955921
  0.32681635  0.22801583  0.57295341  0.96481946  0.38027631  0.76058222
  0.45053202  0.74242554  0.79066574  0.92314349  0.90279055  0.95586301]"
0.15234375,0.130859375,"[ 0.62719106  0.29794669  0.99222652  0.47415487  0.82578972  0.46877129
  0.85000274  0.66773779 -0.0083238   0.84446394  0.7794507   0.20742487
  0.69146286  0.14585563  0.01355142  0.12392202  0.73339212  0.99310613
  0.41499261  0.45612217  0.99388557  0.07310342  0.26876866  0.88192115
  0.61487715  0.66612786  0.87534555  0.78839807  0.88401807  0.34718071
  0.02334978  0.79344094  0.35879392  0.57751606  0.43524941  0.8873469
  0.38576219  0.24563539  0.43762302  0.83362076  0.10734502  0.92123314
  0.57701934  0.79098959  0.75982466  0.40478177  0.30891847  0.14294458
  0.9751906   0.68240531  0.42405584  0.47069856  0.85011455  0.31636319
  0.21780613  0.42531846  0.06025779  0.06708012  0.19115579  0.76463074
  0.60905713  0.7073062   0.44046508  0.78826013  0.93924935  0.8559949
  0.39535753  0.01796629  0.38440035  0.76016441  0.98751339  0.85646366
  0.97145759  0.39897223  0.87030008  0.13990753  0.10038865  0.0245693
  0.75469663  0.21365254  0.91919935  0.47523811  0.62264343  0.10146349
  0.50765067  0.34752958  0.00527906  0.20634022  0.63264052  0.78387692
  0.86343337  0.0380288   0.70772624  0.88390553  0.98110319  0.28265501
  0.14577088  0.16132076  0.98317195  0.25146648  0.12219488  0.81304414
  0.28347615  0.66727488  0.98541499  0.3801383   0.51927961  0.85955921
  0.32681635  0.22801583  0.57295341  0.96481946  0.38597523  0.75488331
  0.4448331   0.74242554  0.79066574  0.92314349  0.89709164  0.9501641 ]"
0.265625,0.1953125,"[ 0.63141291  0.30216855  0.98800467  0.47837672  0.83001158  0.46454943
  0.8542246   0.66351593 -0.0083238   0.8486858   0.7794507   0.20320301
  0.68724101  0.15007749  0.01777327  0.11970017  0.73761398  0.99310613
  0.41499261  0.45612217  0.99810743  0.07732528  0.26454681  0.87769929
  0.61487715  0.661906    0.8795674   0.78839807  0.88823993  0.35140256
  0.02334978  0.7976628   0.35457206  0.57751606  0.43102755  0.88312505
  0.38154034  0.24141353  0.43340116  0.83362076  0.11156687  0.925455
  0.5812412   0.79098959  0.7556028   0.40478177  0.30469662  0.13872272
  0.9751906   0.67818346  0.41983398  0.47069856  0.84589269  0.31636319
  0.21358427  0.42954031  0.05603593  0.06285827  0.19537765  0.76463074
  0.60483527  0.71152806  0.43624323  0.79248199  0.9350275   0.85177304
  0.39957938  0.02218815  0.38862221  0.75594255  0.99173525  0.8522418
  0.97145759  0.39475037  0.86607823  0.13990753  0.10461051  0.02034744
  0.75047478  0.21787439  0.92342121  0.47101625  0.61842158  0.10146349
  0.50342882  0.34752958  0.00105721  0.21056207  0.62841866  0.78387692
  0.86765522  0.03380694  0.71194809  0.88390553  0.98532505  0.27843316
  0.14999274  0.16554261  0.97895009  0.24724462  0.12219488  0.817266
  0.28769801  0.66305302  0.98541499  0.3801383   0.51505776  0.85955921
  0.32681635  0.22379397  0.57295341  0.96059761  0.38175337  0.75488331
  0.44905496  0.74664739  0.79066574  0.91892164  0.89286978  0.95438595]"
0.271484375,0.21875,"[ 0.63009043  0.30216855  0.98668219  0.47705424  0.83133406  0.46587191
  0.85554708  0.66483841 -0.00964628  0.8486858   0.77812822  0.20188053
  0.68591853  0.15139997  0.01909575  0.11970017  0.73893646  0.99178364
  0.41631509  0.45479969  0.99678495  0.07864776  0.26322433  0.87902177
  0.61619963  0.661906    0.88088988  0.78707559  0.88956241  0.35140256
  0.02334978  0.79898528  0.35589454  0.57619357  0.43102755  0.88180257
  0.38021786  0.24273601  0.43207868  0.83229828  0.11288936  0.92413252
  0.5812412   0.79231207  0.7556028   0.40345929  0.30337413  0.1400452
  0.9751906   0.67950594  0.4185115   0.47202104  0.84457021  0.31636319
  0.21226179  0.42954031  0.05603593  0.06153579  0.19670013  0.76463074
  0.60351279  0.71285054  0.43756571  0.79380447  0.9350275   0.85045056
  0.3982569   0.02351063  0.38994469  0.75726503  0.99041277  0.85356428
  0.97278007  0.39475037  0.86740071  0.14123001  0.10461051  0.02166992
  0.7491523   0.21787439  0.92342121  0.46969377  0.61709909  0.10146349
  0.5047513   0.34752958  0.00105721  0.21188456  0.62709618  0.78387692
  0.86765522  0.03380694  0.71062561  0.88258305  0.98664753  0.27711068
  0.15131522  0.16554261  0.97762761  0.24592214  0.1208724   0.817266
  0.28637553  0.66173054  0.98541499  0.37881582  0.51638024  0.85823673
  0.32549387  0.22511646  0.57427589  0.95927513  0.38307585  0.75488331
  0.45037744  0.74532491  0.79066574  0.92024412  0.89419226  0.95570843]"
0.291015625,0.224609375,"[ 0.63009043  0.32254913  1.00706277  0.49743483  0.85171464  0.44549133
  0.83516649  0.66483841 -0.03002686  0.86906639  0.79850881  0.22226112
  0.66553794  0.17178056 -0.00128483  0.14008075  0.71855587  0.97140306
  0.43669567  0.47518027  1.01716553  0.05826717  0.24284374  0.87902177
  0.61619963  0.661906    0.8605093   0.78707559  0.88956241  0.33102198
  0.04373037  0.81936586  0.33551396  0.59657416  0.45140814  0.86142198
  0.38021786  0.2631166   0.43207868  0.85267887  0.09250877  0.92413252
  0.60162179  0.79231207  0.7556028   0.3830787   0.32375472  0.11966462
  0.9751906   0.65912535  0.43889209  0.45164046  0.84457021  0.2959826
  0.23264238  0.40915973  0.07641652  0.08191637  0.21708071  0.78501133
  0.62389338  0.73323113  0.41718512  0.77342388  0.9350275   0.83006998
  0.37787632  0.04389121  0.3695641   0.73688445  0.97003218  0.87394487
  0.99316066  0.37436979  0.86740071  0.16161059  0.10461051  0.0420505
  0.76953288  0.19749381  0.94380179  0.44931319  0.59671851  0.0810829
  0.48437071  0.36791016 -0.01932338  0.23226514  0.62709618  0.80425751
  0.84727464  0.03380694  0.71062561  0.90296364  1.00702811  0.27711068
  0.15131522  0.14516203  0.97762761  0.26630273  0.1208724   0.83764659
  0.26599494  0.64134995  0.98541499  0.3991964   0.51638024  0.87861732
  0.32549387  0.20473587  0.59465647  0.97965571  0.36269527  0.73450273
  0.47075803  0.72494433  0.79066574  0.89986353  0.89419226  0.95570843]"
0.2890625,0.248046875,"[ 0.64250333  0.32254913  1.01947567  0.48502194  0.86412754  0.45790422
  0.83516649  0.67725131 -0.04243976  0.88147928  0.8109217   0.22226112
  0.65312505  0.15936766  0.01112806  0.12766786  0.70614298  0.95899017
  0.43669567  0.47518027  1.00475264  0.07068006  0.23043085  0.86660888
  0.61619963  0.67431889  0.87292219  0.78707559  0.87714952  0.34343487
  0.03131748  0.80695297  0.32310106  0.60898705  0.43899525  0.84900909
  0.39263075  0.2631166   0.44449157  0.86509176  0.09250877  0.91171963
  0.61403468  0.77989918  0.74318991  0.3954916   0.31134183  0.11966462
  0.9751906   0.67153824  0.43889209  0.43922757  0.83215732  0.2959826
  0.24505527  0.39674684  0.08882941  0.08191637  0.21708071  0.79742422
  0.63630627  0.74564402  0.42959802  0.77342388  0.9350275   0.81765708
  0.36546343  0.03147832  0.35715121  0.74929734  0.97003218  0.86153198
  1.00557355  0.38678268  0.85498781  0.17402349  0.1170234   0.02963761
  0.75711999  0.2099067   0.94380179  0.46172608  0.6091314   0.06867001
  0.4967836   0.38032306 -0.03173627  0.23226514  0.62709618  0.79184461
  0.83486175  0.03380694  0.7230385   0.90296364  1.01944101  0.27711068
  0.13890233  0.13274914  0.97762761  0.25388983  0.13328529  0.82523369
  0.27840784  0.64134995  0.99782788  0.38678351  0.50396735  0.89103021
  0.33790676  0.19232298  0.59465647  0.97965571  0.35028237  0.73450273
  0.48317092  0.71253143  0.77825284  0.88745064  0.90660516  0.95570843]"
0.2890625,0.24609375,"[ 0.64250333  0.31572267  1.01947567  0.47819548  0.86412754  0.45107776
  0.82834003  0.67725131 -0.04926622  0.87465282  0.80409524  0.22226112
  0.64629859  0.16619412  0.01795452  0.1208414   0.70614298  0.95216371
  0.43669567  0.48200673  1.00475264  0.07750652  0.22360439  0.86660888
  0.62302609  0.66749243  0.86609573  0.78024913  0.87714952  0.33660841
  0.03814394  0.80012651  0.3162746   0.60216059  0.43899525  0.84900909
  0.38580429  0.26994306  0.45131803  0.87191822  0.09250877  0.91171963
  0.61403468  0.78672564  0.73636345  0.40231806  0.31134183  0.12649108
  0.96836414  0.6783647   0.44571855  0.44605403  0.83215732  0.28915614
  0.25188173  0.39674684  0.09565587  0.08874283  0.21025425  0.80425068
  0.62947981  0.75247048  0.42959802  0.78025034  0.94185395  0.82448354
  0.37228989  0.02465186  0.35715121  0.74247088  0.96320572  0.86835844
  1.00557355  0.37995622  0.84816135  0.18084995  0.12384986  0.02963761
  0.76394645  0.2099067   0.95062825  0.46855254  0.61595786  0.07549647
  0.48995714  0.38032306 -0.03173627  0.2390916   0.62026972  0.79184461
  0.84168821  0.03380694  0.72986496  0.9097901   1.02626747  0.27028422
  0.13207587  0.12592268  0.97762761  0.26071629  0.14011175  0.82523369
  0.27158138  0.64817641  0.99100142  0.37995705  0.49714089  0.89785667
  0.34473322  0.19914944  0.59465647  0.97282925  0.35710883  0.74132919
  0.47634446  0.70570497  0.7850793   0.88062418  0.91343162  0.96253489]"
0.3359375,0.30859375,"[ 0.64188501  0.31634099  1.02009398  0.47757716  0.86474585  0.45045944
  0.82772172  0.67663299 -0.04926622  0.87465282  0.80409524  0.2216428
  0.64568027  0.16557581  0.0173362   0.12145971  0.70614298  0.95216371
  0.43731399  0.48138842  1.00537095  0.07812484  0.2242227   0.86660888
  0.62302609  0.66687412  0.86547742  0.78086744  0.8765312   0.33660841
  0.03876225  0.79950819  0.31565629  0.60277891  0.43837693  0.84900909
  0.38580429  0.26932474  0.45069972  0.87191822  0.09189045  0.91110131
  0.61341636  0.78672564  0.73636345  0.40293637  0.31196014  0.12587276
  0.96836414  0.6783647   0.44633686  0.44667234  0.83277563  0.28915614
  0.25250004  0.39736515  0.09627419  0.08936115  0.21087257  0.80363236
  0.63009813  0.75308879  0.4289797   0.78086866  0.94185395  0.82510186
  0.3729082   0.02403354  0.35653289  0.74185256  0.96382404  0.86774012
  1.00619186  0.38057454  0.84754304  0.18084995  0.12446817  0.0290193
  0.76332813  0.20928838  0.95062825  0.46917085  0.61595786  0.07549647
  0.49057546  0.37970474 -0.03235459  0.23970992  0.62026972  0.79246293
  0.84230652  0.03318862  0.72986496  0.91040841  1.02564915  0.27090253
  0.13269418  0.12654099  0.9770093   0.26133461  0.13949344  0.82585201
  0.27158138  0.6475581   0.99100142  0.37933873  0.4977592   0.89785667
  0.34473322  0.19976775  0.59527479  0.97344757  0.35772715  0.74071087
  0.47572614  0.70570497  0.7850793   0.8812425   0.91343162  0.96191658]"
0.361328125,0.3046875,"[ 0.65858548  0.29964052  1.03679445  0.46087669  0.84804538  0.43375897
  0.84442218  0.65993252 -0.03256575  0.87465282  0.78739477  0.20494233
  0.66238074  0.16557581  0.03403667  0.13816018  0.68944251  0.96886418
  0.45401446  0.48138842  0.98867049  0.07812484  0.20752224  0.86660888
  0.63972656  0.68357458  0.86547742  0.78086744  0.85983073  0.33660841
  0.02206178  0.78280773  0.29895582  0.58607844  0.42167646  0.83230862
  0.36910382  0.25262427  0.45069972  0.87191822  0.07518999  0.89440084
  0.61341636  0.8034261   0.75306391  0.41963684  0.29525968  0.14257323
  0.98506461  0.6783647   0.42963639  0.46337281  0.83277563  0.30585661
  0.26920051  0.38066468  0.07957372  0.07266068  0.1941721   0.80363236
  0.61339766  0.76978926  0.4289797   0.78086866  0.92515349  0.80840139
  0.3729082   0.00733308  0.35653289  0.74185256  0.96382404  0.88444059
  0.9894914   0.36387407  0.86424351  0.16414948  0.10776771  0.0290193
  0.7800286   0.20928838  0.93392778  0.45247039  0.59925739  0.09219694
  0.49057546  0.36300427 -0.04905505  0.22300945  0.62026972  0.79246293
  0.85900699  0.01648816  0.74656543  0.92710888  1.00894868  0.25420207
  0.14939465  0.14324146  0.9770093   0.24463414  0.1561939   0.84255248
  0.28828184  0.66425856  0.97430095  0.36263827  0.4977592   0.89785667
  0.32803275  0.19976775  0.61197526  0.99014803  0.34102668  0.7240104
  0.47572614  0.72240544  0.80177977  0.86454203  0.89673115  0.97861704]"
0.380859375,0.337890625,"[ 0.62117068  0.29964052  0.99937965  0.46087669  0.88546018  0.39634418
  0.84442218  0.62251773  0.00484905  0.87465282  0.74997998  0.20494233
  0.66238074  0.12816102  0.03403667  0.10074539  0.68944251  1.00627897
  0.49142925  0.51880321  0.98867049  0.11553963  0.17010744  0.82919409
  0.60231177  0.64615979  0.86547742  0.81828224  0.85983073  0.33660841
 -0.01535301  0.74539293  0.26154103  0.62349323  0.42167646  0.86972342
  0.40651862  0.21520948  0.48811451  0.83450343  0.03777519  0.89440084
  0.57600157  0.8034261   0.79047871  0.38222204  0.25784488  0.10515844
  1.0224794   0.6783647   0.42963639  0.42595802  0.79536084  0.3432714
  0.3066153   0.38066468  0.11698851  0.11007547  0.1941721   0.80363236
  0.65081245  0.80720406  0.46639449  0.81828345  0.88773869  0.84581618
  0.410323   -0.03008172  0.35653289  0.77926736  1.00123883  0.84702579
  1.02690619  0.40128886  0.82682871  0.20156427  0.07035291 -0.0083955
  0.7800286   0.24670318  0.89651299  0.41505559  0.5618426   0.12961173
  0.52799025  0.40041907 -0.01164026  0.18559465  0.58285493  0.82987772
  0.89642178 -0.02092664  0.74656543  0.88969409  1.04636348  0.29161686
  0.11197986  0.10582667  0.9770093   0.24463414  0.11877911  0.84255248
  0.32569664  0.70167336  0.97430095  0.40005306  0.4977592   0.89785667
  0.36544755  0.19976775  0.57456046  1.02756283  0.30361189  0.68659561
  0.51314094  0.75982024  0.76436498  0.90195682  0.93414594  1.01603184]"
