Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,178.70417704955884,80.90894441472417,4.925052023258275,-0.3443958771022938,0.011199999999999988,0.0122,0.010199999999999987,910.2222222222222,0.00016860979915722988,0.00016860979915722988,0.00016860979915722988,0_1:0.007860455993609294,0_1:341.3333333333333
1,148.64702953905504,33.87998691021627,5.0464758176377575,-0.34286204354380795,0.015900000000000025,0.0176,0.01419999999999999,910.2222222222222,0.00026512536158141277,0.00026512536158141277,0.00026512536158141277,1_2:0.006341929922393741; 1_3:0.011153890745807443; 1_0:0.007860455993609294,1_2:248.88888888888889; 1_3:263.1111111111111; 1_0:412.4444444444444
2,176.09341980886043,63.20529517647572,4.9620185285145135,-0.34389013656021855,0.009100000000000108,0.009600000000000053,0.0086,910.2222222222222,0.00017581993675615118,0.00017581993675615118,0.00017581993675615118,2_1:0.006341929922393741,2_1:213.33333333333331
3,80.5707903627153,41.40693191276866,5.108258487023986,-0.3411938256028111,0.021199999999999997,0.0176,0.024800000000000044,910.2222222222222,0.0006280861503161339,0.0006280861503161339,0.0006280861503161339,3_1:0.011153890745807443; 3_5:0.00804984491569885,3_1:334.22222222222223; 3_5:238.2222222222222
4,165.9738946944742,203.66539421007954,5.011110892025407,-0.3429005145382,0.07390000000000008,0.0746,0.07320000000000004,910.2222222222222,0.0002922076267537789,0.0002922076267537789,0.0002922076267537789,4_5:0.011725412424325066,4_5:305.77777777777777
5,151.32804035104215,38.05994840106218,5.173349695356749,-0.34294086851881034,0.017099999999999893,0.01759999999999995,0.0166,910.2222222222222,0.0002674950619366723,0.0002674950619366723,0.0002674950619366723,5_4:0.011725412424325066; 5_3:0.00804984491569885; 5_6:0.006734120743365379,5_4:341.3333333333333; 5_3:167.11111111111111; 5_6:405.3333333333333
6,158.0566370526525,211.13719471317143,5.319338162450663,-0.3376264885207946,0.14559999999999995,0.14239999999999997,0.1488,910.2222222222222,0.0003928582275575174,0.0003928582275575174,0.0003928582275575174,6_5:0.006734120743365379,6_5:334.22222222222223
